stamp_sec,stamp_nsec,robot,x,y
1777401384,170212787,robot_0,3.500,-3.250
1777401384,170266968,robot_4,-1.750,1.250
1777401384,170294676,robot_2,-3.250,-1.750
1777401384,170318305,robot_3,1.250,-0.250
1777401384,170346119,robot_1,-0.250,3.500
1777401385,347287918,robot_0,3.500,-3.250
1777401385,347307420,robot_4,-1.750,1.250
1777401385,347314766,robot_2,-3.250,-1.750
1777401385,347320359,robot_3,1.250,-0.250
1777401385,347326212,robot_1,-0.250,3.500
1777401385,567245992,robot_0,3.525,-3.250
1777401385,567264606,robot_4,-1.725,1.250
1777401385,567272029,robot_2,-3.225,-1.750
1777401385,567278072,robot_3,1.275,-0.250
1777401385,567284729,robot_1,-0.225,3.500
1777401385,786121652,robot_0,3.569,-3.250
1777401385,786146065,robot_4,-1.681,1.250
1777401385,786154418,robot_2,-3.181,-1.750
1777401385,786160443,robot_3,1.319,-0.250
1777401385,786166656,robot_1,-0.181,3.500
1777401386,6443391,robot_0,3.613,-3.250
1777401386,6471236,robot_4,-1.637,1.250
1777401386,6478843,robot_2,-3.137,-1.750
1777401386,6484408,robot_3,1.363,-0.250
1777401386,6490160,robot_1,-0.137,3.500
1777401386,208409338,robot_0,3.653,-3.250
1777401386,208427808,robot_4,-1.597,1.250
1777401386,208435392,robot_2,-3.097,-1.750
1777401386,208441221,robot_3,1.403,-0.250
1777401386,208447424,robot_1,-0.097,3.500
1777401386,426326394,robot_0,3.697,-3.250
1777401386,426345150,robot_4,-1.553,1.250
1777401386,426352192,robot_2,-3.053,-1.750
1777401386,426358049,robot_3,1.447,-0.250
1777401386,426364266,robot_1,-0.053,3.500
1777401386,627045780,robot_0,3.737,-3.250
1777401386,627064040,robot_4,-1.513,1.250
1777401386,627070966,robot_2,-3.013,-1.750
1777401386,627077300,robot_3,1.487,-0.250
1777401386,627083333,robot_1,-0.013,3.500
1777401386,827742443,robot_0,3.777,-3.250
1777401386,827767723,robot_4,-1.473,1.250
1777401386,827778143,robot_2,-2.973,-1.750
1777401386,827797506,robot_3,1.527,-0.250
1777401386,827805864,robot_1,0.027,3.500
1777401387,48159244,robot_0,3.821,-3.250
1777401387,48179658,robot_4,-1.429,1.250
1777401387,48188297,robot_2,-2.929,-1.750
1777401387,48195730,robot_3,1.571,-0.250
1777401387,48202911,robot_1,0.071,3.500
1777401387,267556706,robot_0,3.865,-3.250
1777401387,267588407,robot_4,-1.385,1.250
1777401387,267599795,robot_2,-2.885,-1.750
1777401387,267609611,robot_3,1.615,-0.250
1777401387,267618497,robot_1,0.115,3.500
1777401387,486704838,robot_0,3.909,-3.250
1777401387,486729253,robot_4,-1.341,1.250
1777401387,486736663,robot_2,-2.841,-1.750
1777401387,486742263,robot_3,1.659,-0.250
1777401387,486747879,robot_1,0.159,3.500
1777401387,687788443,robot_0,3.949,-3.250
1777401387,687806387,robot_4,-1.301,1.250
1777401387,687814166,robot_2,-2.801,-1.750
1777401387,687821528,robot_3,1.699,-0.250
1777401387,687827716,robot_1,0.199,3.500
1777401387,907225567,robot_0,3.993,-3.250
1777401387,907245554,robot_4,-1.257,1.250
1777401387,907253260,robot_2,-2.757,-1.750
1777401387,907258918,robot_3,1.743,-0.250
1777401387,907264816,robot_1,0.243,3.500
1777401388,108461537,robot_0,4.033,-3.250
1777401388,108510660,robot_4,-1.217,1.250
1777401388,108523551,robot_2,-2.717,-1.750
1777401388,108534678,robot_3,1.783,-0.250
1777401388,108545602,robot_1,0.283,3.500
1777401388,327074689,robot_0,4.077,-3.250
1777401388,327095368,robot_4,-1.173,1.250
1777401388,327102223,robot_2,-2.673,-1.750
1777401388,327107966,robot_3,1.827,-0.250
1777401388,327113805,robot_1,0.327,3.500
1777401388,546846947,robot_0,4.121,-3.250
1777401388,546863793,robot_4,-1.129,1.250
1777401388,546871211,robot_2,-2.629,-1.750
1777401388,546876392,robot_3,1.871,-0.250
1777401388,546881904,robot_1,0.371,3.500
1777401388,747327248,robot_0,4.161,-3.250
1777401388,747352606,robot_4,-1.089,1.250
1777401388,747366145,robot_2,-2.589,-1.750
1777401388,747376112,robot_3,1.911,-0.250
1777401388,747386648,robot_1,0.411,3.500
1777401388,966632847,robot_0,4.205,-3.250
1777401388,966654161,robot_4,-1.045,1.250
1777401388,966663603,robot_2,-2.545,-1.750
1777401388,966671131,robot_3,1.955,-0.250
1777401388,966678477,robot_1,0.455,3.500
1777401389,167071189,robot_0,4.245,-3.250
1777401389,167094978,robot_4,-1.005,1.250
1777401389,167104300,robot_2,-2.505,-1.750
1777401389,167111218,robot_3,1.995,-0.250
1777401389,167117658,robot_1,0.495,3.500
1777401389,386150585,robot_0,4.289,-3.250
1777401389,386170755,robot_4,-0.961,1.250
1777401389,386185832,robot_2,-2.461,-1.750
1777401389,386191457,robot_3,2.039,-0.250
1777401389,386201595,robot_1,0.539,3.500
1777401389,607114577,robot_0,4.333,-3.250
1777401389,607147116,robot_4,-0.917,1.250
1777401389,607162540,robot_2,-2.417,-1.750
1777401389,607176037,robot_3,2.083,-0.250
1777401389,607188190,robot_1,0.583,3.500
1777401389,826693124,robot_0,4.377,-3.250
1777401389,826713191,robot_4,-0.873,1.250
1777401389,826720239,robot_2,-2.373,-1.750
1777401389,826725650,robot_3,2.127,-0.250
1777401389,826731589,robot_1,0.627,3.500
1777401390,26704617,robot_0,4.417,-3.250
1777401390,26725108,robot_4,-0.833,1.250
1777401390,26733368,robot_2,-2.333,-1.750
1777401390,26740494,robot_3,2.167,-0.250
1777401390,26747639,robot_1,0.667,3.500
1777401390,228174217,robot_0,4.424,-3.250
1777401390,228201614,robot_4,-0.793,1.250
1777401390,228215156,robot_2,-2.293,-1.750
1777401390,228225531,robot_3,2.207,-0.250
1777401390,228236751,robot_1,0.707,3.500
1777401390,447300404,robot_0,4.424,-3.250
1777401390,447325287,robot_4,-0.749,1.250
1777401390,447337147,robot_2,-2.249,-1.750
1777401390,447346271,robot_3,2.251,-0.250
1777401390,447354911,robot_1,0.751,3.500
1777401390,666170977,robot_0,4.424,-3.250
1777401390,666192778,robot_4,-0.705,1.250
1777401390,666200739,robot_2,-2.205,-1.750
1777401390,666206547,robot_3,2.295,-0.250
1777401390,666212253,robot_1,0.795,3.500
1777401390,866947753,robot_0,4.424,-3.250
1777401390,866968911,robot_4,-0.665,1.250
1777401390,866976379,robot_2,-2.165,-1.750
1777401390,866982133,robot_3,2.335,-0.250
1777401390,866987507,robot_1,0.835,3.500
1777401391,68088267,robot_0,4.424,-3.250
1777401391,68106097,robot_4,-0.625,1.250
1777401391,68114922,robot_2,-2.125,-1.750
1777401391,68121306,robot_3,2.375,-0.250
1777401391,68128237,robot_1,0.875,3.500
1777401391,286107610,robot_0,4.424,-3.250
1777401391,286124166,robot_4,-0.581,1.250
1777401391,286131260,robot_2,-2.081,-1.750
1777401391,286136898,robot_3,2.419,-0.250
1777401391,286142586,robot_1,0.919,3.500
1777401391,487670627,robot_0,4.424,-3.250
1777401391,487698237,robot_4,-0.541,1.250
1777401391,487711078,robot_2,-2.041,-1.750
1777401391,487720579,robot_3,2.459,-0.250
1777401391,487730116,robot_1,0.959,3.500
1777401391,707414201,robot_0,4.425,-3.251
1777401391,707445497,robot_4,-0.497,1.250
1777401391,707462706,robot_2,-1.997,-1.750
1777401391,707481977,robot_3,2.503,-0.250
1777401391,707490673,robot_1,1.003,3.500
1777401391,926032014,robot_0,4.425,-3.251
1777401391,926049527,robot_4,-0.453,1.250
1777401391,926057869,robot_2,-1.953,-1.750
1777401391,926063751,robot_3,2.547,-0.250
1777401391,926069522,robot_1,1.047,3.500
1777401392,126695728,robot_0,4.425,-3.251
1777401392,126723514,robot_4,-0.413,1.250
1777401392,126730497,robot_2,-1.913,-1.750
1777401392,126736159,robot_3,2.587,-0.250
1777401392,126741498,robot_1,1.087,3.500
1777401392,327724806,robot_0,4.425,-3.251
1777401392,327743304,robot_4,-0.373,1.250
1777401392,327751279,robot_2,-1.873,-1.750
1777401392,327756820,robot_3,2.627,-0.250
1777401392,327762280,robot_1,1.127,3.500
1777401392,527829987,robot_0,4.426,-3.251
1777401392,527848444,robot_4,-0.333,1.250
1777401392,527856776,robot_2,-1.842,-1.750
1777401392,527864078,robot_3,2.667,-0.250
1777401392,527870758,robot_1,1.167,3.500
1777401392,747549044,robot_0,4.426,-3.251
1777401392,747569066,robot_4,-0.289,1.250
1777401392,747579540,robot_2,-1.842,-1.750
1777401392,747587558,robot_3,2.711,-0.250
1777401392,747595053,robot_1,1.211,3.500
1777401392,968096996,robot_0,4.426,-3.251
1777401392,968120946,robot_4,-0.245,1.250
1777401392,968133217,robot_2,-1.842,-1.750
1777401392,968142697,robot_3,2.755,-0.250
1777401392,968151436,robot_1,1.255,3.500
1777401393,186250744,robot_0,4.427,-3.251
1777401393,186266284,robot_4,-0.201,1.250
1777401393,186273055,robot_2,-1.842,-1.750
1777401393,186278434,robot_3,2.799,-0.250
1777401393,186283276,robot_1,1.299,3.500
1777401393,386273211,robot_0,4.427,-3.251
1777401393,386291717,robot_4,-0.161,1.250
1777401393,386299708,robot_2,-1.842,-1.750
1777401393,386305724,robot_3,2.839,-0.250
1777401393,386311259,robot_1,1.339,3.500
1777401393,607056552,robot_0,4.427,-3.251
1777401393,607079937,robot_4,-0.117,1.250
1777401393,607088086,robot_2,-1.842,-1.750
1777401393,607094469,robot_3,2.883,-0.250
1777401393,607101571,robot_1,1.383,3.500
1777401393,825997759,robot_0,4.427,-3.251
1777401393,826013903,robot_4,-0.073,1.250
1777401393,826026276,robot_2,-1.842,-1.750
1777401393,826031672,robot_3,2.927,-0.250
1777401393,826036835,robot_1,1.427,3.500
1777401394,26800265,robot_0,4.427,-3.250
1777401394,26829708,robot_4,-0.033,1.250
1777401394,26842618,robot_2,-1.841,-1.751
1777401394,26852557,robot_3,2.967,-0.250
1777401394,26862230,robot_1,1.467,3.500
1777401394,226843425,robot_0,4.428,-3.250
1777401394,226858349,robot_4,0.007,1.250
1777401394,226874275,robot_2,-1.841,-1.751
