stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777407774,44428239,robot_3,64,1.000,-1.000,1.500,-0.500
1777407774,44454947,robot_0,81,3.000,-4.000,3.500,-3.500
1777407774,44474846,robot_1,48,-1.000,3.000,-0.500,3.500
1777407774,44488843,robot_4,36,-2.000,1.000,-1.500,1.500
1777407774,44502270,robot_2,13,-4.000,-2.000,-3.500,-1.500
1777407776,721769041,robot_1,58,0.000,3.000,0.500,3.500
1777407776,721787001,robot_2,23,-3.000,-2.000,-2.500,-1.500
1777407777,979991061,robot_0,91,4.000,-4.000,4.500,-3.500
1777407779,240224775,robot_3,74,2.000,-1.000,2.500,-0.500
1777407779,240253213,robot_4,46,-1.000,1.000,-0.500,1.500
1777407781,599791137,robot_1,68,1.000,3.000,1.500,3.500
1777407781,599808454,robot_2,33,-2.000,-2.000,-1.500,-1.500
1777407784,160049388,robot_3,84,3.000,-1.000,3.500,-0.500
1777407784,160074112,robot_4,56,0.000,1.000,0.500,1.500
1777407786,680152895,robot_1,78,2.000,3.000,2.500,3.500
1777407789,200257555,robot_3,94,4.000,-1.000,4.500,-0.500
1777407789,200291517,robot_4,66,1.000,1.000,1.500,1.500
