stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
19,290000000,global,1,0,1,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.298428,-1.934601,0.128070,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
23,720000000,global,2,0,2,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.136476,-1.832115,0.209244,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
23,940000000,global,3,0,3,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,2.336984,0.887674,0.149162,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
25,710000000,global,4,0,4,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.092234,-1.815446,0.188244,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
26,730000000,global,5,0,5,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,2.420067,1.023866,0.023511,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
29,0,global,6,0,6,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,2.418413,1.020875,0.147641,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
29,480000000,global,7,0,7,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-0.835407,-1.789956,0.044219,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
30,810000000,global,8,0,8,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.058534,-1.805381,0.182047,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
30,970000000,global,9,0,9,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,2.446901,1.065998,0.147526,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
33,380000000,global,10,0,10,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-0.990885,-1.791556,0.147569,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
