stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777474186,954373063,robot_3,31,-2.000,-4.000,-1.500,-3.500
1777474186,954402234,robot_4,25,-3.000,0.000,-2.500,0.500
1777474186,954428018,robot_1,14,-4.000,-1.000,-3.500,-0.500
1777474186,954451405,robot_2,61,1.000,-4.000,1.500,-3.500
1777474186,954475138,robot_0,58,0.000,3.000,0.500,3.500
1777474190,516620820,robot_2,51,0.000,-4.000,0.500,-3.500
1777474191,377420088,robot_1,13,-4.000,-2.000,-3.500,-1.500
1777474191,597214049,robot_2,50,0.000,-5.000,0.500,-4.500
1777474192,656087588,robot_4,26,-3.000,1.000,-2.500,1.500
1777474192,856176059,robot_0,68,1.000,3.000,1.500,3.500
1777474195,155651150,robot_0,69,1.000,4.000,1.500,4.500
1777474195,556714165,robot_1,3,-5.000,-2.000,-4.500,-1.500
1777474196,396782469,robot_4,36,-2.000,1.000,-1.500,1.500
1777474197,857194464,robot_0,59,0.000,4.000,0.500,4.500
1777474201,54938596,robot_2,60,1.000,-5.000,1.500,-4.500
1777474201,457914381,robot_4,37,-2.000,2.000,-1.500,2.500
1777474207,157177179,robot_1,12,-4.000,-3.000,-3.500,-2.500
1777474209,897142576,robot_0,79,2.000,4.000,2.500,4.500
1777474211,156361856,robot_4,47,-1.000,2.000,-0.500,2.500
1777474211,156435532,robot_0,78,2.000,3.000,2.500,3.500
1777474211,595791138,robot_4,46,-1.000,1.000,-0.500,1.500
1777474217,56542300,robot_4,35,-2.000,0.000,-1.500,0.500
1777474218,939390267,robot_4,45,-1.000,0.000,-0.500,0.500
1777474223,816908273,robot_4,55,0.000,0.000,0.500,0.500
1777474228,676293450,robot_4,56,0.000,1.000,0.500,1.500
1777474229,956752182,robot_4,66,1.000,1.000,1.500,1.500
1777474235,76197017,robot_4,67,1.000,2.000,1.500,2.500
1777474236,96281194,robot_4,77,2.000,2.000,2.500,2.500
1777474258,415511681,robot_0,57,0.000,2.000,0.500,2.500
