stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
6,210000000,global,1,0,1,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-3.329545,-3.345739,0.271422,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
13,670000000,global,2,1,1,robot,"('robot_1', 'robot_2')",robot_1,robot_2,0.677864,-0.878150,0.149148,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
27,900000000,global,3,1,2,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,-1.109269,5.000145,0.024152,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
31,950000000,global,4,1,3,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,-1.191686,5.000012,0.272180,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
64,400000000,global,5,1,4,obstacle,"('robot_2', 'box3::link::collision')",robot_2,box3::link::collision,3.172407,0.289751,0.147878,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
68,400000000,global,6,1,5,obstacle,"('robot_2', 'box3::link::collision')",robot_2,box3::link::collision,3.091909,0.339919,0.147450,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
69,820000000,global,7,1,6,obstacle,"('robot_2', 'box3::link::collision')",robot_2,box3::link::collision,3.131505,0.315509,0.147531,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
76,730000000,global,8,1,7,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,-1.152612,5.000276,0.148460,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
77,260000000,global,9,1,8,obstacle,"('robot_2', 'cylinder2::link::collision')",robot_2,cylinder2::link::collision,3.872105,-1.116147,0.134475,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
81,330000000,global,10,1,9,obstacle,"('robot_2', 'cylinder2::link::collision')",robot_2,cylinder2::link::collision,3.769996,-1.202770,0.147821,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
82,30000000,global,11,1,10,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,-1.084028,5.000349,0.272087,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
100,790000000,global,12,2,10,robot,"('robot_3', 'robot_4')",robot_3,robot_4,0.696527,1.457097,0.148455,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
159,550000000,global,13,2,11,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.450093,3.186268,0.148087,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
163,700000000,global,14,2,12,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.582253,3.385177,0.147819,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
183,70000000,global,15,3,12,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-4.147355,-0.131233,0.148867,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
186,290000000,global,16,4,12,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-4.162682,-0.003433,0.023541,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
188,710000000,global,17,5,12,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-4.153057,-0.056807,0.024018,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
213,110000000,global,18,5,13,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.564428,3.359169,0.147848,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
216,100000000,global,19,5,14,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-3.900228,0.475583,0.272433,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
218,110000000,global,20,5,15,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.565081,3.360101,0.147848,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
222,90000000,global,21,5,16,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-3.709627,0.446855,0.148217,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
223,110000000,global,22,5,17,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.565734,3.361036,0.147848,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
225,350000000,global,23,6,17,robot,"('robot_0', 'robot_2')",robot_0,robot_2,0.149148,3.158374,0.148484,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
226,310000000,global,24,6,18,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-3.904290,0.476415,0.147632,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
228,110000000,global,25,6,19,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.566386,3.361972,0.147849,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
228,430000000,global,26,6,20,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-3.878768,0.472628,0.147707,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
233,100000000,global,27,6,21,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.568597,3.365492,0.022849,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
234,740000000,global,28,7,21,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-0.980521,3.382899,0.147961,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
236,650000000,global,29,7,22,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.172438,0.290002,0.272482,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
238,440000000,global,30,7,23,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.172370,0.289777,0.023993,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
238,470000000,global,31,8,23,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-1.025379,3.426055,0.147753,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
243,180000000,global,32,8,24,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.605153,3.420084,0.023158,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
243,920000000,global,33,8,25,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.177061,0.297699,0.147724,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
248,160000000,global,34,8,26,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.609027,3.425851,0.023158,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
251,890000000,global,35,8,27,obstacle,"('robot_2', 'cylinder0::link::collision')",robot_2,cylinder0::link::collision,3.191873,3.027982,0.147593,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
253,160000000,global,36,8,28,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.609672,3.426911,0.023157,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
258,170000000,global,37,8,29,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.608754,3.425393,0.023157,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
263,160000000,global,38,8,30,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.611003,3.428818,0.023157,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
267,180000000,global,39,8,31,obstacle,"('robot_1', 'cylinder2::link::collision')",robot_1,cylinder2::link::collision,3.600122,-1.471897,0.147947,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
268,160000000,global,40,8,32,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.611648,3.429877,0.023156,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
273,170000000,global,41,8,33,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.610731,3.428359,0.023156,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
278,160000000,global,42,8,34,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.612980,3.431784,0.023156,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
283,160000000,global,43,8,35,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.613625,3.432843,0.023156,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
288,170000000,global,44,8,36,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.612708,3.431324,0.023155,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
293,160000000,global,45,8,37,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.614957,3.434749,0.023155,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
