stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
2,320000000,global,1,0,1,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-1.329053,-1.963938,0.028540,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
3,230000000,global,2,0,2,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-1.310384,-1.945554,0.254762,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
4,450000000,global,3,0,3,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-4.173227,0.517979,0.023626,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
5,110000000,global,4,0,4,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-1.312078,-1.947156,0.117696,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
7,230000000,global,5,0,5,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-4.185366,0.520357,0.148220,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
8,870000000,global,6,0,6,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-4.182444,0.519054,0.023206,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
20,520000000,global,7,1,6,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-2.854549,-0.879101,0.147657,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
21,600000000,global,8,2,6,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.771217,-0.261887,0.148177,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
24,610000000,global,9,3,6,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-3.080271,-0.776860,0.023047,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
25,900000000,global,10,4,6,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-2.957883,-0.660532,0.147916,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
28,630000000,global,11,5,6,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-2.984002,-0.915062,0.147918,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
32,330000000,global,12,6,6,robot,"('robot_0', 'robot_4')",robot_0,robot_4,-3.123963,-0.781818,0.147819,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
49,440000000,global,13,6,7,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.418366,1.357007,0.147916,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
51,500000000,global,14,6,8,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.371664,1.664529,0.147463,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
53,830000000,global,15,6,9,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.391229,1.532908,0.023062,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
59,140000000,global,16,6,10,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.500000,0.828644,0.147590,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
59,180000000,global,17,7,10,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.360702,-2.348541,0.147837,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
62,440000000,global,18,7,11,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.516236,0.721454,0.147956,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
65,680000000,global,19,8,11,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.060424,-2.558537,0.147836,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
71,70000000,global,20,9,11,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-2.080000,-2.579571,0.147825,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
88,120000000,global,21,9,12,obstacle,"('robot_2', 'box3::link::collision')",robot_2,box3::link::collision,2.300523,0.830440,0.023611,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
91,470000000,global,22,9,13,obstacle,"('robot_2', 'box3::link::collision')",robot_2,box3::link::collision,2.301552,0.829142,0.147790,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
97,210000000,global,23,9,14,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,2.691283,0.589143,0.147706,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
101,200000000,global,24,9,15,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,2.871517,0.476167,0.147914,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
132,50000000,global,25,9,16,obstacle,"('robot_4', 'cylinder2::link::collision')",robot_4,cylinder2::link::collision,3.627847,-2.048636,0.059906,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
136,150000000,global,26,9,17,obstacle,"('robot_4', 'cylinder2::link::collision')",robot_4,cylinder2::link::collision,3.610898,-2.010329,0.147571,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
140,890000000,global,27,9,18,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-2.122849,4.194128,0.148125,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
160,330000000,global,28,9,19,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,2.451501,1.070196,0.147750,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
172,250000000,global,29,9,20,obstacle,"('robot_2', 'box4::link::collision')",robot_2,box4::link::collision,-3.020850,-3.447888,0.147910,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
174,270000000,global,30,9,21,obstacle,"('robot_2', 'box4::link::collision')",robot_2,box4::link::collision,-3.144316,-3.406908,0.023009,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
176,360000000,global,31,9,22,obstacle,"('robot_2', 'box4::link::collision')",robot_2,box4::link::collision,-3.075806,-3.429527,0.147546,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
194,320000000,global,32,10,22,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-2.844972,-0.708426,0.023125,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
194,510000000,global,33,10,23,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,3.375095,-4.108531,0.148083,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
197,320000000,global,34,10,24,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,3.441901,-4.032323,0.148096,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
200,100000000,global,35,11,24,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-2.906861,-0.589492,0.147813,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
289,210000000,global,36,11,25,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,3.165755,-3.784256,0.147576,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
