stamp_sec,stamp_nsec,robot,x,y
1777548312,279216680,robot_0,-2.407,1.553
1777548312,279265767,robot_2,-0.097,-3.795
1777548312,279291160,robot_4,-2.342,-1.711
1777548312,279308736,robot_1,-3.579,-0.560
1777548312,279325471,robot_3,-0.423,0.513
1777548313,583706963,robot_0,-2.407,1.553
1777548313,583732044,robot_2,-0.097,-3.795
1777548313,583741506,robot_4,-2.342,-1.711
1777548313,583748392,robot_1,-3.579,-0.560
1777548313,583754980,robot_3,-0.423,0.513
1777548313,803184804,robot_0,-2.422,1.527
1777548313,803203295,robot_2,-0.103,-3.834
1777548313,803210604,robot_4,-2.374,-1.726
1777548313,803222720,robot_1,-3.574,-0.585
1777548313,803228957,robot_3,-0.411,0.477
1777548314,21334321,robot_0,-2.452,1.476
1777548314,21353669,robot_2,-0.112,-3.905
1777548314,21360230,robot_4,-2.430,-1.747
1777548314,21366083,robot_1,-3.561,-0.660
1777548314,21371480,robot_3,-0.393,0.413
1777548314,221868557,robot_0,-2.473,1.441
1777548314,221887984,robot_2,-0.116,-3.970
1777548314,221895519,robot_4,-2.481,-1.761
1777548314,221901749,robot_1,-3.551,-0.717
1777548314,221907215,robot_3,-0.380,0.355
1777548314,441631865,robot_0,-2.499,1.397
1777548314,441649985,robot_2,-0.117,-4.041
1777548314,441665064,robot_4,-2.539,-1.769
1777548314,441670737,robot_1,-3.543,-0.761
1777548314,441676367,robot_3,-0.372,0.289
1777548314,643092957,robot_0,-2.526,1.352
1777548314,643115553,robot_2,-0.115,-4.106
1777548314,643122708,robot_4,-2.592,-1.771
1777548314,643128389,robot_1,-3.535,-0.805
1777548314,643134357,robot_3,-0.370,0.229
1777548314,861684734,robot_0,-2.549,1.314
1777548314,861703532,robot_2,-0.108,-4.177
1777548314,861710899,robot_4,-2.651,-1.766
1777548314,861716854,robot_1,-3.528,-0.849
1777548314,861722148,robot_3,-0.372,0.164
1777548315,63705742,robot_0,-2.579,1.263
