stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777540656,676019271,robot_1,54,0.000,-1.000,0.500,-0.500
1777540656,676035690,robot_2,74,2.000,-1.000,2.500,-0.500
1777540656,676048383,robot_4,34,-2.000,-1.000,-1.500,-0.500
1777540656,676059873,robot_3,26,-3.000,1.000,-2.500,1.500
1777540656,676071348,robot_0,39,-2.000,4.000,-1.500,4.500
1777540658,475259132,robot_1,53,0.000,-2.000,0.500,-1.500
1777540658,695025693,robot_0,49,-1.000,4.000,-0.500,4.500
1777540659,335195040,robot_0,48,-1.000,3.000,-0.500,3.500
1777540660,193938078,robot_1,63,1.000,-2.000,1.500,-1.500
1777540660,395420044,robot_4,24,-3.000,-1.000,-2.500,-0.500
1777540660,613857164,robot_2,73,2.000,-2.000,2.500,-1.500
1777540662,954812789,robot_1,62,1.000,-3.000,1.500,-2.500
1777540663,155039573,robot_1,52,0.000,-3.000,0.500,-2.500
1777540665,34329171,robot_4,14,-4.000,-1.000,-3.500,-0.500
1777540665,234438707,robot_0,58,0.000,3.000,0.500,3.500
1777540666,895589068,robot_2,72,2.000,-3.000,2.500,-2.500
1777540668,554646517,robot_0,59,0.000,4.000,0.500,4.500
1777540669,395142843,robot_4,15,-4.000,0.000,-3.500,0.500
1777540684,515415000,robot_3,27,-3.000,2.000,-2.500,2.500
1777540687,55602215,robot_1,44,-1.000,-1.000,-0.500,-0.500
1777540689,855776392,robot_1,45,-1.000,0.000,-0.500,0.500
1777540690,514949806,robot_0,47,-1.000,2.000,-0.500,2.500
1777540690,715048921,robot_2,64,1.000,-1.000,1.500,-0.500
1777540693,915845439,robot_0,57,0.000,2.000,0.500,2.500
1777540694,755543107,robot_0,56,0.000,1.000,0.500,1.500
1777540695,395146663,robot_1,46,-1.000,1.000,-0.500,1.500
1777540696,16269294,robot_1,36,-2.000,1.000,-1.500,1.500
1777540696,235241770,robot_2,65,1.000,0.000,1.500,0.500
1777540697,535083667,robot_3,35,-2.000,0.000,-1.500,0.500
1777540697,755284258,robot_4,13,-4.000,-2.000,-3.500,-1.500
1777540698,395743176,robot_3,25,-3.000,0.000,-2.500,0.500
1777540700,255269715,robot_2,66,1.000,1.000,1.500,1.500
1777540700,255289159,robot_4,3,-5.000,-2.000,-4.500,-1.500
1777540702,795150038,robot_2,76,2.000,1.000,2.500,1.500
1777540709,314777770,robot_3,33,-2.000,-2.000,-1.500,-1.500
1777540715,214532076,robot_2,75,2.000,0.000,2.500,0.500
1777540722,754937135,robot_1,16,-4.000,1.000,-3.500,1.500
1777540723,174314458,robot_4,23,-3.000,-2.000,-2.500,-1.500
1777540730,355138600,robot_2,82,3.000,-3.000,3.500,-2.500
1777540732,676066953,robot_4,43,-1.000,-2.000,-0.500,-1.500
1777540733,935790746,robot_3,55,0.000,0.000,0.500,0.500
1777540741,554238956,robot_3,67,1.000,2.000,1.500,2.500
1777540746,574359320,robot_3,77,2.000,2.000,2.500,2.500
1777540749,535542542,robot_2,83,3.000,-2.000,3.500,-1.500
1777540766,814218779,robot_3,87,3.000,2.000,3.500,2.500
1777540788,356424390,robot_1,4,-5.000,-1.000,-4.500,-0.500
1777540795,955490617,robot_0,61,1.000,-4.000,1.500,-3.500
1777540798,475728326,robot_0,51,0.000,-4.000,0.500,-3.500
1777540801,175007610,robot_0,50,0.000,-5.000,0.500,-4.500
1777540814,535553117,robot_4,38,-2.000,3.000,-1.500,3.500
1777540817,654265481,robot_0,41,-1.000,-4.000,-0.500,-3.500
1777540826,935815541,robot_0,42,-1.000,-3.000,-0.500,-2.500
1777540845,275229404,robot_2,69,1.000,4.000,1.500,4.500
1777540849,734318488,robot_1,2,-5.000,-3.000,-4.500,-2.500
1777540850,155403544,robot_2,79,2.000,4.000,2.500,4.500
1777540852,734838189,robot_2,78,2.000,3.000,2.500,3.500
1777540883,134980290,robot_2,68,1.000,3.000,1.500,3.500
1777540885,455818439,robot_0,31,-2.000,-4.000,-1.500,-3.500
1777540891,174918843,robot_0,30,-2.000,-5.000,-1.500,-4.500
1777540893,275625662,robot_0,20,-3.000,-5.000,-2.500,-4.500
1777540900,35076649,robot_2,37,-2.000,2.000,-1.500,2.500
1777540902,555181089,robot_0,21,-3.000,-4.000,-2.500,-3.500
1777540917,675255349,robot_0,32,-2.000,-3.000,-1.500,-2.500
1777540925,954160396,robot_2,22,-3.000,-3.000,-2.500,-2.500
1777540928,296121939,robot_2,12,-4.000,-3.000,-3.500,-2.500
