stamp_sec,stamp_nsec,robot,x,y
1777461783,715029040,robot_0,1.745,0.346
1777461783,715088515,robot_1,-3.623,-0.617
1777461783,715118691,robot_2,-1.322,-1.089
1777461783,715143528,robot_3,-2.541,1.224
1777461783,715167535,robot_4,0.620,3.604
1777461784,888047482,robot_0,1.745,0.346
1777461784,888067924,robot_1,-3.623,-0.617
1777461784,888075598,robot_2,-1.322,-1.089
1777461784,888081201,robot_3,-2.541,1.224
1777461784,888086781,robot_4,0.620,3.604
1777461785,108405378,robot_0,1.769,0.356
1777461785,108424945,robot_1,-3.648,-0.623
1777461785,108432851,robot_2,-1.361,-1.082
1777461785,108439204,robot_3,-2.562,1.196
1777461785,108445659,robot_4,0.583,3.603
1777461785,309356555,robot_0,1.814,0.375
1777461785,309390296,robot_1,-3.688,-0.633
1777461785,309403839,robot_2,-1.425,-1.072
1777461785,309415122,robot_3,-2.601,1.146
1777461785,309426030,robot_4,0.526,3.604
1777461785,528546346,robot_0,1.865,0.397
1777461785,528566419,robot_1,-3.764,-0.650
1777461785,528573998,robot_2,-1.496,-1.064
1777461785,528579711,robot_3,-2.645,1.098
1777461785,528595063,robot_4,0.468,3.611
1777461785,729167470,robot_0,1.901,0.413
1777461785,729189304,robot_1,-3.817,-0.663
1777461785,729201963,robot_2,-1.561,-1.060
1777461785,729210182,robot_3,-2.688,1.056
1777461785,729217131,robot_4,0.416,3.623
1777461785,949126404,robot_0,1.952,0.435
1777461785,949145727,robot_1,-3.861,-0.673
1777461785,949153764,robot_2,-1.632,-1.060
1777461785,949159822,robot_3,-2.740,1.015
1777461785,949165325,robot_4,0.361,3.643
1777461786,168391117,robot_0,2.000,0.455
1777461786,168425671,robot_1,-3.909,-0.684
1777461786,168432394,robot_2,-1.704,-1.064
1777461786,168438200,robot_3,-2.794,0.978
1777461786,168448684,robot_4,0.309,3.670
1777461786,387956053,robot_0,2.041,0.473
1777461786,387976941,robot_1,-3.952,-0.694
1777461786,387983969,robot_2,-1.770,-1.072
1777461786,387989744,robot_3,-2.852,0.946
1777461786,387995132,robot_4,0.262,3.705
1777461786,588906150,robot_0,2.108,0.502
1777461786,588927658,robot_1,-3.987,-0.703
1777461786,588936438,robot_2,-1.809,-1.079
1777461786,588943116,robot_3,-2.904,0.923
1777461786,588949990,robot_4,0.227,3.737
1777461786,808405697,robot_0,2.165,0.523
1777461786,808429736,robot_1,-4.022,-0.711
1777461786,808451913,robot_2,-1.843,-1.085
1777461786,808461081,robot_3,-2.946,0.908
1777461786,808469756,robot_4,0.195,3.773
1777461787,28502001,robot_0,2.216,0.496
1777461787,28520806,robot_1,-4.065,-0.721
1777461787,28528035,robot_2,-1.880,-1.092
1777461787,28533711,robot_3,-3.004,0.889
1777461787,28546684,robot_4,0.151,3.819
1777461787,248101492,robot_0,2.284,0.477
1777461787,248134362,robot_1,-4.113,-0.731
1777461787,248149598,robot_2,-1.922,-1.100
1777461787,248163421,robot_3,-3.043,0.877
1777461787,248176275,robot_4,0.106,3.855
1777461787,468376953,robot_0,2.324,0.466
1777461787,468396112,robot_1,-4.163,-0.738
1777461787,468402985,robot_2,-1.955,-1.107
1777461787,468409067,robot_3,-3.043,0.877
1777461787,468414595,robot_4,0.058,3.885
1777461787,668405466,robot_0,2.326,0.464
1777461787,668425092,robot_1,-4.210,-0.740
1777461787,668433207,robot_2,-1.983,-1.117
1777461787,668439847,robot_3,-3.044,0.877
1777461787,668446096,robot_4,0.011,3.907
1777461787,868542342,robot_0,2.326,0.459
1777461787,868566724,robot_1,-4.255,-0.738
1777461787,868575596,robot_2,-2.010,-1.129
1777461787,868593290,robot_3,-3.045,0.877
1777461787,868600558,robot_4,-0.039,3.924
1777461788,69349181,robot_0,2.321,0.445
1777461788,69369240,robot_1,-4.299,-0.732
1777461788,69376545,robot_2,-2.037,-1.144
1777461788,69382590,robot_3,-3.045,0.877
1777461788,69388546,robot_4,-0.092,3.937
1777461788,287492765,robot_0,2.322,0.426
1777461788,287514597,robot_1,-4.347,-0.721
1777461788,287521657,robot_2,-2.066,-1.162
1777461788,287527344,robot_3,-3.045,0.876
1777461788,287532669,robot_4,-0.150,3.946
1777461788,488322860,robot_0,2.325,0.419
1777461788,488341679,robot_1,-4.389,-0.706
1777461788,488348684,robot_2,-2.091,-1.181
1777461788,488354388,robot_3,-3.045,0.876
1777461788,488359905,robot_4,-0.191,3.947
1777461788,688505843,robot_0,2.325,0.419
1777461788,688529471,robot_1,-4.428,-0.689
1777461788,688537687,robot_2,-2.115,-1.203
1777461788,688544543,robot_3,-3.046,0.876
1777461788,688551233,robot_4,-0.233,3.946
1777461788,907816541,robot_0,2.325,0.419
1777461788,907836084,robot_1,-4.468,-0.669
1777461788,907843234,robot_2,-2.143,-1.234
1777461788,907848715,robot_3,-3.046,0.875
1777461788,907854198,robot_4,-0.281,3.947
1777461789,108613256,robot_0,2.325,0.420
1777461789,108646678,robot_1,-4.523,-0.640
1777461789,108663347,robot_2,-2.171,-1.265
1777461789,108675912,robot_3,-3.046,0.875
1777461789,108687843,robot_4,-0.324,3.953
1777461789,328675712,robot_0,2.326,0.420
1777461789,328695222,robot_1,-4.578,-0.606
1777461789,328703738,robot_2,-2.205,-1.302
1777461789,328710450,robot_3,-3.047,0.875
1777461789,328716911,robot_4,-0.370,3.967
1777461789,548605603,robot_0,2.326,0.421
1777461789,548628965,robot_1,-4.630,-0.567
1777461789,548638586,robot_2,-2.243,-1.335
1777461789,548646590,robot_3,-3.047,0.875
1777461789,548654209,robot_4,-0.414,3.986
1777461789,748681421,robot_0,2.326,0.421
1777461789,748713280,robot_1,-4.666,-0.528
1777461789,748729195,robot_2,-2.280,-1.361
1777461789,748742696,robot_3,-3.047,0.875
1777461789,748755135,robot_4,-0.451,4.010
1777461789,949768900,robot_0,2.326,0.421
1777461789,949809397,robot_1,-4.667,-0.491
1777461789,949832004,robot_2,-2.319,-1.384
1777461789,949850706,robot_3,-3.047,0.875
1777461789,949868486,robot_4,-0.484,4.038
1777461790,167532337,robot_0,2.326,0.421
1777461790,167548434,robot_1,-4.671,-0.443
1777461790,167555551,robot_2,-2.365,-1.404
1777461790,167560530,robot_3,-3.047,0.875
1777461790,167565604,robot_4,-0.516,4.072
1777461790,368564136,robot_0,2.326,0.421
1777461790,368588513,robot_1,-4.677,-0.396
1777461790,368597702,robot_2,-2.408,-1.419
1777461790,368605039,robot_3,-3.047,0.875
1777461790,368612045,robot_4,-0.539,4.104
1777461790,588546459,robot_0,2.326,0.420
1777461790,588576219,robot_1,-4.676,-0.366
1777461790,588586571,robot_2,-2.455,-1.429
1777461790,588595396,robot_3,-3.046,0.875
1777461790,588603077,robot_4,-0.572,4.149
1777461790,788880420,robot_0,2.326,0.420
1777461790,788915630,robot_1,-4.676,-0.365
1777461790,788924607,robot_2,-2.494,-1.435
1777461790,788930789,robot_3,-3.046,0.876
1777461790,788937045,robot_4,-0.597,4.186
1777461790,989381590,robot_0,2.326,0.419
1777461790,989410774,robot_1,-4.671,-0.359
1777461790,989422755,robot_2,-2.546,-1.442
1777461790,989433277,robot_3,-3.046,0.876
1777461790,989443118,robot_4,-0.620,4.218
1777461791,208722356,robot_0,2.326,0.417
1777461791,208748765,robot_1,-4.663,-0.353
1777461791,208758244,robot_2,-2.604,-1.445
1777461791,208765972,robot_3,-3.046,0.876
1777461791,208773460,robot_4,-0.639,4.245
1777461791,408760806,robot_0,2.326,0.417
1777461791,408784504,robot_1,-4.661,-0.356
1777461791,408794518,robot_2,-2.655,-1.442
1777461791,408802051,robot_3,-3.046,0.876
1777461791,408809153,robot_4,-0.660,4.274
1777461791,628433539,robot_0,2.327,0.417
1777461791,628449392,robot_1,-4.660,-0.359
1777461791,628456678,robot_2,-2.710,-1.432
1777461791,628462128,robot_3,-3.046,0.877
1777461791,628467510,robot_4,-0.688,4.315
1777461791,849228032,robot_0,2.327,0.416
1777461791,849247397,robot_1,-4.659,-0.362
1777461791,849255392,robot_2,-2.763,-1.415
1777461791,849262145,robot_3,-3.046,0.877
1777461791,849268608,robot_4,-0.733,4.378
1777461792,67330805,robot_0,2.328,0.416
1777461792,67346557,robot_1,-4.659,-0.365
1777461792,67353153,robot_2,-2.814,-1.390
1777461792,67358605,robot_3,-3.046,0.877
1777461792,67363965,robot_4,-0.762,4.420
1777461792,268996811,robot_0,2.328,0.416
1777461792,269019191,robot_1,-4.659,-0.368
1777461792,269029262,robot_2,-2.857,-1.362
1777461792,269037114,robot_3,-3.047,0.878
1777461792,269044715,robot_4,-0.777,4.442
1777461792,487867568,robot_0,2.329,0.416
1777461792,487890881,robot_1,-4.661,-0.371
1777461792,487898056,robot_2,-2.893,-1.332
1777461792,487903647,robot_3,-3.047,0.878
1777461792,487908680,robot_4,-0.777,4.442
1777461792,689344671,robot_0,2.329,0.416
1777461792,689380039,robot_1,-4.662,-0.373
1777461792,689394466,robot_2,-2.921,-1.305
1777461792,689407480,robot_3,-3.047,0.878
1777461792,689419708,robot_4,-0.777,4.442
1777461792,908358958,robot_0,2.330,0.416
1777461792,908378822,robot_1,-4.663,-0.373
1777461792,908386216,robot_2,-2.949,-1.276
1777461792,908391819,robot_3,-3.048,0.878
1777461792,908396963,robot_4,-0.777,4.442
1777461793,108869030,robot_0,2.330,0.416
1777461793,108886175,robot_1,-4.662,-0.373
1777461793,108893862,robot_2,-2.977,-1.248
1777461793,108900809,robot_3,-3.048,0.878
1777461793,108908203,robot_4,-0.778,4.442
1777461793,328401611,robot_0,2.330,0.416
1777461793,328420997,robot_1,-4.661,-0.371
1777461793,328429798,robot_2,-3.003,-1.221
1777461793,328445063,robot_3,-3.048,0.878
1777461793,328451879,robot_4,-0.778,4.442
1777461793,548671946,robot_0,2.331,0.416
1777461793,548698468,robot_1,-4.660,-0.369
1777461793,548713302,robot_2,-3.024,-1.200
1777461793,548727129,robot_3,-3.048,0.878
1777461793,548739914,robot_4,-0.779,4.442
1777461793,768121259,robot_0,2.331,0.417
1777461793,768136550,robot_1,-4.659,-0.367
1777461793,768143422,robot_2,-3.055,-1.168
1777461793,768148686,robot_3,-3.048,0.878
1777461793,768153708,robot_4,-0.779,4.442
1777461793,968437925,robot_0,2.331,0.417
1777461793,968456140,robot_1,-4.659,-0.365
1777461793,968462967,robot_2,-3.095,-1.127
1777461793,968468913,robot_3,-3.048,0.878
1777461793,968474294,robot_4,-0.779,4.442
1777461794,168727585,robot_0,2.330,0.416
1777461794,168746359,robot_1,-4.659,-0.363
1777461794,168754886,robot_2,-3.140,-1.081
1777461794,168761038,robot_3,-3.048,0.878
1777461794,168767229,robot_4,-0.780,4.442
1777461794,369307927,robot_0,2.330,0.416
1777461794,369328982,robot_1,-4.659,-0.361
1777461794,369336754,robot_2,-3.168,-1.053
1777461794,369342084,robot_3,-3.048,0.878
1777461794,369347409,robot_4,-0.780,4.442
1777461794,587385409,robot_0,2.329,0.416
1777461794,587402159,robot_1,-4.660,-0.359
1777461794,587409266,robot_2,-3.213,-1.007
1777461794,587414985,robot_3,-3.047,0.878
1777461794,587420431,robot_4,-0.780,4.443
1777461794,787490068,robot_0,2.329,0.416
1777461794,787505886,robot_1,-4.661,-0.358
1777461794,787512770,robot_2,-3.256,-0.963
1777461794,787517718,robot_3,-3.047,0.878
1777461794,787523076,robot_4,-0.780,4.443
1777461794,988183220,robot_0,2.328,0.416
1777461794,988201365,robot_1,-4.661,-0.357
1777461794,988208716,robot_2,-3.284,-0.935
1777461794,988214352,robot_3,-3.047,0.877
1777461794,988219457,robot_4,-0.780,4.443
1777461795,188576438,robot_0,2.328,0.416
1777461795,188597220,robot_1,-4.662,-0.357
1777461795,188604803,robot_2,-3.309,-0.909
1777461795,188610488,robot_3,-3.047,0.877
1777461795,188616607,robot_4,-0.780,4.443
1777461795,409145974,robot_0,2.327,0.416
1777461795,409166857,robot_1,-4.662,-0.356
1777461795,409173584,robot_2,-3.337,-0.880
1777461795,409179320,robot_3,-3.046,0.877
1777461795,409185324,robot_4,-0.780,4.442
1777461795,629008027,robot_0,2.327,0.417
1777461795,629028906,robot_1,-4.662,-0.356
1777461795,629036547,robot_2,-3.368,-0.849
1777461795,629042477,robot_3,-3.046,0.876
1777461795,629048026,robot_4,-0.779,4.442
1777461795,849276817,robot_0,2.326,0.417
1777461795,849302471,robot_1,-4.662,-0.355
1777461795,849315012,robot_2,-3.389,-0.827
1777461795,849323975,robot_3,-3.046,0.876
1777461795,849332638,robot_4,-0.779,4.442
1777461796,68451540,robot_0,2.326,0.417
1777461796,68470213,robot_1,-4.662,-0.355
1777461796,68478832,robot_2,-3.408,-0.804
1777461796,68485221,robot_3,-3.046,0.876
1777461796,68492035,robot_4,-0.779,4.442
1777461796,289111247,robot_0,2.326,0.417
1777461796,289128634,robot_1,-4.662,-0.354
1777461796,289136769,robot_2,-3.424,-0.778
1777461796,289143921,robot_3,-3.046,0.876
1777461796,289150142,robot_4,-0.778,4.442
1777461796,509914740,robot_0,2.326,0.417
1777461796,509944500,robot_1,-4.663,-0.354
1777461796,509959512,robot_2,-3.436,-0.750
1777461796,509971660,robot_3,-3.046,0.876
1777461796,509982787,robot_4,-0.778,4.442
1777461796,727269506,robot_0,2.327,0.417
1777461796,727287867,robot_1,-4.663,-0.354
1777461796,727295760,robot_2,-3.444,-0.721
1777461796,727302223,robot_3,-3.046,0.876
1777461796,727308119,robot_4,-0.778,4.443
1777461796,928016308,robot_0,2.327,0.417
1777461796,928034073,robot_1,-4.663,-0.354
1777461796,928041288,robot_2,-3.449,-0.694
1777461796,928047289,robot_3,-3.047,0.877
1777461796,928052667,robot_4,-0.778,4.443
1777461797,128057800,robot_0,2.328,0.416
1777461797,128081312,robot_1,-4.663,-0.354
1777461797,128092895,robot_2,-3.450,-0.667
1777461797,128102471,robot_3,-3.047,0.877
1777461797,128111213,robot_4,-0.777,4.443
1777461797,329129768,robot_0,2.328,0.416
1777461797,329159203,robot_1,-4.663,-0.354
1777461797,329173706,robot_2,-3.448,-0.627
1777461797,329184676,robot_3,-3.047,0.877
1777461797,329201938,robot_4,-0.777,4.443
1777461797,547667280,robot_0,2.329,0.417
1777461797,547684838,robot_1,-4.663,-0.354
1777461797,547692143,robot_2,-3.443,-0.574
1777461797,547698048,robot_3,-3.047,0.877
1777461797,547703352,robot_4,-0.777,4.444
1777461797,767097156,robot_0,2.329,0.417
1777461797,767112437,robot_1,-4.662,-0.355
1777461797,767119299,robot_2,-3.437,-0.517
1777461797,767124549,robot_3,-3.048,0.877
1777461797,767129937,robot_4,-0.777,4.444
1777461797,967269024,robot_0,2.330,0.417
1777461797,967286158,robot_1,-4.662,-0.355
1777461797,967293062,robot_2,-3.432,-0.477
1777461797,967298416,robot_3,-3.048,0.877
1777461797,967303788,robot_4,-0.777,4.444
1777461798,168243124,robot_0,2.330,0.417
1777461798,168271118,robot_1,-4.662,-0.356
1777461798,168285148,robot_2,-3.427,-0.429
1777461798,168296031,robot_3,-3.048,0.877
1777461798,168305690,robot_4,-0.777,4.445
1777461798,368252407,robot_0,2.330,0.418
1777461798,368271771,robot_1,-4.662,-0.356
1777461798,368281530,robot_2,-3.422,-0.380
1777461798,368288753,robot_3,-3.049,0.877
1777461798,368295753,robot_4,-0.777,4.445
1777461798,568323612,robot_0,2.330,0.418
1777461798,568350447,robot_1,-4.662,-0.357
1777461798,568363363,robot_2,-3.418,-0.340
1777461798,568373432,robot_3,-3.049,0.877
1777461798,568383231,robot_4,-0.777,4.445
1777461798,768484454,robot_0,2.331,0.418
1777461798,768505265,robot_1,-4.662,-0.357
1777461798,768513668,robot_2,-3.415,-0.309
1777461798,768520193,robot_3,-3.049,0.877
1777461798,768527346,robot_4,-0.777,4.445
1777461798,988112040,robot_0,2.331,0.419
1777461798,988133826,robot_1,-4.663,-0.358
1777461798,988143187,robot_2,-3.411,-0.274
1777461798,988150321,robot_3,-3.049,0.876
1777461798,988158989,robot_4,-0.777,4.445
1777461799,208565001,robot_0,2.331,0.418
1777461799,208581395,robot_1,-4.663,-0.358
1777461799,208588294,robot_2,-3.406,-0.230
1777461799,208593825,robot_3,-3.050,0.876
1777461799,208599764,robot_4,-0.777,4.445
1777461799,427354064,robot_0,2.331,0.415
1777461799,427372261,robot_1,-4.663,-0.358
1777461799,427379739,robot_2,-3.399,-0.163
1777461799,427385352,robot_3,-3.050,0.876
1777461799,427391023,robot_4,-0.777,4.444
1777461799,629084707,robot_0,2.331,0.415
1777461799,629110042,robot_1,-4.663,-0.358
1777461799,629122496,robot_2,-3.394,-0.115
1777461799,629131549,robot_3,-3.050,0.875
1777461799,629140182,robot_4,-0.777,4.444
1777461799,830654100,robot_0,2.331,0.415
1777461799,830677865,robot_1,-4.663,-0.357
1777461799,830687598,robot_2,-3.394,-0.115
1777461799,830696525,robot_3,-3.035,0.875
1777461799,830704984,robot_4,-0.777,4.444
1777461800,50110309,robot_0,2.307,0.400
1777461800,50150723,robot_1,-4.662,-0.357
1777461800,50169325,robot_2,-3.394,-0.115
1777461800,50184503,robot_3,-2.992,0.876
1777461800,50205649,robot_4,-0.778,4.443
1777461800,268125187,robot_0,2.265,0.374
1777461800,268151839,robot_1,-4.662,-0.356
1777461800,268161683,robot_2,-3.394,-0.115
1777461800,268169382,robot_3,-2.965,0.876
1777461800,268177126,robot_4,-0.778,4.443
1777461800,468632246,robot_0,2.223,0.347
1777461800,468658622,robot_1,-4.662,-0.356
1777461800,468669943,robot_2,-3.395,-0.115
1777461800,468678708,robot_3,-2.930,0.876
1777461800,468686592,robot_4,-0.778,4.443
1777461800,688302332,robot_0,2.185,0.324
1777461800,688327752,robot_1,-4.663,-0.356
1777461800,688336158,robot_2,-3.395,-0.114
1777461800,688342525,robot_3,-2.880,0.876
1777461800,688349320,robot_4,-0.778,4.443
1777461800,908199468,robot_0,2.136,0.293
1777461800,908223272,robot_1,-4.663,-0.355
1777461800,908231226,robot_2,-3.395,-0.114
1777461800,908237559,robot_3,-2.815,0.877
1777461800,908243116,robot_4,-0.779,4.442
1777461801,127312763,robot_0,2.081,0.258
