stamp_sec,stamp_nsec,robot,x,y
1777455407,747679373,robot_0,-2.270,0.515
1777455407,747735605,robot_4,-0.194,2.308
1777455407,747763183,robot_1,-0.739,0.485
1777455407,747786760,robot_2,0.957,2.813
1777455407,747812248,robot_3,1.801,-0.588
1777455408,923828273,robot_0,-2.270,0.515
1777455408,923848623,robot_4,-0.194,2.308
1777455408,923855970,robot_1,-0.739,0.485
1777455408,923861678,robot_2,0.957,2.813
1777455408,923866716,robot_3,1.801,-0.588
1777455409,144509755,robot_0,-2.291,0.501
1777455409,144536809,robot_4,-0.171,2.320
1777455409,144548400,robot_1,-0.758,0.468
1777455409,144558371,robot_2,0.948,2.790
1777455409,144568506,robot_3,1.776,-0.593
1777455409,362932360,robot_0,-2.327,0.475
1777455409,362949657,robot_4,-0.132,2.341
1777455409,362956509,robot_1,-0.792,0.440
1777455409,362962491,robot_2,0.932,2.749
1777455409,362967709,robot_3,1.733,-0.602
1777455409,563378667,robot_0,-2.360,0.453
1777455409,563403493,robot_4,-0.097,2.359
1777455409,563410925,robot_1,-0.822,0.414
1777455409,563424542,robot_2,0.917,2.712
1777455409,563431954,robot_3,1.694,-0.610
1777455409,763925291,robot_0,-2.393,0.430
1777455409,763947098,robot_4,-0.062,2.378
1777455409,763953707,robot_1,-0.853,0.388
1777455409,763958921,robot_2,0.902,2.675
1777455409,763964380,robot_3,1.655,-0.618
1777455409,982949206,robot_0,-2.429,0.405
1777455409,982968329,robot_4,-0.023,2.399
1777455409,982975382,robot_1,-0.887,0.360
1777455409,982981029,robot_2,0.886,2.634
1777455409,982986154,robot_3,1.612,-0.627
1777455410,182981190,robot_0,-2.461,0.382
1777455410,182998797,robot_4,0.012,2.418
1777455410,183005474,robot_1,-0.917,0.334
1777455410,183011331,robot_2,0.871,2.596
1777455410,183016145,robot_3,1.572,-0.635
1777455410,383450627,robot_0,-2.494,0.359
1777455410,383468005,robot_4,0.048,2.437
1777455410,383475155,robot_1,-0.948,0.308
1777455410,383480741,robot_2,0.857,2.559
1777455410,383485776,robot_3,1.533,-0.644
1777455410,602722617,robot_0,-2.530,0.334
1777455410,602739997,robot_4,0.086,2.457
1777455410,602746606,robot_1,-0.981,0.280
1777455410,602752471,robot_2,0.840,2.518
1777455410,602757593,robot_3,1.490,-0.653
1777455410,802850526,robot_0,-2.563,0.311
1777455410,802867106,robot_4,0.122,2.476
1777455410,802873705,robot_1,-1.012,0.254
1777455410,802886324,robot_2,0.826,2.481
1777455410,802891293,robot_3,1.451,-0.661
1777455411,22806151,robot_0,-2.599,0.286
1777455411,22823865,robot_4,0.149,2.491
1777455411,22830811,robot_1,-1.045,0.225
1777455411,22836576,robot_2,0.810,2.440
1777455411,22841894,robot_3,1.408,-0.670
1777455411,224424143,robot_0,-2.632,0.263
1777455411,224444300,robot_4,0.148,2.491
1777455411,224452937,robot_1,-1.076,0.200
1777455411,224460679,robot_2,0.795,2.403
1777455411,224467579,robot_3,1.369,-0.678
1777455411,443592124,robot_0,-2.668,0.238
