stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777453282,542309100,robot_1,24,-3.000,-1.000,-2.500,-0.500
1777453282,542344362,robot_2,44,-1.000,-1.000,-0.500,-0.500
1777453282,542372917,robot_3,74,2.000,-1.000,2.500,-0.500
1777453282,542400184,robot_0,55,0.000,0.000,0.500,0.500
1777453282,542424157,robot_4,77,2.000,2.000,2.500,2.500
1777453284,808898458,robot_1,14,-4.000,-1.000,-3.500,-0.500
1777453285,848945551,robot_0,56,0.000,1.000,0.500,1.500
1777453286,689816188,robot_2,45,-1.000,0.000,-0.500,0.500
1777453288,150385852,robot_1,13,-4.000,-2.000,-3.500,-1.500
1777453288,569707478,robot_3,64,1.000,-1.000,1.500,-0.500
1777453289,590097352,robot_0,66,1.000,1.000,1.500,1.500
1777453291,670457532,robot_3,63,1.000,-2.000,1.500,-1.500
1777453291,889501359,robot_0,67,1.000,2.000,1.500,2.500
1777453292,310565479,robot_2,65,1.000,0.000,1.500,0.500
1777453293,810008468,robot_1,12,-4.000,-3.000,-3.500,-2.500
1777453294,29470777,robot_3,53,0.000,-2.000,0.500,-1.500
1777453295,710621272,robot_1,2,-5.000,-3.000,-4.500,-2.500
1777453297,409994320,robot_2,75,2.000,0.000,2.500,0.500
1777453298,49739199,robot_0,68,1.000,3.000,1.500,3.500
1777453298,250115254,robot_0,78,2.000,3.000,2.500,3.500
1777453299,290229051,robot_3,43,-1.000,-2.000,-0.500,-1.500
1777453304,329769294,robot_0,79,2.000,4.000,2.500,4.500
1777453312,569980284,robot_2,73,2.000,-2.000,2.500,-1.500
1777453313,629720820,robot_0,89,3.000,4.000,3.500,4.500
1777453316,790381230,robot_4,76,2.000,1.000,2.500,1.500
1777453317,849029225,robot_2,72,2.000,-3.000,2.500,-2.500
1777453318,69124092,robot_3,35,-2.000,0.000,-1.500,0.500
1777453321,8972214,robot_2,82,3.000,-3.000,3.500,-2.500
1777453321,429660061,robot_3,36,-2.000,1.000,-1.500,1.500
1777453326,750572835,robot_3,37,-2.000,2.000,-1.500,2.500
1777453328,249824653,robot_4,54,0.000,-1.000,0.500,-0.500
1777453332,900465745,robot_3,27,-3.000,2.000,-2.500,2.500
1777453335,619949588,robot_3,26,-3.000,1.000,-2.500,1.500
1777453343,400631034,robot_4,52,0.000,-3.000,0.500,-2.500
1777453347,699817049,robot_4,62,1.000,-3.000,1.500,-2.500
1777453359,698791201,robot_4,61,1.000,-4.000,1.500,-3.500
1777453364,940696146,robot_4,60,1.000,-5.000,1.500,-4.500
1777453376,320050226,robot_2,83,3.000,-2.000,3.500,-1.500
1777453377,779569794,robot_1,15,-4.000,0.000,-3.500,0.500
1777453380,159635345,robot_2,84,3.000,-1.000,3.500,-0.500
1777453388,319516,robot_1,25,-3.000,0.000,-2.500,0.500
1777453394,339408295,robot_1,34,-2.000,-1.000,-1.500,-0.500
1777453409,899172569,robot_1,46,-1.000,1.000,-0.500,1.500
1777453415,198787069,robot_1,57,0.000,2.000,0.500,2.500
1777453420,458976014,robot_1,58,0.000,3.000,0.500,3.500
1777453425,721347927,robot_1,69,1.000,4.000,1.500,4.500
1777453435,220220906,robot_2,81,3.000,-4.000,3.500,-3.500
1777453437,118736234,robot_2,91,4.000,-4.000,4.500,-3.500
1777453461,580733599,robot_1,99,4.000,4.000,4.500,4.500
1777453470,179938138,robot_3,51,0.000,-4.000,0.500,-3.500
1777453472,119330555,robot_3,50,0.000,-5.000,0.500,-4.500
1777453497,159730767,robot_1,98,4.000,3.000,4.500,3.500
1777453499,279262405,robot_3,41,-1.000,-4.000,-0.500,-3.500
1777453505,959772287,robot_0,3,-5.000,-2.000,-4.500,-1.500
1777453549,744784588,robot_3,47,-1.000,2.000,-0.500,2.500
1777453561,644216487,robot_3,48,-1.000,3.000,-0.500,3.500
1777453567,907026010,robot_3,59,0.000,4.000,0.500,4.500
1777453572,156873765,robot_0,22,-3.000,-3.000,-2.500,-2.500
