stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
23,240000000,global,1,0,1,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.067568,3.511293,0.087254,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
34,320000000,global,2,1,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.721926,4.202265,0.147818,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
39,90000000,global,3,2,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.691005,4.205578,0.023935,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
41,240000000,global,4,3,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.693546,4.255834,0.147512,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
47,990000000,global,5,4,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.770681,4.487587,0.147804,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
49,820000000,global,6,4,2,obstacle,"('robot_0', 'north_wall::link::collision')",robot_0,north_wall::link::collision,1.426785,5.000130,0.023122,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
50,600000000,global,7,5,2,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.759868,4.462301,0.148152,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
51,40000000,global,8,5,3,obstacle,"('robot_0', 'north_wall::link::collision')",robot_0,north_wall::link::collision,1.682735,5.000183,0.271704,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
53,210000000,global,9,6,3,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.799070,4.528884,0.147914,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
53,550000000,global,10,6,4,obstacle,"('robot_0', 'north_wall::link::collision')",robot_0,north_wall::link::collision,1.561369,5.000610,0.147696,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
55,110000000,global,11,6,5,obstacle,"('robot_0', 'north_wall::link::collision')",robot_0,north_wall::link::collision,1.573840,5.000145,0.147700,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
57,30000000,global,12,7,5,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.936665,4.772480,0.148063,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
60,680000000,global,13,8,5,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.958875,4.534424,0.148032,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
62,670000000,global,14,9,5,robot,"('robot_0', 'robot_2')",robot_0,robot_2,1.959396,4.585320,0.147566,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
72,720000000,global,15,10,5,robot,"('robot_1', 'robot_2')",robot_1,robot_2,2.765841,4.366786,0.147748,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
77,10000000,global,16,10,6,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-4.185825,0.520585,0.024162,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
80,730000000,global,17,10,7,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-3.979947,0.488188,0.147915,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
99,170000000,global,18,11,7,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.584656,4.284920,0.147915,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
100,840000000,global,19,12,7,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.807236,4.040203,0.147966,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
103,120000000,global,20,13,7,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.862415,4.002034,0.147738,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
105,390000000,global,21,14,7,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.743436,4.206906,0.148083,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
107,800000000,global,22,14,8,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,2.948167,5.000910,0.148058,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
113,640000000,global,23,14,9,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,3.375963,5.000072,0.147659,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
113,820000000,global,24,15,9,robot,"('robot_0', 'robot_2')",robot_0,robot_2,3.106308,4.522825,0.147847,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
115,520000000,global,25,15,10,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,3.510958,5.000944,0.147543,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
117,950000000,global,26,16,10,robot,"('robot_0', 'robot_2')",robot_0,robot_2,3.064959,4.418581,0.147753,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
118,300000000,global,27,16,11,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,3.432329,5.001762,0.147892,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
120,800000000,global,28,16,12,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,3.383464,5.000275,0.147893,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
122,140000000,global,29,17,12,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.143082,3.913338,0.023186,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
123,380000000,global,30,17,13,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,3.360293,5.000329,0.147770,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
124,980000000,global,31,17,14,obstacle,"('robot_2', 'north_wall::link::collision')",robot_2,north_wall::link::collision,3.424839,5.000172,0.147582,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
131,830000000,global,32,18,14,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.541517,3.724162,0.148445,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
151,30000000,global,33,19,14,robot,"('robot_0', 'robot_2')",robot_0,robot_2,4.185725,4.216371,0.148086,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
152,500000000,global,34,19,15,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.002219,3.694299,0.147625,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
152,950000000,global,35,20,15,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.773929,3.538331,0.147743,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
157,70000000,global,36,21,15,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.543697,3.311892,0.272543,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
158,610000000,global,37,22,15,robot,"('robot_0', 'robot_2')",robot_0,robot_2,4.495465,3.795046,0.147540,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
159,450000000,global,38,23,15,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.710740,3.152842,0.148639,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
165,300000000,global,39,24,15,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.510337,3.101542,0.147381,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
