stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
9,790000000,global,1,0,1,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.338912,-1.974339,0.070932,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
10,710000000,global,2,0,2,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.336186,-1.971412,0.117886,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
13,40000000,global,3,0,3,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.268757,-1.909862,0.147782,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
13,430000000,global,4,0,4,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000049,-3.432835,0.024198,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
23,200000000,global,5,0,5,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000079,-3.647465,0.023564,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
27,850000000,global,6,0,6,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000343,-3.554197,0.272079,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
34,490000000,global,7,0,7,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.123258,2.575936,0.147877,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
38,210000000,global,8,0,8,obstacle,"('robot_3', 'cylinder1::link::collision')",robot_3,cylinder1::link::collision,-0.705096,-2.926066,0.148573,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
38,960000000,global,9,0,9,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.211722,2.705323,0.147781,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
40,730000000,global,10,0,10,obstacle,"('robot_3', 'cylinder1::link::collision')",robot_3,cylinder1::link::collision,-0.566820,-2.853396,0.048861,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
42,170000000,global,11,0,11,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,2.527134,1.195351,0.149161,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
42,430000000,global,12,0,12,obstacle,"('robot_3', 'cylinder1::link::collision')",robot_3,cylinder1::link::collision,-0.589583,-2.868759,0.147989,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
44,130000000,global,13,0,13,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.298849,2.835486,0.148014,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
45,600000000,global,14,0,14,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,2.608001,1.327205,0.147736,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
48,710000000,global,15,0,15,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.176566,2.652174,0.147330,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
51,20000000,global,16,0,16,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.162513,2.631524,0.147481,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
53,820000000,global,17,0,17,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.261516,2.779939,0.148087,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
59,40000000,global,18,0,18,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.124355,2.573924,0.272378,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
64,250000000,global,19,0,19,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.199648,2.689065,0.148083,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
66,410000000,global,20,0,20,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.086772,2.517836,0.023055,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
74,560000000,global,21,0,21,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.086876,2.517642,0.147762,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
81,630000000,global,22,0,22,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.134347,2.589628,0.147905,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
84,390000000,global,23,0,23,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.152424,2.617528,0.147678,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
89,870000000,global,24,0,24,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.400165,-2.075575,0.147926,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
93,140000000,global,25,0,25,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.337042,3.018938,0.023540,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
94,500000000,global,26,0,26,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.445245,-2.009619,0.204885,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
95,560000000,global,27,0,27,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.336924,3.018865,0.147794,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
