stamp_sec,stamp_nsec,robot,x,y
1777374057,274055836,robot_1,-0.250,3.500
1777374057,274118357,robot_3,1.250,-0.250
1777374057,274145237,robot_0,3.500,-3.250
1777374057,274168354,robot_2,-3.250,-1.750
1777374057,274192371,robot_4,-1.750,1.250
1777374058,836978645,robot_1,-0.250,3.500
1777374058,837006726,robot_3,1.250,-0.250
1777374058,837017694,robot_0,3.500,-3.250
1777374058,837026678,robot_2,-3.250,-1.750
1777374058,837034459,robot_4,-1.750,1.250
1777374059,55446308,robot_1,-0.217,3.500
1777374059,55468628,robot_3,1.287,-0.250
1777374059,55480508,robot_0,3.533,-3.250
1777374059,55493163,robot_2,-3.225,-1.750
1777374059,55500116,robot_4,-1.715,1.250
1777374059,255650355,robot_1,-0.150,3.500
1777374059,255671327,robot_3,1.347,-0.253
1777374059,255680862,robot_0,3.585,-3.250
1777374059,255688435,robot_2,-3.185,-1.750
1777374059,255695443,robot_4,-1.661,1.247
1777374059,475404082,robot_1,-0.075,3.500
1777374059,475428295,robot_3,1.412,-0.261
1777374059,475437002,robot_0,3.630,-3.250
1777374059,475444059,robot_2,-3.141,-1.750
1777374059,475450625,robot_4,-1.603,1.237
1777374059,676413072,robot_1,-0.035,3.500
1777374059,676446380,robot_3,1.471,-0.273
1777374059,676462086,robot_0,3.687,-3.250
1777374059,676475101,robot_2,-3.098,-1.750
1777374059,676486036,robot_4,-1.544,1.220
1777374059,895947187,robot_1,0.009,3.500
1777374059,895979290,robot_3,1.533,-0.291
1777374059,895986860,robot_0,3.770,-3.250
1777374059,895993517,robot_2,-3.048,-1.750
1777374059,895999557,robot_4,-1.479,1.198
1777374060,116054037,robot_1,0.055,3.500
1777374060,116080036,robot_3,1.592,-0.315
1777374060,116095543,robot_0,3.852,-3.250
1777374060,116104579,robot_2,-3.004,-1.750
1777374060,116113347,robot_4,-1.420,1.183
1777374060,336779475,robot_1,0.103,3.500
1777374060,336804494,robot_3,1.625,-0.329
1777374060,336812621,robot_0,3.914,-3.250
1777374060,336819198,robot_2,-2.941,-1.750
1777374060,336839463,robot_4,-1.361,1.174
1777374060,537377732,robot_1,0.143,3.500
1777374060,537399510,robot_3,1.654,-0.341
1777374060,537407667,robot_0,3.970,-3.250
1777374060,537414405,robot_2,-2.876,-1.747
1777374060,537420521,robot_4,-1.307,1.174
1777374060,755644510,robot_1,0.187,3.500
1777374060,755673070,robot_3,1.694,-0.359
1777374060,755686337,robot_0,4.039,-3.250
1777374060,755709448,robot_2,-2.805,-1.741
1777374060,755719065,robot_4,-1.248,1.180
1777374060,956523949,robot_1,0.226,3.500
1777374060,956554640,robot_3,1.731,-0.374
1777374060,956565033,robot_0,4.080,-3.250
1777374060,956574565,robot_2,-2.742,-1.732
1777374060,956582345,robot_4,-1.197,1.192
1777374061,157146518,robot_1,0.258,3.500
1777374061,157190188,robot_3,1.767,-0.390
1777374061,157206997,robot_0,4.121,-3.250
1777374061,157221534,robot_2,-2.679,-1.720
1777374061,157235146,robot_4,-1.158,1.206
1777374061,376426020,robot_1,0.303,3.499
1777374061,376452780,robot_3,1.809,-0.408
1777374061,376461666,robot_0,4.165,-3.250
1777374061,376468853,robot_2,-2.611,-1.702
1777374061,376475362,robot_4,-1.112,1.222
1777374061,576597072,robot_1,0.350,3.495
1777374061,576627963,robot_3,1.864,-0.432
1777374061,576640808,robot_0,4.205,-3.250
1777374061,576651432,robot_2,-2.551,-1.682
1777374061,576662469,robot_4,-1.066,1.232
1777374061,795654381,robot_1,0.400,3.485
1777374061,795677776,robot_3,1.923,-0.457
1777374061,795686387,robot_0,4.249,-3.249
1777374061,795693287,robot_2,-2.494,-1.660
1777374061,795700201,robot_4,-1.015,1.234
1777374061,996074546,robot_1,0.443,3.472
1777374061,996103312,robot_3,1.973,-0.479
1777374061,996112330,robot_0,4.288,-3.246
1777374061,996119087,robot_2,-2.458,-1.643
1777374061,996125962,robot_4,-0.972,1.233
1777374062,197111589,robot_1,0.485,3.456
1777374062,197154020,robot_3,2.010,-0.495
1777374062,197199513,robot_0,4.328,-3.238
1777374062,197219216,robot_2,-2.421,-1.627
1777374062,197237304,robot_4,-0.928,1.227
1777374062,416650985,robot_1,0.529,3.434
1777374062,416678447,robot_3,2.051,-0.512
1777374062,416692403,robot_0,4.370,-3.224
1777374062,416702909,robot_2,-2.381,-1.608
1777374062,416711466,robot_4,-0.882,1.213
1777374062,636580348,robot_1,0.570,3.408
1777374062,636606853,robot_3,2.098,-0.533
1777374062,636616914,robot_0,4.409,-3.203
1777374062,636623943,robot_2,-2.342,-1.590
