stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
10,840000000,global,1,1,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,0.763109,1.491010,0.024149,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
15,10000000,global,2,2,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,0.707157,1.678401,0.023863,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
24,900000000,global,3,2,1,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.494076,-2.411598,0.058912,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
49,540000000,global,4,2,2,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000753,-3.758731,0.149147,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
51,460000000,global,5,2,3,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.172112,0.290273,0.024163,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
51,780000000,global,6,2,4,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000521,-3.889017,0.023685,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
53,230000000,global,7,2,5,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.172407,0.289751,0.147530,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
53,690000000,global,8,2,6,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000120,-3.854319,0.272536,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
55,640000000,global,9,2,7,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000193,-3.913289,0.147558,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
60,710000000,global,10,2,8,obstacle,"('robot_0', 'east_wall::link::collision')",robot_0,east_wall::link::collision,5.000058,-3.721159,0.272567,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
60,880000000,global,11,2,9,obstacle,"('robot_4', 'cylinder2::link::collision')",robot_4,cylinder2::link::collision,3.555837,-1.695947,0.147725,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
63,530000000,global,12,2,10,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.137976,3.062033,0.147967,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
66,70000000,global,13,2,11,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.087366,3.110700,0.226367,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
77,110000000,global,14,2,12,obstacle,"('robot_2', 'box4::link::collision')",robot_2,box4::link::collision,-2.847760,-3.504876,0.023082,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
82,120000000,global,15,2,13,obstacle,"('robot_2', 'box4::link::collision')",robot_2,box4::link::collision,-3.041089,-3.440963,0.147588,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
91,480000000,global,16,2,14,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,2.568116,-3.263408,0.148087,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
95,730000000,global,17,2,15,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,2.429640,-3.141686,0.147522,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
97,510000000,global,18,2,16,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,2.354865,-3.076936,0.147635,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
99,710000000,global,19,2,17,obstacle,"('robot_2', 'box1::link::collision')",robot_2,box1::link::collision,-3.561915,0.423505,0.148065,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
105,140000000,global,20,2,18,obstacle,"('robot_2', 'box1::link::collision')",robot_2,box1::link::collision,-3.561532,0.427840,0.147620,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
112,470000000,global,21,3,18,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-2.004007,-0.584352,0.148097,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
