stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777376519,992767735,robot_3,64,1.000,-1.000,1.500,-0.500
1777376519,992788780,robot_0,81,3.000,-4.000,3.500,-3.500
1777376519,992804867,robot_1,48,-1.000,3.000,-0.500,3.500
1777376519,992819652,robot_2,13,-4.000,-2.000,-3.500,-1.500
1777376519,992836790,robot_4,36,-2.000,1.000,-1.500,1.500
1777376523,108322948,robot_1,58,0.000,3.000,0.500,3.500
1777376523,108336255,robot_2,23,-3.000,-2.000,-2.500,-1.500
1777376523,928862908,robot_0,91,4.000,-4.000,4.500,-3.500
1777376524,768143899,robot_4,35,-2.000,0.000,-1.500,0.500
1777376525,188326224,robot_3,74,2.000,-1.000,2.500,-0.500
1777376525,628781442,robot_4,45,-1.000,0.000,-0.500,0.500
1777376526,689424479,robot_1,57,0.000,2.000,0.500,2.500
1777376528,568792023,robot_2,33,-2.000,-2.000,-1.500,-1.500
1777376529,829809582,robot_4,44,-1.000,-1.000,-0.500,-0.500
1777376531,308979982,robot_3,84,3.000,-1.000,3.500,-0.500
1777376532,148432797,robot_1,56,0.000,1.000,0.500,1.500
1777376532,348475457,robot_1,46,-1.000,1.000,-0.500,1.500
1777376535,288689806,robot_4,43,-1.000,-2.000,-0.500,-1.500
1777376538,509350323,robot_3,85,3.000,0.000,3.500,0.500
1777376539,348767987,robot_3,95,4.000,0.000,4.500,0.500
1777376540,788761757,robot_1,66,1.000,1.000,1.500,1.500
1777376544,388068700,robot_1,65,1.000,0.000,1.500,0.500
1777376545,429069214,robot_1,75,2.000,0.000,2.500,0.500
1777376546,89449397,robot_1,76,2.000,1.000,2.500,1.500
