stamp_sec,stamp_nsec,robot,x,y
1777374392,814529804,robot_3,1.250,-0.250
1777374392,814577182,robot_1,-0.250,3.500
1777374392,814599173,robot_4,-1.750,1.250
1777374392,814617471,robot_2,-3.250,-1.750
1777374392,814636478,robot_0,3.500,-3.250
1777374394,542823370,robot_3,1.250,-0.250
1777374394,542850254,robot_1,-0.250,3.500
1777374394,542861675,robot_4,-1.750,1.250
1777374394,542871017,robot_2,-3.250,-1.750
1777374394,542879005,robot_0,3.500,-3.250
1777374394,762069246,robot_3,1.275,-0.250
1777374394,762095575,robot_1,-0.217,3.500
1777374394,762105362,robot_4,-1.725,1.250
1777374394,762122659,robot_2,-3.225,-1.750
1777374394,762130376,robot_0,3.525,-3.250
1777374394,963977305,robot_3,1.315,-0.250
1777374394,964017246,robot_1,-0.164,3.500
1777374394,964035904,robot_4,-1.682,1.250
1777374394,964052313,robot_2,-3.160,-1.750
1777374394,964066773,robot_0,3.559,-3.250
1777374395,183830236,robot_3,1.383,-0.251
1777374395,183867529,robot_1,-0.120,3.500
1777374395,183883584,robot_4,-1.616,1.249
1777374395,183895623,robot_2,-3.089,-1.746
1777374395,183906731,robot_0,3.590,-3.250
1777374395,403066772,robot_3,1.449,-0.254
1777374395,403104650,robot_1,-0.076,3.500
1777374395,403119811,robot_4,-1.557,1.242
1777374395,403131832,robot_2,-3.017,-1.739
1777374395,403142270,robot_0,3.634,-3.250
1777374395,603758597,robot_3,1.508,-0.262
1777374395,603806062,robot_1,-0.028,3.500
1777374395,603828502,robot_4,-1.505,1.231
1777374395,603847348,robot_2,-2.953,-1.729
1777374395,603884506,robot_0,3.674,-3.250
1777374395,823494876,robot_3,1.573,-0.276
1777374395,823528582,robot_1,0.053,3.500
1777374395,823558143,robot_4,-1.450,1.211
1777374395,823569589,robot_2,-2.883,-1.715
1777374395,823580674,robot_0,3.723,-3.250
1777374396,24217339,robot_3,1.630,-0.294
1777374396,24248060,robot_1,0.097,3.500
1777374396,24260206,robot_4,-1.402,1.188
1777374396,24269544,robot_2,-2.820,-1.698
1777374396,24278281,robot_0,3.776,-3.250
1777374396,243529213,robot_3,1.691,-0.318
1777374396,243565572,robot_1,0.141,3.500
1777374396,243580887,robot_4,-1.353,1.156
1777374396,243592342,robot_2,-2.753,-1.676
1777374396,243602857,robot_0,3.823,-3.250
1777374396,462348652,robot_3,1.751,-0.347
1777374396,462379887,robot_1,0.186,3.500
1777374396,462392882,robot_4,-1.309,1.119
1777374396,462404899,robot_2,-2.705,-1.658
1777374396,462415497,robot_0,3.867,-3.250
1777374396,662629862,robot_3,1.791,-0.371
1777374396,662662187,robot_1,0.230,3.500
1777374396,662677395,robot_4,-1.281,1.089
1777374396,662688990,robot_2,-2.668,-1.642
1777374396,662699940,robot_0,3.907,-3.250
1777374396,882471198,robot_3,1.827,-0.396
1777374396,882501457,robot_1,0.276,3.500
1777374396,882515413,robot_4,-1.252,1.055
1777374396,882526838,robot_2,-2.628,-1.625
1777374396,882537279,robot_0,3.966,-3.250
1777374397,84160214,robot_3,1.859,-0.420
1777374397,84193042,robot_1,0.316,3.500
1777374397,84206604,robot_4,-1.224,1.021
1777374397,84217623,robot_2,-2.601,-1.613
1777374397,84228367,robot_0,4.011,-3.250
1777374397,302766775,robot_3,1.910,-0.455
1777374397,302796266,robot_1,0.360,3.500
1777374397,302809867,robot_4,-1.182,0.973
1777374397,302832787,robot_2,-2.565,-1.598
1777374397,302842561,robot_0,4.055,-3.250
1777374397,522972245,robot_3,1.952,-0.485
1777374397,523011063,robot_1,0.396,3.500
1777374397,523028691,robot_4,-1.139,0.934
1777374397,523042502,robot_2,-2.524,-1.580
1777374397,523055626,robot_0,4.099,-3.250
1777374397,741800787,robot_3,1.988,-0.511
1777374397,741828701,robot_1,0.436,3.500
1777374397,741840405,robot_4,-1.091,0.899
1777374397,741849322,robot_2,-2.484,-1.563
1777374397,741857907,robot_0,4.171,-3.250
1777374397,942370523,robot_3,2.021,-0.534
1777374397,942423062,robot_1,0.476,3.500
1777374397,942437161,robot_4,-1.044,0.872
1777374397,942449039,robot_2,-2.454,-1.550
1777374397,942460135,robot_0,4.236,-3.250
