stamp_sec,stamp_nsec,robot,x,y
1777335179,217261156,robot_1,-0.250,3.500
1777335179,217310745,robot_4,-1.750,1.250
1777335179,217334508,robot_2,-3.250,-1.750
1777335179,217354072,robot_3,1.250,-0.250
1777335179,217375715,robot_0,3.500,-3.250
1777335180,391817250,robot_1,-0.250,3.500
1777335180,391847438,robot_4,-1.750,1.250
1777335180,391859288,robot_2,-3.250,-1.750
1777335180,391870179,robot_3,1.250,-0.250
1777335180,391879726,robot_0,3.500,-3.250
1777335180,592249581,robot_1,-0.229,3.500
1777335180,592272598,robot_4,-1.729,1.250
1777335180,592283262,robot_2,-3.234,-1.750
1777335180,592292479,robot_3,1.271,-0.250
1777335180,592301383,robot_0,3.516,-3.250
1777335180,810271610,robot_1,-0.185,3.500
1777335180,810290880,robot_4,-1.685,1.250
1777335180,810297299,robot_2,-3.199,-1.750
1777335180,810303441,robot_3,1.315,-0.250
1777335180,810308812,robot_0,3.574,-3.250
1777335181,11622031,robot_1,-0.150,3.500
1777335181,11644461,robot_4,-1.645,1.250
1777335181,11653393,robot_2,-3.166,-1.749
1777335181,11660395,robot_3,1.355,-0.250
1777335181,11667480,robot_0,3.619,-3.250
1777335181,212212799,robot_1,-0.116,3.500
1777335181,212230230,robot_4,-1.605,1.250
1777335181,212237146,robot_2,-3.129,-1.748
1777335181,212242843,robot_3,1.395,-0.250
1777335181,212248144,robot_0,3.659,-3.250
1777335181,431689895,robot_1,-0.067,3.499
1777335181,431717300,robot_4,-1.561,1.250
1777335181,431728242,robot_2,-3.063,-1.745
1777335181,431737308,robot_3,1.439,-0.250
1777335181,431753241,robot_0,3.703,-3.250
1777335181,650777286,robot_1,-0.025,3.498
1777335181,650795277,robot_4,-1.498,1.250
1777335181,650801671,robot_2,-3.014,-1.744
1777335181,650807292,robot_3,1.483,-0.250
1777335181,650812494,robot_0,3.758,-3.250
1777335181,851805267,robot_1,0.006,3.498
1777335181,851849580,robot_4,-1.426,1.251
1777335181,851861509,robot_2,-2.974,-1.743
1777335181,851882917,robot_3,1.523,-0.250
1777335181,851894966,robot_0,3.817,-3.250
1777335182,51841427,robot_1,0.031,3.499
1777335182,51870304,robot_4,-1.360,1.252
1777335182,51878780,robot_2,-2.934,-1.741
1777335182,51885814,robot_3,1.563,-0.250
1777335182,51892485,robot_0,3.892,-3.250
1777335182,270741848,robot_1,0.071,3.499
1777335182,270759483,robot_4,-1.292,1.253
1777335182,270766012,robot_2,-2.890,-1.740
1777335182,270771788,robot_3,1.593,-0.250
1777335182,270777272,robot_0,3.947,-3.250
1777335182,472357830,robot_1,0.108,3.500
1777335182,472389771,robot_4,-1.232,1.254
1777335182,472401000,robot_2,-2.841,-1.738
1777335182,472409203,robot_3,1.630,-0.250
1777335182,472417327,robot_0,3.987,-3.250
1777335182,691411606,robot_1,0.150,3.501
1777335182,691435599,robot_4,-1.164,1.254
1777335182,691445894,robot_2,-2.775,-1.736
1777335182,691454766,robot_3,1.695,-0.250
1777335182,691463320,robot_0,4.031,-3.250
1777335182,891475403,robot_1,0.190,3.502
1777335182,891496582,robot_4,-1.123,1.254
1777335182,891503601,robot_2,-2.705,-1.734
1777335182,891509371,robot_3,1.753,-0.250
1777335182,891522887,robot_0,4.071,-3.250
1777335183,91581273,robot_1,0.230,3.503
1777335183,91602407,robot_4,-1.091,1.255
1777335183,91611755,robot_2,-2.646,-1.732
1777335183,91619586,robot_3,1.814,-0.250
1777335183,91627094,robot_0,4.111,-3.250
1777335183,311784757,robot_1,0.274,3.504
1777335183,311806607,robot_4,-1.067,1.254
1777335183,311815335,robot_2,-2.590,-1.730
1777335183,311822370,robot_3,1.888,-0.250
1777335183,311829490,robot_0,4.155,-3.250
1777335183,511929190,robot_1,0.314,3.505
1777335183,511948019,robot_4,-1.008,1.252
1777335183,511956588,robot_2,-2.550,-1.729
1777335183,511963207,robot_3,1.957,-0.250
1777335183,511970277,robot_0,4.195,-3.250
1777335183,731789874,robot_1,0.358,3.506
1777335183,731811967,robot_4,-0.949,1.250
1777335183,731832811,robot_2,-2.506,-1.727
1777335183,731841107,robot_3,1.987,-0.250
1777335183,731849313,robot_0,4.239,-3.250
1777335183,951441191,robot_1,0.402,3.507
1777335183,951476947,robot_4,-0.914,1.248
1777335183,951494315,robot_2,-2.466,-1.726
1777335183,951508376,robot_3,2.027,-0.247
1777335183,951536586,robot_0,4.292,-3.250
1777335184,152098640,robot_1,0.442,3.508
1777335184,152129841,robot_4,-0.875,1.244
1777335184,152145925,robot_2,-2.434,-1.726
1777335184,152158176,robot_3,2.067,-0.243
1777335184,152172391,robot_0,4.367,-3.250
1777335184,371879547,robot_1,0.486,3.509
1777335184,371899254,robot_4,-0.831,1.239
1777335184,371906368,robot_2,-2.367,-1.728
1777335184,371912230,robot_3,2.111,-0.239
1777335184,371917472,robot_0,4.429,-3.250
1777335184,592031514,robot_1,0.530,3.510
1777335184,592049998,robot_4,-0.787,1.235
1777335184,592057182,robot_2,-2.307,-1.730
1777335184,592063662,robot_3,2.182,-0.233
1777335184,592069562,robot_0,4.491,-3.250
1777335184,810741196,robot_1,0.574,3.511
1777335184,810760967,robot_4,-0.743,1.230
1777335184,810769683,robot_2,-2.264,-1.731
1777335184,810776817,robot_3,2.258,-0.226
1777335184,810782869,robot_0,4.559,-3.250
1777335185,12104183,robot_1,0.614,3.511
1777335185,12131320,robot_4,-0.704,1.226
1777335185,12142147,robot_2,-2.224,-1.733
1777335185,12150892,robot_3,2.325,-0.220
1777335185,12159686,robot_0,4.600,-3.250
1777335185,232011034,robot_1,0.646,3.512
1777335185,232044212,robot_4,-0.660,1.221
1777335185,232058963,robot_2,-2.184,-1.734
1777335185,232071289,robot_3,2.369,-0.216
1777335185,232083486,robot_0,4.621,-3.250
1777335185,451017140,robot_1,0.681,3.511
1777335185,451036674,robot_4,-0.616,1.217
1777335185,451044083,robot_2,-2.149,-1.736
1777335185,451050424,robot_3,2.413,-0.212
1777335185,451056322,robot_0,4.621,-3.250
1777335185,651449935,robot_1,0.728,3.510
1777335185,651472797,robot_4,-0.576,1.212
1777335185,651482897,robot_2,-2.121,-1.737
1777335185,651490810,robot_3,2.453,-0.209
1777335185,651498835,robot_0,4.621,-3.250
1777335185,852342152,robot_1,0.771,3.511
1777335185,852367386,robot_4,-0.528,1.207
1777335185,852377984,robot_2,-2.072,-1.740
1777335185,852387296,robot_3,2.493,-0.205
1777335185,852395705,robot_0,4.621,-3.250
1777335186,52610187,robot_1,0.806,3.511
1777335186,52643561,robot_4,-0.474,1.202
1777335186,52659287,robot_2,-2.027,-1.744
1777335186,52673173,robot_3,2.533,-0.202
1777335186,52685961,robot_0,4.621,-3.250
1777335186,271962577,robot_1,0.833,3.512
1777335186,271987163,robot_4,-0.408,1.196
1777335186,271998257,robot_2,-1.992,-1.746
1777335186,272018306,robot_3,2.578,-0.198
1777335186,272026158,robot_0,4.621,-3.250
1777335186,491330952,robot_1,0.877,3.512
1777335186,491354129,robot_4,-0.359,1.192
1777335186,491364403,robot_2,-1.965,-1.748
1777335186,491373209,robot_3,2.625,-0.193
1777335186,491382300,robot_0,4.621,-3.250
1777335186,691486486,robot_1,0.916,3.513
1777335186,691502037,robot_4,-0.319,1.188
1777335186,691508995,robot_2,-1.935,-1.750
1777335186,691514762,robot_3,2.693,-0.188
1777335186,691520107,robot_0,4.621,-3.251
1777335186,891718380,robot_1,0.958,3.514
1777335186,891737958,robot_4,-0.279,1.184
1777335186,891745670,robot_2,-1.901,-1.754
1777335186,891751525,robot_3,2.750,-0.185
1777335186,891757797,robot_0,4.621,-3.251
1777335187,91993380,robot_1,1.026,3.516
1777335187,92024867,robot_4,-0.239,1.181
