stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777335179,217295348,robot_1,48,-1.000,3.000,-0.500,3.500
1777335179,217322402,robot_4,36,-2.000,1.000,-1.500,1.500
1777335179,217344315,robot_2,13,-4.000,-2.000,-3.500,-1.500
1777335179,217364087,robot_3,64,1.000,-1.000,1.500,-0.500
1777335179,217386370,robot_0,81,3.000,-4.000,3.500,-3.500
1777335181,851833558,robot_1,58,0.000,3.000,0.500,3.500
1777335181,851871927,robot_2,23,-3.000,-2.000,-2.500,-1.500
1777335182,691472543,robot_0,91,4.000,-4.000,4.500,-3.500
1777335183,731823140,robot_4,46,-1.000,1.000,-0.500,1.500
1777335183,951521865,robot_3,74,2.000,-1.000,2.500,-0.500
1777335186,272008345,robot_2,33,-2.000,-2.000,-1.500,-1.500
1777335187,92014677,robot_1,68,1.000,3.000,1.500,3.500
1777335188,371647001,robot_4,56,0.000,1.000,0.500,1.500
1777335188,371683895,robot_3,84,3.000,-1.000,3.500,-0.500
1777335191,550749277,robot_1,78,2.000,3.000,2.500,3.500
1777335192,793565140,robot_3,94,4.000,-1.000,4.500,-0.500
1777335193,11217542,robot_4,66,1.000,1.000,1.500,1.500
1777335195,312247399,robot_3,95,4.000,0.000,4.500,0.500
1777335197,31543849,robot_4,76,2.000,1.000,2.500,1.500
1777335202,631418150,robot_2,3,-5.000,-2.000,-4.500,-1.500
1777335202,831647924,robot_3,85,3.000,0.000,3.500,0.500
1777335204,112239921,robot_1,77,2.000,2.000,2.500,2.500
1777335219,650721193,robot_1,67,1.000,2.000,1.500,2.500
1777335221,770380702,robot_2,32,-2.000,-3.000,-1.500,-2.500
1777335224,291788199,robot_1,57,0.000,2.000,0.500,2.500
1777335226,450966339,robot_0,82,3.000,-3.000,3.500,-2.500
1777335229,212502197,robot_1,47,-1.000,2.000,-0.500,2.500
1777335233,892623254,robot_1,37,-2.000,2.000,-1.500,2.500
1777335236,11349554,robot_2,14,-4.000,-1.000,-3.500,-0.500
1777335236,852219782,robot_4,26,-3.000,1.000,-2.500,1.500
1777335240,211384872,robot_2,4,-5.000,-1.000,-4.500,-0.500
1777335242,112186111,robot_4,16,-4.000,1.000,-3.500,1.500
1777335253,990437743,robot_4,35,-2.000,0.000,-1.500,0.500
1777335255,890856363,robot_1,45,-1.000,0.000,-0.500,0.500
1777335259,431073013,robot_4,44,-1.000,-1.000,-0.500,-0.500
1777335260,52684168,robot_2,22,-3.000,-3.000,-2.500,-2.500
1777335263,412890053,robot_1,54,0.000,-1.000,0.500,-0.500
1777335264,471906248,robot_4,43,-1.000,-2.000,-0.500,-1.500
1777335265,972675702,robot_2,31,-2.000,-4.000,-1.500,-3.500
1777335266,411682334,robot_1,53,0.000,-2.000,0.500,-1.500
1777335269,152526198,robot_4,52,0.000,-3.000,0.500,-2.500
1777335271,70967149,robot_2,30,-2.000,-5.000,-1.500,-4.500
1777335273,591763413,robot_4,51,0.000,-4.000,0.500,-3.500
1777335274,233562075,robot_1,61,1.000,-4.000,1.500,-3.500
1777335278,511862595,robot_4,50,0.000,-5.000,0.500,-4.500
1777335278,952263551,robot_1,60,1.000,-5.000,1.500,-4.500
1777335289,231553675,robot_2,20,-3.000,-5.000,-2.500,-4.500
1777335317,790587140,robot_1,40,-1.000,-5.000,-0.500,-4.500
1777335332,770988984,robot_1,41,-1.000,-4.000,-0.500,-3.500
1777335334,891145252,robot_4,21,-3.000,-4.000,-2.500,-3.500
1777335340,391197410,robot_4,12,-4.000,-3.000,-3.500,-2.500
1777335377,291562120,robot_0,72,2.000,-3.000,2.500,-2.500
1777335379,192640606,robot_0,73,2.000,-2.000,2.500,-1.500
1777335400,71570995,robot_4,2,-5.000,-3.000,-4.500,-2.500
1777335444,551091647,robot_1,15,-4.000,0.000,-3.500,0.500
1777335472,532065234,robot_0,75,2.000,0.000,2.500,0.500
