stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777370207,667604098,robot_4,36,-2.000,1.000,-1.500,1.500
1777370207,667634627,robot_3,64,1.000,-1.000,1.500,-0.500
1777370207,667659794,robot_1,48,-1.000,3.000,-0.500,3.500
1777370207,667682466,robot_0,81,3.000,-4.000,3.500,-3.500
1777370207,667705587,robot_2,13,-4.000,-2.000,-3.500,-1.500
1777370210,624427202,robot_2,23,-3.000,-2.000,-2.500,-1.500
1777370211,45046112,robot_1,58,0.000,3.000,0.500,3.500
1777370211,707716235,robot_0,91,4.000,-4.000,4.500,-3.500
1777370212,765471416,robot_4,46,-1.000,1.000,-0.500,1.500
1777370212,984144778,robot_3,74,2.000,-1.000,2.500,-0.500
1777370214,425004917,robot_1,57,0.000,2.000,0.500,2.500
1777370215,684672327,robot_4,45,-1.000,0.000,-0.500,0.500
1777370216,123775842,robot_2,33,-2.000,-2.000,-1.500,-1.500
1777370219,44942159,robot_3,84,3.000,-1.000,3.500,-0.500
1777370219,905053551,robot_1,56,0.000,1.000,0.500,1.500
1777370220,525911455,robot_4,55,0.000,0.000,0.500,0.500
1777370220,945482372,robot_4,54,0.000,-1.000,0.500,-0.500
1777370226,864270214,robot_4,65,1.000,0.000,1.500,0.500
1777370228,784529402,robot_2,34,-2.000,-1.000,-1.500,-0.500
1777370229,406056592,robot_1,66,1.000,1.000,1.500,1.500
1777370232,164926324,robot_4,75,2.000,0.000,2.500,0.500
1777370233,44500683,robot_2,35,-2.000,0.000,-1.500,0.500
1777370234,104724607,robot_1,76,2.000,1.000,2.500,1.500
1777370237,464554829,robot_3,73,2.000,-2.000,2.500,-1.500
1777370242,525152047,robot_2,37,-2.000,2.000,-1.500,2.500
1777370242,744604020,robot_3,72,2.000,-3.000,2.500,-2.500
1777370243,185078860,robot_3,62,1.000,-3.000,1.500,-2.500
1777370244,25563684,robot_2,47,-1.000,2.000,-0.500,2.500
1777370250,164373297,robot_3,52,0.000,-3.000,0.500,-2.500
1777370251,644696662,robot_3,51,0.000,-4.000,0.500,-3.500
1777370254,183508076,robot_4,44,-1.000,-1.000,-0.500,-0.500
1777370254,605056541,robot_3,41,-1.000,-4.000,-0.500,-3.500
1777370257,165634363,robot_2,59,0.000,4.000,0.500,4.500
1777370259,263795767,robot_4,43,-1.000,-2.000,-0.500,-1.500
1777370264,565014791,robot_0,90,4.000,-5.000,4.500,-4.500
1777370267,545226170,robot_3,31,-2.000,-4.000,-1.500,-3.500
1777370269,644923506,robot_3,30,-2.000,-5.000,-1.500,-4.500
1777370270,283340580,robot_3,40,-1.000,-5.000,-0.500,-4.500
1777370273,444824897,robot_1,53,0.000,-2.000,0.500,-1.500
1777370274,904282573,robot_2,69,1.000,4.000,1.500,4.500
1777370278,64642677,robot_1,63,1.000,-2.000,1.500,-1.500
1777370285,3436841,robot_0,80,3.000,-5.000,3.500,-4.500
1777370296,825430693,robot_1,83,3.000,-2.000,3.500,-1.500
1777370320,644613095,robot_2,67,1.000,2.000,1.500,2.500
1777370325,84670122,robot_2,77,2.000,2.000,2.500,2.500
1777370335,705456844,robot_4,26,-3.000,1.000,-2.500,1.500
1777370335,923638576,robot_0,82,3.000,-3.000,3.500,-2.500
1777370347,46214980,robot_4,25,-3.000,0.000,-2.500,0.500
1777370349,568584758,robot_1,85,3.000,0.000,3.500,0.500
1777370350,645747567,robot_1,95,4.000,0.000,4.500,0.500
1777370351,704751287,robot_4,15,-4.000,0.000,-3.500,0.500
1777370352,323569762,robot_4,14,-4.000,-1.000,-3.500,-0.500
1777370353,384092573,robot_4,24,-3.000,-1.000,-2.500,-0.500
1777370359,304765316,robot_2,78,2.000,3.000,2.500,3.500
1777370382,544860367,robot_2,79,2.000,4.000,2.500,4.500
1777370385,45775698,robot_2,89,3.000,4.000,3.500,4.500
1777370425,586146461,robot_2,98,4.000,3.000,4.500,3.500
1777370429,364310679,robot_2,88,3.000,3.000,3.500,3.500
1777370430,444326894,robot_2,87,3.000,2.000,3.500,2.500
1777370431,485370792,robot_4,61,1.000,-4.000,1.500,-3.500
1777370436,705023231,robot_4,60,1.000,-5.000,1.500,-4.500
1777370437,544887172,robot_1,94,4.000,-1.000,4.500,-0.500
1777370440,724712845,robot_4,50,0.000,-5.000,0.500,-4.500
1777370462,665020576,robot_2,68,1.000,3.000,1.500,3.500
