stamp_sec,stamp_nsec,robot,x,y
1777370511,588631647,robot_3,1.250,-0.250
1777370511,588707965,robot_1,-0.250,3.500
1777370511,588750858,robot_0,3.500,-3.250
1777370511,588785211,robot_2,-3.250,-1.750
1777370511,588817609,robot_4,-1.750,1.250
1777370513,371852603,robot_3,1.250,-0.250
1777370513,371879178,robot_1,-0.250,3.500
1777370513,371889786,robot_0,3.500,-3.250
1777370513,371897741,robot_2,-3.250,-1.750
1777370513,371905151,robot_4,-1.750,1.250
1777370513,590720321,robot_3,1.275,-0.250
1777370513,590745626,robot_1,-0.229,3.500
1777370513,590756692,robot_0,3.525,-3.250
1777370513,590764351,robot_2,-3.212,-1.750
1777370513,590771199,robot_4,-1.725,1.250
1777370513,790803796,robot_3,1.315,-0.250
1777370513,790828386,robot_1,-0.185,3.499
1777370513,790837963,robot_0,3.565,-3.250
1777370513,790845302,robot_2,-3.147,-1.748
1777370513,790852514,robot_4,-1.680,1.250
1777370513,991163021,robot_3,1.355,-0.250
1777370513,991190881,robot_1,-0.140,3.496
1777370513,991201445,robot_0,3.605,-3.250
1777370513,991209112,robot_2,-3.082,-1.742
1777370513,991216541,robot_4,-1.620,1.251
1777370514,210650139,robot_3,1.399,-0.250
1777370514,210675282,robot_1,-0.092,3.488
1777370514,210684949,robot_0,3.649,-3.250
1777370514,210692576,robot_2,-3.011,-1.733
1777370514,210699755,robot_4,-1.561,1.258
1777370514,411528671,robot_3,1.439,-0.250
1777370514,411555378,robot_1,-0.049,3.476
1777370514,411565949,robot_0,3.689,-3.250
1777370514,411574134,robot_2,-2.975,-1.726
1777370514,411593276,robot_4,-1.508,1.269
1777370514,611541367,robot_3,1.479,-0.250
1777370514,611568452,robot_1,-0.008,3.460
1777370514,611578928,robot_0,3.729,-3.250
1777370514,611587411,robot_2,-2.945,-1.719
1777370514,611595438,robot_4,-1.456,1.286
1777370514,831380012,robot_3,1.523,-0.250
1777370514,831409236,robot_1,0.036,3.439
1777370514,831431676,robot_0,3.773,-3.250
1777370514,831441107,robot_2,-2.913,-1.711
1777370514,831449680,robot_4,-1.402,1.311
1777370515,31489063,robot_3,1.569,-0.250
1777370515,31516632,robot_1,0.074,3.416
1777370515,31527875,robot_0,3.813,-3.250
1777370515,31536807,robot_2,-2.886,-1.700
1777370515,31544978,robot_4,-1.356,1.339
1777370515,251120171,robot_3,1.630,-0.253
1777370515,251148034,robot_1,0.123,3.379
1777370515,251159079,robot_0,3.861,-3.250
1777370515,251167335,robot_2,-2.856,-1.686
1777370515,251176162,robot_4,-1.309,1.375
1777370515,453467147,robot_3,1.684,-0.260
1777370515,453525912,robot_1,0.167,3.340
1777370515,453557186,robot_0,3.911,-3.250
1777370515,453583588,robot_2,-2.831,-1.670
1777370515,453606928,robot_4,-1.277,1.405
1777370515,671278649,robot_3,1.744,-0.275
1777370515,671317211,robot_1,0.211,3.292
1777370515,671331456,robot_0,3.988,-3.250
1777370515,671342990,robot_2,-2.805,-1.650
1777370515,671352926,robot_4,-1.244,1.440
1777370515,871611264,robot_3,1.797,-0.295
1777370515,871640088,robot_1,0.249,3.245
1777370515,871653242,robot_0,4.036,-3.250
1777370515,871677690,robot_2,-2.783,-1.630
1777370515,871688672,robot_4,-1.212,1.470
1777370516,72405347,robot_3,1.848,-0.321
1777370516,72440409,robot_1,0.282,3.194
1777370516,72455439,robot_0,4.082,-3.250
1777370516,72469711,robot_2,-2.761,-1.604
1777370516,72482637,robot_4,-1.176,1.497
1777370516,291865977,robot_3,1.900,-0.355
1777370516,291897618,robot_1,0.313,3.136
1777370516,291910188,robot_0,4.141,-3.250
1777370516,291920569,robot_2,-2.730,-1.565
1777370516,291930474,robot_4,-1.132,1.520
1777370516,512555978,robot_3,1.946,-0.395
1777370516,512603429,robot_1,0.338,3.076
1777370516,512624609,robot_0,4.186,-3.250
1777370516,512642401,robot_2,-2.698,-1.526
1777370516,512658788,robot_4,-1.087,1.536
1777370516,732059981,robot_3,1.992,-0.443
1777370516,732094471,robot_1,0.354,3.026
1777370516,732108453,robot_0,4.230,-3.250
1777370516,732119324,robot_2,-2.662,-1.492
1777370516,732129236,robot_4,-1.040,1.545
1777370516,951586997,robot_3,2.033,-0.494
1777370516,951626924,robot_1,0.364,2.986
1777370516,951644715,robot_0,4.271,-3.250
1777370516,951652997,robot_2,-2.623,-1.461
1777370516,951660972,robot_4,-0.984,1.548
1777370517,171942318,robot_3,2.070,-0.549
1777370517,171978238,robot_1,0.374,2.946
1777370517,171992618,robot_0,4.301,-3.250
1777370517,172005047,robot_2,-2.580,-1.434
1777370517,172016401,robot_4,-0.941,1.549
1777370517,391418319,robot_3,2.102,-0.606
1777370517,391446913,robot_1,0.381,2.918
1777370517,391458629,robot_0,4.355,-3.250
1777370517,391467511,robot_2,-2.536,-1.413
1777370517,391476710,robot_4,-0.906,1.549
1777370517,591720383,robot_3,2.127,-0.661
1777370517,591765250,robot_1,0.384,2.893
1777370517,591783606,robot_0,4.402,-3.250
1777370517,591798972,robot_2,-2.490,-1.396
1777370517,591813720,robot_4,-0.866,1.549
1777370517,810962296,robot_3,2.150,-0.722
1777370517,810987722,robot_1,0.386,2.866
1777370517,810996486,robot_0,4.446,-3.250
1777370517,811003932,robot_2,-2.435,-1.383
1777370517,811011493,robot_4,-0.822,1.549
1777370518,30460905,robot_3,2.167,-0.782
1777370518,30484232,robot_1,0.384,2.838
1777370518,30493674,robot_0,4.490,-3.250
1777370518,30500971,robot_2,-2.379,-1.377
1777370518,30508827,robot_4,-0.766,1.549
1777370518,231449403,robot_3,2.174,-0.821
1777370518,231475352,robot_1,0.379,2.814
1777370518,231485890,robot_0,4.509,-3.250
1777370518,231494500,robot_2,-2.328,-1.378
1777370518,231502364,robot_4,-0.696,1.549
1777370518,450488629,robot_3,2.181,-0.865
1777370518,450511846,robot_1,0.371,2.787
1777370518,450521880,robot_0,4.509,-3.250
1777370518,450529290,robot_2,-2.273,-1.386
1777370518,450536426,robot_4,-0.620,1.549
1777370518,670208307,robot_3,2.189,-0.917
1777370518,670232822,robot_1,0.360,2.762
1777370518,670242000,robot_0,4.509,-3.250
1777370518,670249122,robot_2,-2.219,-1.401
1777370518,670255913,robot_4,-0.564,1.549
1777370518,870634474,robot_3,2.198,-0.973
1777370518,870658108,robot_1,0.331,2.713
1777370518,870666579,robot_0,4.509,-3.250
1777370518,870673339,robot_2,-2.172,-1.422
1777370518,870680751,robot_4,-0.535,1.548
1777370519,90365335,robot_3,2.202,-1.002
1777370519,90394547,robot_1,0.289,2.650
1777370519,90402482,robot_0,4.509,-3.250
1777370519,90408655,robot_2,-2.127,-1.447
1777370519,90414914,robot_4,-0.503,1.542
1777370519,290452247,robot_3,2.208,-1.036
