stamp_sec,stamp_nsec,robot,x,y
1777380295,131943948,robot_1,-0.250,3.500
1777380295,131986589,robot_3,1.250,-0.250
1777380295,132005982,robot_2,-3.250,-1.750
1777380295,132023490,robot_0,3.500,-3.250
1777380295,132040923,robot_4,-1.750,1.250
1777380296,302123386,robot_1,-0.250,3.500
1777380296,302144598,robot_3,1.250,-0.250
1777380296,302151636,robot_2,-3.250,-1.750
1777380296,302157342,robot_0,3.500,-3.250
1777380296,302162781,robot_4,-1.750,1.250
1777380296,521555487,robot_1,-0.225,3.500
1777380296,521574275,robot_3,1.286,-0.250
1777380296,521580842,robot_2,-3.212,-1.750
1777380296,521586231,robot_0,3.525,-3.250
1777380296,521591524,robot_4,-1.713,1.250
1777380296,723707951,robot_1,-0.183,3.500
1777380296,723727140,robot_3,1.349,-0.252
1777380296,723734308,robot_2,-3.147,-1.748
1777380296,723740175,robot_0,3.578,-3.250
1777380296,723746009,robot_4,-1.658,1.247
1777380296,943197177,robot_1,-0.104,3.500
1777380296,943223933,robot_3,1.415,-0.258
1777380296,943237240,robot_2,-3.075,-1.742
1777380296,943247624,robot_0,3.630,-3.250
1777380296,943257427,robot_4,-1.600,1.238
1777380297,143202584,robot_1,-0.051,3.500
1777380297,143222655,robot_3,1.474,-0.268
1777380297,143231503,robot_2,-3.011,-1.733
1777380297,143238042,robot_0,3.671,-3.250
1777380297,143244530,robot_4,-1.549,1.224
1777380297,362082796,robot_1,-0.006,3.500
1777380297,362110012,robot_3,1.538,-0.284
1777380297,362116797,robot_2,-2.941,-1.719
1777380297,362129289,robot_0,3.729,-3.250
1777380297,362134797,robot_4,-1.495,1.202
1777380297,562263049,robot_1,0.039,3.500
1777380297,562289240,robot_3,1.594,-0.304
1777380297,562295172,robot_2,-2.879,-1.704
1777380297,562300918,robot_0,3.774,-3.250
1777380297,562306098,robot_4,-1.448,1.176
1777380297,762898105,robot_1,0.079,3.500
1777380297,762929255,robot_3,1.649,-0.327
1777380297,762944766,robot_2,-2.818,-1.685
1777380297,762957371,robot_0,3.816,-3.250
1777380297,762970700,robot_4,-1.405,1.144
1777380297,983447346,robot_1,0.120,3.500
1777380297,983476592,robot_3,1.705,-0.358
1777380297,983489707,robot_2,-2.772,-1.668
1777380297,983500297,robot_0,3.898,-3.250
1777380297,983510346,robot_4,-1.368,1.107
1777380298,201881705,robot_1,0.156,3.500
1777380298,201898267,robot_3,1.742,-0.383
1777380298,201904762,robot_2,-2.737,-1.654
1777380298,201909729,robot_0,3.955,-3.250
1777380298,201914820,robot_4,-1.337,1.070
1777380298,402737035,robot_1,0.196,3.500
1777380298,402764880,robot_3,1.787,-0.415
1777380298,402776889,robot_2,-2.708,-1.642
1777380298,402787158,robot_0,4.004,-3.250
1777380298,402809700,robot_4,-1.297,1.027
1777380298,603101405,robot_1,0.238,3.500
1777380298,603126943,robot_3,1.829,-0.444
1777380298,603138059,robot_2,-2.671,-1.626
1777380298,603147987,robot_0,4.079,-3.250
1777380298,603157413,robot_4,-1.257,0.993
1777380298,803808018,robot_1,0.285,3.496
1777380298,803832941,robot_3,1.861,-0.467
1777380298,803841917,robot_2,-2.640,-1.613
1777380298,803849323,robot_0,4.129,-3.250
1777380298,803856072,robot_4,-1.214,0.965
1777380299,23156630,robot_1,0.335,3.487
1777380299,23188651,robot_3,1.885,-0.484
1777380299,23203649,robot_2,-2.610,-1.599
1777380299,23215819,robot_0,4.178,-3.250
1777380299,23228901,robot_4,-1.162,0.940
1777380299,223302875,robot_1,0.380,3.474
1777380299,223321390,robot_3,1.911,-0.502
1777380299,223329322,robot_2,-2.585,-1.584
1777380299,223335741,robot_0,4.228,-3.250
1777380299,223341871,robot_4,-1.113,0.924
1777380299,423566411,robot_1,0.422,3.459
1777380299,423590067,robot_3,1.944,-0.525
1777380299,423599884,robot_2,-2.560,-1.565
1777380299,423607589,robot_0,4.268,-3.250
1777380299,423614974,robot_4,-1.061,0.910
1777380299,642886472,robot_1,0.466,3.438
1777380299,642908564,robot_3,1.996,-0.562
1777380299,642917873,robot_2,-2.534,-1.542
1777380299,642925224,robot_0,4.324,-3.250
1777380299,642932978,robot_4,-1.002,0.900
1777380299,843615869,robot_1,0.504,3.415
1777380299,843645395,robot_3,2.036,-0.591
1777380299,843673877,robot_2,-2.512,-1.519
1777380299,843684758,robot_0,4.386,-3.250
1777380299,843694323,robot_4,-0.960,0.897
1777380300,61826991,robot_1,0.543,3.387
1777380300,61851698,robot_3,2.074,-0.617
1777380300,61858688,robot_2,-2.490,-1.492
1777380300,61864161,robot_0,4.431,-3.250
1777380300,61869461,robot_4,-0.914,0.897
1777380300,262986795,robot_1,0.573,3.361
1777380300,263018142,robot_3,2.122,-0.651
1777380300,263028906,robot_2,-2.471,-1.463
1777380300,263037429,robot_0,4.471,-3.250
1777380300,263045311,robot_4,-0.870,0.896
1777380300,481960843,robot_1,0.622,3.319
1777380300,481978753,robot_3,2.163,-0.680
1777380300,481985939,robot_2,-2.449,-1.424
1777380300,481991381,robot_0,4.516,-3.250
1777380300,481996685,robot_4,-0.823,0.889
1777380300,682690855,robot_1,0.664,3.277
1777380300,682721567,robot_3,2.199,-0.705
1777380300,682735804,robot_2,-2.426,-1.385
1777380300,682748611,robot_0,4.556,-3.250
1777380300,682761317,robot_4,-0.781,0.876
1777380300,902759440,robot_1,0.707,3.228
1777380300,902782032,robot_3,2.253,-0.744
1777380300,902791267,robot_2,-2.398,-1.344
1777380300,902798818,robot_0,4.600,-3.250
1777380300,902806803,robot_4,-0.737,0.857
1777380301,121657298,robot_1,0.745,3.176
1777380301,121675212,robot_3,2.292,-0.771
1777380301,121681881,robot_2,-2.366,-1.306
1777380301,121687595,robot_0,4.644,-3.246
1777380301,121692484,robot_4,-0.697,0.831
1777380301,322458366,robot_1,0.775,3.125
1777380301,322478970,robot_3,2.333,-0.800
1777380301,322486499,robot_2,-2.333,-1.275
1777380301,322492257,robot_0,4.684,-3.237
1777380301,322497383,robot_4,-0.663,0.803
1777380301,541631155,robot_1,0.804,3.067
1777380301,541648216,robot_3,2.397,-0.845
1777380301,541654854,robot_2,-2.294,-1.244
1777380301,541660331,robot_0,4.692,-3.221
1777380301,541665186,robot_4,-0.632,0.768
1777380301,742851317,robot_1,0.825,3.012
1777380301,742878520,robot_3,2.432,-0.870
1777380301,742890357,robot_2,-2.255,-1.220
1777380301,742899679,robot_0,4.695,-3.201
1777380301,742908487,robot_4,-0.609,0.736
1777380301,943307126,robot_1,0.839,2.966
1777380301,943353573,robot_3,2.458,-0.888
1777380301,943367185,robot_2,-2.215,-1.199
1777380301,943378277,robot_0,4.698,-3.183
1777380301,943388850,robot_4,-0.581,0.694
1777380302,163672174,robot_1,0.849,2.924
1777380302,163699979,robot_3,2.481,-0.903
1777380302,163713680,robot_2,-2.173,-1.183
1777380302,163724589,robot_0,4.703,-3.165
1777380302,163734826,robot_4,-0.553,0.652
1777380302,363859552,robot_1,0.858,2.888
1777380302,363903542,robot_3,2.504,-0.913
1777380302,363928661,robot_2,-2.129,-1.168
1777380302,363949846,robot_0,4.701,-3.154
1777380302,363970518,robot_4,-0.530,0.619
1777380302,581935329,robot_1,0.867,2.845
1777380302,581961255,robot_3,2.530,-0.921
1777380302,581968159,robot_2,-2.073,-1.150
1777380302,581973981,robot_0,4.698,-3.147
1777380302,581978790,robot_4,-0.512,0.593
1777380302,782969692,robot_1,0.876,2.808
1777380302,783002844,robot_3,2.555,-0.925
1777380302,783018303,robot_2,-2.022,-1.141
1777380302,783030902,robot_0,4.698,-3.147
1777380302,783042433,robot_4,-0.492,0.563
1777380302,983393963,robot_1,0.885,2.771
1777380302,983417060,robot_3,2.580,-0.925
