stamp_sec,stamp_nsec,robot,x,y
1777384108,474651249,robot_0,3.500,-3.250
1777384108,474718411,robot_1,-0.250,3.500
1777384108,474743862,robot_3,1.250,-0.250
1777384108,474762505,robot_4,-1.750,1.250
1777384108,474779781,robot_2,-3.250,-1.750
1777384109,661683632,robot_0,3.500,-3.250
1777384109,661706811,robot_1,-0.250,3.500
1777384109,661715533,robot_3,1.250,-0.250
1777384109,661721826,robot_4,-1.750,1.250
1777384109,661728214,robot_2,-3.250,-1.750
1777384109,881837567,robot_0,3.528,-3.250
1777384109,881860287,robot_1,-0.225,3.500
1777384109,881870678,robot_3,1.283,-0.250
1777384109,881879033,robot_4,-1.729,1.250
1777384109,881887140,robot_2,-3.222,-1.750
1777384110,100496294,robot_0,3.572,-3.250
1777384110,100513800,robot_1,-0.181,3.500
1777384110,100520800,robot_3,1.337,-0.254
1777384110,100526682,robot_4,-1.688,1.250
1777384110,100532302,robot_2,-3.178,-1.750
1777384110,303723557,robot_0,3.612,-3.250
1777384110,303761872,robot_1,-0.135,3.500
1777384110,303772364,robot_3,1.377,-0.260
1777384110,303779178,robot_4,-1.648,1.250
1777384110,303786790,robot_2,-3.138,-1.750
1777384110,522586050,robot_0,3.649,-3.250
1777384110,522606942,robot_1,-0.075,3.500
1777384110,522614768,robot_3,1.420,-0.267
1777384110,522620554,robot_4,-1.604,1.250
1777384110,522626077,robot_2,-3.088,-1.750
1777384110,741994224,robot_0,3.681,-3.250
1777384110,742014314,robot_1,-0.031,3.500
1777384110,742022584,robot_3,1.480,-0.278
1777384110,742028304,robot_4,-1.543,1.250
1777384110,742033890,robot_2,-3.015,-1.749
1777384110,961330981,robot_0,3.725,-3.250
1777384110,961363740,robot_1,0.013,3.500
1777384110,961389197,robot_3,1.545,-0.292
1777384110,961399716,robot_4,-1.483,1.246
1777384110,961409155,robot_2,-2.943,-1.744
1777384111,161912366,robot_0,3.765,-3.250
1777384111,161948721,robot_1,0.057,3.500
1777384111,161965014,robot_3,1.603,-0.307
1777384111,161979395,robot_4,-1.430,1.237
1777384111,161992365,robot_2,-2.879,-1.736
1777384111,381417428,robot_0,3.814,-3.250
1777384111,381442785,robot_1,0.137,3.500
1777384111,381453344,robot_3,1.666,-0.327
1777384111,381461660,robot_4,-1.374,1.220
1777384111,381469559,robot_2,-2.808,-1.724
1777384111,581560527,robot_0,3.868,-3.250
1777384111,581580214,robot_1,0.187,3.500
1777384111,581587602,robot_3,1.722,-0.350
1777384111,581593741,robot_4,-1.325,1.199
1777384111,581599074,robot_2,-2.746,-1.709
1777384111,800917818,robot_0,3.914,-3.250
1777384111,800940170,robot_1,0.231,3.500
1777384111,800948545,robot_3,1.781,-0.379
1777384111,800955052,robot_4,-1.274,1.170
1777384111,800961069,robot_2,-2.679,-1.690
1777384112,1639336,robot_0,3.954,-3.250
1777384112,1657937,robot_1,0.271,3.500
1777384112,1665421,robot_3,1.833,-0.410
1777384112,1671605,robot_4,-1.231,1.139
1777384112,1677039,robot_2,-2.620,-1.669
1777384112,221851543,robot_0,3.998,-3.250
1777384112,221870340,robot_1,0.319,3.500
1777384112,221877916,robot_3,1.880,-0.443
1777384112,221883655,robot_4,-1.193,1.104
1777384112,221889567,robot_2,-2.579,-1.652
1777384112,442078004,robot_0,4.057,-3.250
1777384112,442114293,robot_1,0.365,3.500
1777384112,442122867,robot_3,1.912,-0.472
1777384112,442130595,robot_4,-1.164,1.070
1777384112,442138226,robot_2,-2.539,-1.634
1777384112,642301849,robot_0,4.102,-3.250
1777384112,642323599,robot_1,0.405,3.500
1777384112,642331140,robot_3,1.940,-0.500
1777384112,642337052,robot_4,-1.138,1.040
1777384112,642343129,robot_2,-2.507,-1.619
1777384112,842704561,robot_0,4.142,-3.250
1777384112,842728775,robot_1,0.445,3.500
1777384112,842737276,robot_3,1.976,-0.536
1777384112,842743534,robot_4,-1.101,0.996
1777384112,842757967,robot_2,-2.480,-1.607
1777384113,61548211,robot_0,4.186,-3.250
1777384113,61570810,robot_1,0.483,3.500
1777384113,61580380,robot_3,2.018,-0.578
1777384113,61597251,robot_4,-1.060,0.952
1777384113,61604228,robot_2,-2.440,-1.590
1777384113,261726899,robot_0,4.248,-3.250
1777384113,261749523,robot_1,0.517,3.500
1777384113,261758245,robot_3,2.046,-0.606
1777384113,261765354,robot_4,-1.018,0.917
1777384113,261772533,robot_2,-2.404,-1.573
1777384113,462507087,robot_0,4.319,-3.250
1777384113,462548003,robot_1,0.557,3.500
1777384113,462565282,robot_3,2.075,-0.634
1777384113,462580037,robot_4,-0.974,0.886
1777384113,462609918,robot_2,-2.367,-1.557
1777384113,681443762,robot_0,4.363,-3.250
1777384113,681467636,robot_1,0.601,3.500
1777384113,681476975,robot_3,2.102,-0.662
1777384113,681484688,robot_4,-0.921,0.858
1777384113,681491147,robot_2,-2.336,-1.542
1777384113,881941999,robot_0,4.403,-3.250
1777384113,881966179,robot_1,0.643,3.500
1777384113,881977166,robot_3,2.119,-0.679
1777384113,881985520,robot_4,-0.871,0.837
1777384113,881993184,robot_2,-2.308,-1.527
1777384114,82351168,robot_0,4.452,-3.250
1777384114,82372263,robot_1,0.687,3.499
1777384114,82379431,robot_3,2.146,-0.706
1777384114,82384937,robot_4,-0.819,0.822
1777384114,82390235,robot_2,-2.282,-1.510
1777384114,282698146,robot_0,4.527,-3.250
1777384114,282724058,robot_1,0.732,3.494
1777384114,282731810,robot_3,2.174,-0.734
1777384114,282737816,robot_4,-0.771,0.814
1777384114,282743554,robot_2,-2.257,-1.490
1777384114,502372360,robot_0,4.563,-3.250
1777384114,502405441,robot_1,0.780,3.485
1777384114,502420286,robot_3,2.206,-0.765
1777384114,502433147,robot_4,-0.728,0.810
1777384114,502445109,robot_2,-2.232,-1.466
1777384114,702906116,robot_0,4.563,-3.250
1777384114,702929255,robot_1,0.822,3.472
1777384114,702936386,robot_3,2.247,-0.806
1777384114,702943281,robot_4,-0.688,0.808
1777384114,702949158,robot_2,-2.211,-1.442
1777384114,923315192,robot_0,4.563,-3.250
1777384114,923352511,robot_1,0.868,3.453
1777384114,923369274,robot_3,2.286,-0.845
1777384114,923383181,robot_4,-0.641,0.805
1777384114,923396778,robot_2,-2.190,-1.414
1777384115,141285908,robot_0,4.563,-3.250
1777384115,141307831,robot_1,0.911,3.430
1777384115,141315671,robot_3,2.317,-0.876
1777384115,141321720,robot_4,-0.593,0.799
1777384115,141327151,robot_2,-2.168,-1.378
1777384115,342624123,robot_0,4.563,-3.250
1777384115,342652945,robot_1,0.948,3.406
1777384115,342664619,robot_3,2.345,-0.905
1777384115,342672603,robot_4,-0.551,0.789
1777384115,342681228,robot_2,-2.149,-1.343
1777384115,562239373,robot_0,4.563,-3.250
1777384115,562262349,robot_1,0.982,3.379
1777384115,562273903,robot_3,2.386,-0.945
1777384115,562281567,robot_4,-0.507,0.771
1777384115,562288267,robot_2,-2.127,-1.305
1777384115,762419948,robot_0,4.563,-3.250
1777384115,762453539,robot_1,1.014,3.354
1777384115,762480333,robot_3,2.424,-0.983
1777384115,762492643,robot_4,-0.469,0.749
1777384115,762503049,robot_2,-2.104,-1.266
