stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
16,300000000,global,1,0,1,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.012225,3.365458,0.059441,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
16,660000000,global,2,0,2,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,4.521967,-2.441730,0.049491,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
18,0,global,3,0,3,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.015760,3.387512,0.223393,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
18,540000000,global,4,0,4,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,4.450065,-2.459949,0.147743,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
18,750000000,global,5,0,5,obstacle,"('robot_3', 'east_wall::link::collision')",robot_3,east_wall::link::collision,5.000165,-0.376279,0.024153,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
20,530000000,global,6,0,6,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,4.393971,-2.469030,0.233409,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
20,710000000,global,7,0,7,obstacle,"('robot_3', 'east_wall::link::collision')",robot_3,east_wall::link::collision,5.000282,-0.271330,0.147890,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
44,500000000,global,8,0,8,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,2.279081,-3.010553,0.024152,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
48,900000000,global,9,0,9,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,2.278301,-3.012630,0.147705,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
59,600000000,global,10,0,10,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.009857,3.336395,0.148080,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
63,910000000,global,11,0,11,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.021072,3.237665,0.147732,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
100,900000000,global,12,0,12,obstacle,"('robot_2', 'cylinder2::link::collision')",robot_2,cylinder2::link::collision,3.587229,-1.510648,0.045335,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
102,860000000,global,13,0,13,obstacle,"('robot_2', 'cylinder2::link::collision')",robot_2,cylinder2::link::collision,3.618486,-1.426123,0.147778,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
104,500000000,global,14,0,14,obstacle,"('robot_2', 'cylinder2::link::collision')",robot_2,cylinder2::link::collision,3.602462,-1.465547,0.186129,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
