stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776083034,528559503,robot_2,77,-2.000,0.000,-1.500,0.500
1776083034,528576866,robot_0,74,-2.000,-3.000,-1.500,-2.500
1776083034,528591223,robot_4,79,-2.000,2.000,-1.500,2.500
1776083034,528606836,robot_3,78,-2.000,1.000,-1.500,1.500
1776083034,528618928,robot_1,75,-2.000,-2.000,-1.500,-1.500
1776083041,23248659,robot_3,92,-1.000,1.000,-0.500,1.500
1776083041,424013677,robot_4,93,-1.000,2.000,-0.500,2.500
1776083041,643172363,robot_2,91,-1.000,0.000,-0.500,0.500
1776083042,44460892,robot_0,60,-3.000,-3.000,-2.500,-2.500
1776083042,263351658,robot_1,89,-1.000,-2.000,-0.500,-1.500
1776083043,942919108,robot_2,90,-1.000,-1.000,-0.500,-0.500
1776083044,765026600,robot_0,59,-3.000,-4.000,-2.500,-3.500
1776083045,604064683,robot_3,106,0.000,1.000,0.500,1.500
1776083045,805227507,robot_4,107,0.000,2.000,0.500,2.500
1776083046,443256104,robot_2,104,0.000,-1.000,0.500,-0.500
1776083046,643433698,robot_1,103,0.000,-2.000,0.500,-1.500
1776083047,704262910,robot_0,45,-4.000,-4.000,-3.500,-3.500
1776083049,863486766,robot_4,121,1.000,2.000,1.500,2.500
1776083050,63501872,robot_3,120,1.000,1.000,1.500,1.500
1776083051,104765737,robot_2,118,1.000,-1.000,1.500,-0.500
1776083051,104791111,robot_0,44,-4.000,-5.000,-3.500,-4.500
1776083053,663290390,robot_0,30,-5.000,-5.000,-4.500,-4.500
1776083054,703612424,robot_4,135,2.000,2.000,2.500,2.500
1776083054,703625560,robot_3,134,2.000,1.000,2.500,1.500
1776083055,123248634,robot_1,132,2.000,-1.000,2.500,-0.500
1776083058,963426953,robot_0,31,-5.000,-4.000,-4.500,-3.500
1776083058,963446640,robot_3,148,3.000,1.000,3.500,1.500
1776083059,383175372,robot_4,149,3.000,2.000,3.500,2.500
1776083059,823543429,robot_1,146,3.000,-1.000,3.500,-0.500
1776083063,643651035,robot_0,46,-4.000,-3.000,-3.500,-2.500
1776083064,264111152,robot_1,160,4.000,-1.000,4.500,-0.500
1776083068,64925913,robot_2,161,4.000,0.000,4.500,0.500
1776083068,64970563,robot_4,150,3.000,3.000,3.500,3.500
1776083069,123282871,robot_0,47,-4.000,-2.000,-3.500,-1.500
1776083069,543755495,robot_1,174,5.000,-1.000,5.500,-0.500
1776083069,983081477,robot_2,175,5.000,0.000,5.500,0.500
1776083071,884588077,robot_3,133,2.000,0.000,2.500,0.500
1776083073,764703295,robot_0,61,-3.000,-2.000,-2.500,-1.500
1776083073,983939439,robot_2,189,6.000,0.000,6.500,0.500
1776083073,983969180,robot_0,62,-3.000,-1.000,-2.500,-0.500
1776083073,984018372,robot_1,188,6.000,-1.000,6.500,-0.500
1776083076,483713206,robot_3,119,1.000,0.000,1.500,0.500
1776083077,944204017,robot_4,164,4.000,3.000,4.500,3.500
1776083079,444389731,robot_0,63,-3.000,0.000,-2.500,0.500
1776083079,883656822,robot_4,163,4.000,2.000,4.500,2.500
1776083081,344320650,robot_3,117,1.000,-2.000,1.500,-1.500
1776083083,23906479,robot_2,176,5.000,1.000,5.500,1.500
1776083087,23561318,robot_3,102,0.000,-3.000,0.500,-2.500
1776083089,743817895,robot_4,137,2.000,4.000,2.500,4.500
1776083091,442912719,robot_3,101,0.000,-4.000,0.500,-3.500
1776083095,423383138,robot_3,100,0.000,-5.000,0.500,-4.500
1776083095,623412576,robot_4,124,1.000,5.000,1.500,5.500
1776083097,523272404,robot_2,173,5.000,-2.000,5.500,-1.500
1776083099,5106996,robot_0,108,0.000,3.000,0.500,3.500
1776083099,429724864,robot_0,122,1.000,3.000,1.500,3.500
1776083099,429770719,robot_3,99,0.000,-6.000,0.500,-5.500
1776083101,834713977,robot_4,125,1.000,6.000,1.500,6.500
1776083105,567502027,robot_1,190,6.000,1.000,6.500,1.500
1776083105,786366954,robot_3,98,0.000,-7.000,0.500,-6.500
1776083107,605608378,robot_0,136,2.000,3.000,2.500,3.500
1776083112,949874005,robot_1,191,6.000,2.000,6.500,2.500
1776083116,146295831,robot_0,151,3.000,4.000,3.500,4.500
1776083117,386468569,robot_1,177,5.000,2.000,5.500,2.500
1776083120,3848859,robot_1,178,5.000,3.000,5.500,3.500
1776083122,136300493,robot_0,152,3.000,5.000,3.500,5.500
1776083122,136330131,robot_4,110,0.000,5.000,0.500,5.500
1776083123,884760265,robot_0,166,4.000,5.000,4.500,5.500
1776083124,706973126,robot_1,179,5.000,4.000,5.500,4.500
1776083125,766979752,robot_4,109,0.000,4.000,0.500,4.500
1776083130,273042557,robot_1,180,5.000,5.000,5.500,5.500
1776083130,491755097,robot_0,167,4.000,6.000,4.500,6.500
1776083130,491795620,robot_3,113,1.000,-6.000,1.500,-5.500
1776083130,712503101,robot_0,181,5.000,6.000,5.500,6.500
1776083139,707620240,robot_3,114,1.000,-5.000,1.500,-4.500
1776083147,280437712,robot_3,115,1.000,-4.000,1.500,-3.500
1776083148,381339279,robot_3,129,2.000,-4.000,2.500,-3.500
1776083152,953683970,robot_3,130,2.000,-3.000,2.500,-2.500
1776083158,958237778,robot_4,76,-2.000,-1.000,-1.500,-0.500
1776083160,214997859,robot_3,131,2.000,-2.000,2.500,-1.500
1776083161,549353107,robot_1,195,6.000,6.000,6.500,6.500
1776083162,571390575,robot_3,145,3.000,-2.000,3.500,-1.500
1776083163,796865192,robot_2,159,4.000,-2.000,4.500,-1.500
1776083171,916761837,robot_3,147,3.000,0.000,3.500,0.500
1776083180,703927379,robot_0,138,2.000,5.000,2.500,5.500
1776083189,220984920,robot_0,123,1.000,4.000,1.500,4.500
1776083199,139683113,robot_0,95,-1.000,4.000,-0.500,4.500
1776083201,280139084,robot_0,94,-1.000,3.000,-0.500,3.500
1776083201,920745549,robot_2,144,3.000,-3.000,3.500,-2.500
1776083204,240341108,robot_0,80,-2.000,3.000,-1.500,3.500
1776083204,661349206,robot_4,32,-5.000,-3.000,-4.500,-2.500
1776083206,160053145,robot_2,143,3.000,-4.000,3.500,-3.500
1776083209,100657242,robot_0,66,-3.000,3.000,-2.500,3.500
1776083209,520881158,robot_4,33,-5.000,-2.000,-4.500,-1.500
1776083211,182201323,robot_2,142,3.000,-5.000,3.500,-4.500
1776083212,880113992,robot_0,65,-3.000,2.000,-2.500,2.500
1776083213,719645690,robot_0,51,-4.000,2.000,-3.500,2.500
1776083213,719662137,robot_4,34,-5.000,-1.000,-4.500,-0.500
1776083218,180493593,robot_0,37,-5.000,2.000,-4.500,2.500
1776083218,180513355,robot_4,35,-5.000,0.000,-4.500,0.500
1776083219,20519979,robot_1,153,3.000,6.000,3.500,6.500
1776083222,239731881,robot_4,36,-5.000,1.000,-4.500,1.500
1776083225,220159115,robot_0,52,-4.000,3.000,-3.500,3.500
