stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
32,350000000,global,1,1,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,5.012915,-0.200042,0.148909,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
34,630000000,global,2,2,0,robot,"('robot_1', 'robot_2')",robot_1,robot_2,5.590944,-0.153046,0.149033,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
40,840000000,global,3,2,1,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,7.000602,0.281038,0.023915,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
42,270000000,global,4,2,2,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,7.000333,0.224323,0.147459,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
78,300000000,global,5,2,3,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000694,1.515397,0.148126,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
80,850000000,global,6,2,4,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000035,1.473870,0.272526,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
81,770000000,global,7,2,5,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000077,1.530812,0.272651,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
91,930000000,global,8,2,6,obstacle,"('robot_3', 'north_wall::link::collision')",robot_3,north_wall::link::collision,-1.115232,7.000666,0.023889,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
92,10000000,global,9,2,7,obstacle,"('robot_3', 'north_wall::link::collision')",robot_3,north_wall::link::collision,-1.098503,7.000451,0.147745,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
92,600000000,global,10,2,8,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000523,1.589823,0.148087,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
93,10000000,global,11,2,9,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000243,1.686691,0.147992,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
93,220000000,global,12,2,10,obstacle,"('robot_3', 'north_wall::link::collision')",robot_3,north_wall::link::collision,-1.014346,7.000174,0.147817,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
93,510000000,global,13,2,11,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000028,1.688019,0.022926,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
95,700000000,global,14,2,12,obstacle,"('robot_3', 'north_wall::link::collision')",robot_3,north_wall::link::collision,-1.233277,7.000925,0.148007,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
95,900000000,global,15,2,13,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000495,1.696220,0.147770,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
96,810000000,global,16,2,14,obstacle,"('robot_1', 'east_wall::link::collision')",robot_1,east_wall::link::collision,7.000886,1.759631,0.147622,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
