stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776348004,706252150,robot_0,77,-2.000,0.000,-1.500,0.500
1776348006,818425264,robot_0,76,-2.000,-1.000,-1.500,-0.500
1776348009,978142329,robot_0,90,-1.000,-1.000,-0.500,-0.500
1776348010,198235708,robot_0,91,-1.000,0.000,-0.500,0.500
1776348014,438135450,robot_0,105,0.000,0.000,0.500,0.500
1776348018,818482704,robot_0,119,1.000,0.000,1.500,0.500
1776348023,38110777,robot_0,133,2.000,0.000,2.500,0.500
1776348027,658409103,robot_0,147,3.000,0.000,3.500,0.500
1776348041,398147319,robot_0,134,2.000,1.000,2.500,1.500
1776348044,558024808,robot_0,120,1.000,1.000,1.500,1.500
1776348049,577915476,robot_0,106,0.000,1.000,0.500,1.500
1776348051,698459573,robot_0,107,0.000,2.000,0.500,2.500
1776348055,98342853,robot_0,93,-1.000,2.000,-0.500,2.500
1776348059,718143738,robot_0,94,-1.000,3.000,-0.500,3.500
1776348060,558195846,robot_0,80,-2.000,3.000,-1.500,3.500
1776348082,278554868,robot_0,79,-2.000,2.000,-1.500,2.500
1776348086,758381418,robot_0,78,-2.000,1.000,-1.500,1.500
1776348101,278312859,robot_0,89,-1.000,-2.000,-0.500,-1.500
1776348106,178380325,robot_0,103,0.000,-2.000,0.500,-1.500
1776348106,598399900,robot_0,102,0.000,-3.000,0.500,-2.500
1776348111,998474109,robot_0,101,0.000,-4.000,0.500,-3.500
1776348114,378318788,robot_0,115,1.000,-4.000,1.500,-3.500
1776348116,918165021,robot_0,114,1.000,-5.000,1.500,-4.500
1776348122,158177908,robot_0,113,1.000,-6.000,1.500,-5.500
1776348124,518083009,robot_0,127,2.000,-6.000,2.500,-5.500
1776348127,638383095,robot_0,126,2.000,-7.000,2.500,-6.500
1776348145,958157478,robot_0,140,3.000,-7.000,3.500,-6.500
