stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
21,630000000,global,1,0,1,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.019818,-3.655838,0.147913,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
23,630000000,global,2,0,2,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.879621,-3.533907,0.148016,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
51,720000000,global,3,0,3,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.034722,-3.670619,0.148087,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
54,130000000,global,4,0,4,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.004071,-3.641961,0.272582,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
55,510000000,global,5,0,5,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.964715,-3.607817,0.272376,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
219,210000000,global,6,1,5,robot,"('robot_1', 'robot_4')",robot_1,robot_4,0.695806,1.035519,0.148101,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
106,530000000,global,7,1,6,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.061808,-3.692591,0.148087,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
107,530000000,global,8,1,7,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.048354,-3.680791,0.023197,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
252,380000000,global,9,2,7,robot,"('robot_1', 'robot_2')",robot_1,robot_2,0.862922,-3.398356,0.023207,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
281,320000000,global,10,2,8,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.300005,0.830100,0.148012,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
284,90000000,global,11,2,9,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.308004,0.825458,0.147774,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
293,830000000,global,12,3,9,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-0.303390,0.817129,0.147913,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
173,920000000,global,13,3,10,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.219297,-3.830671,0.148260,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
177,550000000,global,14,3,11,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.333184,-3.928909,0.147558,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
182,30000000,global,15,3,12,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.349481,-3.943050,0.147566,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
184,260000000,global,16,3,13,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.291023,-3.892174,0.272552,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
344,280000000,global,17,4,13,robot,"('robot_1', 'robot_2')",robot_1,robot_2,1.428468,3.253303,0.147907,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
306,670000000,global,18,4,14,obstacle,"('robot_0', 'north_wall::link::collision')",robot_0,north_wall::link::collision,-0.176393,5.000483,0.147941,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
