stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777292951,92486224,robot_3,64,1.000,-1.000,1.500,-0.500
1777292951,92503335,robot_0,81,3.000,-4.000,3.500,-3.500
1777292951,92515918,robot_4,36,-2.000,1.000,-1.500,1.500
1777292951,92527462,robot_1,48,-1.000,3.000,-0.500,3.500
1777292951,92541864,robot_2,13,-4.000,-2.000,-3.500,-1.500
1777292953,896310783,robot_1,58,0.000,3.000,0.500,3.500
1777292954,115662656,robot_2,23,-3.000,-2.000,-2.500,-1.500
1777292954,534953336,robot_0,91,4.000,-4.000,4.500,-3.500
1777292955,795797400,robot_3,74,2.000,-1.000,2.500,-0.500
1777292956,14517764,robot_4,46,-1.000,1.000,-0.500,1.500
1777292958,314542258,robot_2,33,-2.000,-2.000,-1.500,-1.500
1777292959,175634326,robot_1,68,1.000,3.000,1.500,3.500
1777292960,475075805,robot_3,84,3.000,-1.000,3.500,-0.500
1777292960,475108787,robot_4,56,0.000,1.000,0.500,1.500
1777292963,636025813,robot_1,78,2.000,3.000,2.500,3.500
1777292964,476067044,robot_4,66,1.000,1.000,1.500,1.500
1777292964,695924783,robot_3,94,4.000,-1.000,4.500,-0.500
1777292968,995942830,robot_4,76,2.000,1.000,2.500,1.500
1777292972,615640022,robot_3,95,4.000,0.000,4.500,0.500
1777292974,556260010,robot_3,85,3.000,0.000,3.500,0.500
1777292975,395145862,robot_2,3,-5.000,-2.000,-4.500,-1.500
1777292988,315754063,robot_1,47,-1.000,2.000,-0.500,2.500
1777292989,556455065,robot_1,37,-2.000,2.000,-1.500,2.500
1777293001,595938204,robot_1,38,-2.000,3.000,-1.500,3.500
1777293019,896084246,robot_1,57,0.000,2.000,0.500,2.500
1777293024,335572794,robot_1,67,1.000,2.000,1.500,2.500
1777293027,75879208,robot_4,65,1.000,0.000,1.500,0.500
1777293037,175771431,robot_4,75,2.000,0.000,2.500,0.500
1777293037,615595744,robot_2,22,-3.000,-3.000,-2.500,-2.500
1777293039,95034157,robot_1,77,2.000,2.000,2.500,2.500
1777293040,995822746,robot_2,32,-2.000,-3.000,-1.500,-2.500
1777293046,837877643,robot_4,55,0.000,0.000,0.500,0.500
1777293049,354938086,robot_4,54,0.000,-1.000,0.500,-0.500
1777293050,395381312,robot_1,59,0.000,4.000,0.500,4.500
1777293051,435505333,robot_4,44,-1.000,-1.000,-0.500,-0.500
1777293055,915589142,robot_4,34,-2.000,-1.000,-1.500,-0.500
1777293059,54758375,robot_2,14,-4.000,-1.000,-3.500,-0.500
1777293059,894792199,robot_2,4,-5.000,-1.000,-4.500,-0.500
1777293060,314881891,robot_4,24,-3.000,-1.000,-2.500,-0.500
1777293072,754520864,robot_2,5,-5.000,0.000,-4.500,0.500
1777293078,34537005,robot_1,49,-1.000,4.000,-0.500,4.500
1777293085,234526406,robot_4,12,-4.000,-3.000,-3.500,-2.500
1777293089,636081661,robot_4,21,-3.000,-4.000,-2.500,-3.500
1777293107,95465852,robot_3,43,-1.000,-2.000,-0.500,-1.500
1777293113,234602058,robot_1,45,-1.000,0.000,-0.500,0.500
1777293122,775815286,robot_1,53,0.000,-2.000,0.500,-1.500
1777293126,996055426,robot_1,63,1.000,-2.000,1.500,-1.500
1777293127,816092059,robot_1,62,1.000,-3.000,1.500,-2.500
1777293147,95370375,robot_1,61,1.000,-4.000,1.500,-3.500
1777293148,374707440,robot_4,31,-2.000,-4.000,-1.500,-3.500
1777293187,54365255,robot_4,20,-3.000,-5.000,-2.500,-4.500
1777293239,275087272,robot_2,2,-5.000,-3.000,-4.500,-2.500
1777293241,576921359,robot_1,60,1.000,-5.000,1.500,-4.500
1777293242,14951794,robot_4,41,-1.000,-4.000,-0.500,-3.500
1777293245,135941783,robot_4,40,-1.000,-5.000,-0.500,-4.500
1777293246,614895311,robot_4,50,0.000,-5.000,0.500,-4.500
1777293264,695456163,robot_4,51,0.000,-4.000,0.500,-3.500
1777293273,736387925,robot_4,72,2.000,-3.000,2.500,-2.500
1777293274,815431809,robot_4,73,2.000,-2.000,2.500,-1.500
1777293286,855605539,robot_4,83,3.000,-2.000,3.500,-1.500
1777293323,836289955,robot_4,39,-2.000,4.000,-1.500,4.500
1777293395,676050197,robot_2,15,-4.000,0.000,-3.500,0.500
