stamp_sec,stamp_nsec,robot,x,y
1777293960,277639369,robot_3,1.250,-0.250
1777293960,277682118,robot_0,3.500,-3.250
1777293960,277700182,robot_2,-3.250,-1.750
1777293960,277715415,robot_4,-1.750,1.250
1777293960,277730357,robot_1,-0.250,3.500
1777293961,740314108,robot_3,1.250,-0.250
1777293961,740335988,robot_0,3.500,-3.250
1777293961,740343704,robot_2,-3.250,-1.750
1777293961,740349688,robot_4,-1.750,1.250
1777293961,740355789,robot_1,-0.250,3.500
1777293961,960253319,robot_3,1.275,-0.250
1777293961,960274394,robot_0,3.525,-3.250
1777293961,960283200,robot_2,-3.225,-1.750
1777293961,960295574,robot_4,-1.725,1.250
1777293961,960302596,robot_1,-0.225,3.500
1777293962,179926304,robot_3,1.308,-0.250
1777293962,179951670,robot_0,3.575,-3.250
1777293962,179961879,robot_2,-3.187,-1.750
1777293962,179970482,robot_4,-1.669,1.250
1777293962,179978537,robot_1,-0.187,3.500
1777293962,380226331,robot_3,1.336,-0.250
1777293962,380247417,robot_0,3.629,-3.250
1777293962,380257068,robot_2,-3.156,-1.750
1777293962,380264606,robot_4,-1.612,1.250
1777293962,380272888,robot_1,-0.153,3.500
1777293962,600140217,robot_3,1.380,-0.250
1777293962,600162347,robot_0,3.673,-3.250
1777293962,600172283,robot_2,-3.112,-1.750
1777293962,600180488,robot_4,-1.568,1.250
1777293962,600188756,robot_1,-0.109,3.500
1777293962,800563736,robot_3,1.436,-0.250
1777293962,800591020,robot_0,3.729,-3.250
1777293962,800604388,robot_2,-3.078,-1.750
1777293962,800618976,robot_4,-1.513,1.250
1777293962,800629279,robot_1,-0.064,3.500
1777293963,20328302,robot_3,1.494,-0.250
1777293963,20349045,robot_0,3.809,-3.250
1777293963,20356351,robot_2,-3.041,-1.749
1777293963,20368067,robot_4,-1.451,1.250
1777293963,20374780,robot_1,-0.020,3.499
1777293963,241053161,robot_3,1.538,-0.250
1777293963,241075418,robot_0,3.854,-3.250
1777293963,241082785,robot_2,-2.997,-1.748
1777293963,241096821,robot_4,-1.407,1.250
1777293963,241102807,robot_1,0.022,3.498
1777293963,459745529,robot_3,1.602,-0.250
1777293963,459766894,robot_0,3.925,-3.250
1777293963,459774827,robot_2,-2.960,-1.747
1777293963,459780458,robot_4,-1.367,1.250
1777293963,459787097,robot_1,0.062,3.498
1777293963,660848031,robot_3,1.649,-0.250
1777293963,660872989,robot_0,3.992,-3.250
1777293963,660883254,robot_2,-2.923,-1.745
1777293963,660891958,robot_4,-1.329,1.250
1777293963,660901061,robot_1,0.102,3.500
1777293963,880048025,robot_3,1.697,-0.250
1777293963,880067725,robot_0,4.036,-3.250
1777293963,880085133,robot_2,-2.878,-1.744
1777293963,880092140,robot_4,-1.286,1.250
1777293963,880098443,robot_1,0.134,3.502
1777293964,80159233,robot_3,1.758,-0.250
1777293964,80185086,robot_0,4.086,-3.250
1777293964,80196253,robot_2,-2.817,-1.742
1777293964,80205071,robot_4,-1.264,1.250
1777293964,80213348,robot_1,0.163,3.503
1777293964,299641098,robot_3,1.808,-0.250
1777293964,299660662,robot_0,4.136,-3.250
1777293964,299667349,robot_2,-2.765,-1.740
1777293964,299673103,robot_4,-1.228,1.248
1777293964,299678828,robot_1,0.207,3.505
1777293964,500816620,robot_3,1.856,-0.250
1777293964,500851717,robot_0,4.176,-3.250
1777293964,500864717,robot_2,-2.725,-1.739
1777293964,500876826,robot_4,-1.184,1.247
1777293964,500888981,robot_1,0.245,3.507
1777293964,719695590,robot_3,1.935,-0.250
1777293964,719718109,robot_0,4.245,-3.250
1777293964,719725199,robot_2,-2.681,-1.737
1777293964,719731148,robot_4,-1.108,1.243
1777293964,719736564,robot_1,0.287,3.508
1777293964,919892715,robot_3,1.979,-0.250
1777293964,919918053,robot_0,4.294,-3.250
1777293964,919929265,robot_2,-2.641,-1.736
1777293964,919937881,robot_4,-1.060,1.241
1777293964,919946812,robot_1,0.327,3.510
1777293965,120779647,robot_3,2.012,-0.250
1777293965,120816278,robot_0,4.334,-3.250
1777293965,120824128,robot_2,-2.595,-1.735
1777293965,120830346,robot_4,-1.023,1.240
1777293965,120836850,robot_1,0.364,3.512
1777293965,340960153,robot_3,2.040,-0.249
1777293965,340986473,robot_0,4.379,-3.250
1777293965,340997577,robot_2,-2.530,-1.732
1777293965,341012935,robot_4,-0.991,1.237
1777293965,341038314,robot_1,0.407,3.514
1777293965,560335330,robot_3,2.084,-0.246
1777293965,560361699,robot_0,4.423,-3.250
1777293965,560372899,robot_2,-2.484,-1.731
1777293965,560381597,robot_4,-0.948,1.233
1777293965,560390512,robot_1,0.448,3.516
1777293965,779293042,robot_3,2.147,-0.240
1777293965,779313715,robot_0,4.467,-3.250
1777293965,779320884,robot_2,-2.424,-1.729
1777293965,779326663,robot_4,-0.897,1.227
1777293965,779332048,robot_1,0.476,3.517
1777293966,325082,robot_3,2.214,-0.234
1777293966,369213,robot_0,4.512,-3.249
1777293966,391551,robot_2,-2.352,-1.727
1777293966,410093,robot_4,-0.842,1.222
1777293966,428002,robot_1,0.517,3.516
1777293966,201109441,robot_3,2.254,-0.231
1777293966,201142045,robot_0,4.551,-3.245
1777293966,201157818,robot_2,-2.312,-1.725
1777293966,201170247,robot_4,-0.802,1.218
1777293966,201182432,robot_1,0.560,3.516
1777293966,419804636,robot_3,2.323,-0.225
1777293966,419825984,robot_0,4.574,-3.243
1777293966,419834946,robot_2,-2.258,-1.724
1777293966,419842254,robot_4,-0.742,1.212
1777293966,419849790,robot_1,0.611,3.517
1777293966,620540269,robot_3,2.382,-0.219
1777293966,620560197,robot_0,4.574,-3.243
1777293966,620567390,robot_2,-2.209,-1.722
1777293966,620572627,robot_4,-0.688,1.207
1777293966,620577979,robot_1,0.651,3.519
1777293966,821828369,robot_3,2.422,-0.216
1777293966,821859984,robot_0,4.574,-3.243
1777293966,821876037,robot_2,-2.169,-1.721
1777293966,821888961,robot_4,-0.648,1.203
1777293966,821901177,robot_1,0.692,3.521
1777293967,39438383,robot_3,2.468,-0.212
1777293967,39460950,robot_0,4.574,-3.243
1777293967,39468049,robot_2,-2.132,-1.720
1777293967,39474390,robot_4,-0.590,1.197
1777293967,39480570,robot_1,0.738,3.524
1777293967,240298759,robot_3,2.509,-0.208
1777293967,240319833,robot_0,4.574,-3.243
1777293967,240326938,robot_2,-2.096,-1.720
1777293967,240332284,robot_4,-0.541,1.195
1777293967,240337609,robot_1,0.777,3.526
1777293967,440728924,robot_3,2.550,-0.205
1777293967,440751001,robot_0,4.574,-3.243
1777293967,440757925,robot_2,-2.057,-1.721
1777293967,440764149,robot_4,-0.501,1.194
1777293967,440769860,robot_1,0.801,3.527
1777293967,659874657,robot_3,2.624,-0.199
1777293967,659898389,robot_0,4.574,-3.243
1777293967,659908420,robot_2,-1.987,-1.724
1777293967,659927209,robot_4,-0.442,1.194
1777293967,659935738,robot_1,0.838,3.530
1777293967,860418654,robot_3,2.678,-0.196
1777293967,860442021,robot_0,4.574,-3.243
1777293967,860450948,robot_2,-1.932,-1.726
1777293967,860458632,robot_4,-0.394,1.193
1777293967,860465393,robot_1,0.882,3.532
1777293968,78916966,robot_3,2.718,-0.195
1777293968,78934399,robot_0,4.574,-3.243
1777293968,78941614,robot_2,-1.888,-1.727
1777293968,78946995,robot_4,-0.350,1.193
1777293968,78952471,robot_1,0.957,3.538
1777293968,299290360,robot_3,2.745,-0.193
1777293968,299311546,robot_0,4.574,-3.243
1777293968,299317877,robot_2,-1.850,-1.729
1777293968,299322927,robot_4,-0.303,1.193
1777293968,299328086,robot_1,1.008,3.543
1777293968,518953318,robot_3,2.786,-0.189
1777293968,518972944,robot_0,4.574,-3.243
1777293968,518979725,robot_2,-1.807,-1.730
1777293968,518985185,robot_4,-0.259,1.194
1777293968,518990580,robot_1,1.065,3.549
1777293968,720056785,robot_3,2.828,-0.185
1777293968,720090210,robot_0,4.574,-3.243
1777293968,720105282,robot_2,-1.771,-1.732
1777293968,720117888,robot_4,-0.212,1.196
1777293968,720129354,robot_1,1.137,3.556
1777293968,939328598,robot_3,2.876,-0.180
1777293968,939346842,robot_0,4.574,-3.243
1777293968,939353504,robot_2,-1.741,-1.733
1777293968,939359073,robot_4,-0.137,1.198
1777293968,939364241,robot_1,1.184,3.561
1777293969,159026393,robot_3,2.920,-0.175
1777293969,159046045,robot_0,4.574,-3.243
1777293969,159053930,robot_2,-1.736,-1.733
1777293969,159059630,robot_4,-0.089,1.200
1777293969,159064998,robot_1,1.247,3.568
1777293969,378777441,robot_3,2.950,-0.172
1777293969,378795067,robot_0,4.574,-3.243
1777293969,378801939,robot_2,-1.736,-1.733
1777293969,378807027,robot_4,-0.056,1.201
1777293969,378812441,robot_1,1.322,3.577
1777293969,580168020,robot_3,2.976,-0.170
1777293969,580201103,robot_0,4.574,-3.243
1777293969,580212169,robot_2,-1.736,-1.733
1777293969,580220360,robot_4,-0.033,1.201
1777293969,580226673,robot_1,1.362,3.582
1777293969,799030344,robot_3,3.019,-0.165
1777293969,799058427,robot_0,4.574,-3.243
1777293969,799064648,robot_2,-1.736,-1.733
1777293969,799070290,robot_4,0.011,1.203
1777293969,799081171,robot_1,1.429,3.591
1777293970,737183,robot_3,3.068,-0.160
1777293970,761702,robot_0,4.574,-3.243
1777293970,772599,robot_2,-1.736,-1.733
1777293970,781232,robot_4,0.055,1.204
1777293970,789724,robot_1,1.487,3.599
1777293970,220627221,robot_3,3.118,-0.155
1777293970,220659150,robot_0,4.574,-3.243
1777293970,220672510,robot_2,-1.736,-1.733
1777293970,220682826,robot_4,0.103,1.206
1777293970,220693810,robot_1,1.530,3.605
1777293970,439242712,robot_3,3.163,-0.150
1777293970,439260638,robot_0,4.574,-3.243
1777293970,439267246,robot_2,-1.736,-1.733
1777293970,439272596,robot_4,0.147,1.207
1777293970,439277755,robot_1,1.562,3.609
1777293970,640976048,robot_3,3.218,-0.144
1777293970,641005917,robot_0,4.574,-3.243
1777293970,641023572,robot_2,-1.736,-1.733
1777293970,641035246,robot_4,0.209,1.209
1777293970,641046260,robot_1,1.598,3.614
1777293970,859864780,robot_3,3.269,-0.139
1777293970,859890939,robot_0,4.574,-3.243
1777293970,859900862,robot_2,-1.736,-1.733
1777293970,859908934,robot_4,0.271,1.210
1777293970,859916343,robot_1,1.638,3.619
1777293971,60394870,robot_3,3.312,-0.134
1777293971,60422529,robot_0,4.574,-3.243
1777293971,60434477,robot_2,-1.736,-1.733
1777293971,60444563,robot_4,0.312,1.210
1777293971,60453985,robot_1,1.659,3.622
1777293971,263801928,robot_3,3.381,-0.127
1777293971,263869731,robot_0,4.574,-3.243
1777293971,263909230,robot_2,-1.736,-1.733
1777293971,263942469,robot_4,0.378,1.209
1777293971,263974826,robot_1,1.692,3.628
1777293971,480550739,robot_3,3.438,-0.121
1777293971,480591451,robot_0,4.574,-3.243
1777293971,480610222,robot_2,-1.736,-1.733
1777293971,480625091,robot_4,0.439,1.208
1777293971,480639329,robot_1,1.739,3.636
1777293971,680719866,robot_3,3.482,-0.116
1777293971,680746358,robot_0,4.574,-3.243
1777293971,680757920,robot_2,-1.736,-1.733
1777293971,680767489,robot_4,0.479,1.206
1777293971,680776665,robot_1,1.791,3.645
1777293971,901033925,robot_3,3.546,-0.110
1777293971,901076255,robot_0,4.574,-3.243
1777293971,901098541,robot_2,-1.736,-1.733
1777293971,901117366,robot_4,0.519,1.204
1777293971,901133619,robot_1,1.836,3.653
1777293972,119999177,robot_3,3.593,-0.105
1777293972,120022784,robot_0,4.574,-3.243
1777293972,120030419,robot_2,-1.736,-1.733
1777293972,120035764,robot_4,0.562,1.202
1777293972,120041133,robot_1,1.874,3.660
1777293972,320164769,robot_3,3.642,-0.100
1777293972,320191394,robot_0,4.574,-3.243
1777293972,320204445,robot_2,-1.736,-1.733
1777293972,320213601,robot_4,0.607,1.199
1777293972,320223101,robot_1,1.903,3.665
1777293972,539328168,robot_3,3.709,-0.091
1777293972,539346926,robot_0,4.574,-3.243
1777293972,539353621,robot_2,-1.736,-1.733
1777293972,539359003,robot_4,0.675,1.196
1777293972,539364488,robot_1,1.946,3.672
1777293972,741172098,robot_3,3.749,-0.084
1777293972,741209443,robot_0,4.574,-3.243
1777293972,741225680,robot_2,-1.736,-1.733
1777293972,741239495,robot_4,0.717,1.194
1777293972,741252553,robot_1,2.003,3.682
1777293972,960121190,robot_3,3.803,-0.076
1777293972,960147471,robot_0,4.574,-3.243
1777293972,960157743,robot_2,-1.736,-1.733
1777293972,960165887,robot_4,0.775,1.191
1777293972,960174257,robot_1,2.081,3.696
1777293973,179586335,robot_3,3.860,-0.068
1777293973,179608719,robot_0,4.574,-3.243
1777293973,179616949,robot_2,-1.736,-1.733
1777293973,179623572,robot_4,0.854,1.187
1777293973,179630467,robot_1,2.125,3.704
1777293973,401023062,robot_3,3.904,-0.064
1777293973,401056933,robot_0,4.574,-3.243
1777293973,401070911,robot_2,-1.736,-1.733
1777293973,401082448,robot_4,0.900,1.184
1777293973,401095177,robot_1,2.156,3.709
1777293973,620871884,robot_3,3.934,-0.061
1777293973,620903022,robot_0,4.574,-3.243
1777293973,620917594,robot_2,-1.736,-1.733
1777293973,620929714,robot_4,0.958,1.180
1777293973,620941601,robot_1,2.190,3.716
1777293973,840376418,robot_3,3.970,-0.058
1777293973,840403968,robot_0,4.574,-3.243
1777293973,840416048,robot_2,-1.736,-1.733
1777293973,840425876,robot_4,1.015,1.178
1777293973,840447546,robot_1,2.233,3.724
1777293974,40618357,robot_3,4.011,-0.055
1777293974,40663281,robot_0,4.574,-3.243
1777293974,40675529,robot_2,-1.736,-1.733
1777293974,40685505,robot_4,1.055,1.178
1777293974,40696057,robot_1,2.268,3.731
1777293974,260678208,robot_3,4.057,-0.051
1777293974,260705993,robot_0,4.574,-3.243
1777293974,260713342,robot_2,-1.736,-1.733
1777293974,260719564,robot_4,1.125,1.177
1777293974,260726335,robot_1,2.309,3.738
1777293974,479138999,robot_3,4.101,-0.047
1777293974,479158932,robot_0,4.574,-3.243
1777293974,479165701,robot_2,-1.736,-1.733
1777293974,479171340,robot_4,1.185,1.176
1777293974,479176876,robot_1,2.347,3.746
1777293974,679593509,robot_3,4.145,-0.043
1777293974,679612840,robot_0,4.574,-3.243
1777293974,679619713,robot_2,-1.736,-1.733
1777293974,679626465,robot_4,1.227,1.176
1777293974,679632502,robot_1,2.369,3.750
1777293974,881439389,robot_3,4.203,-0.038
1777293974,881469463,robot_0,4.574,-3.243
1777293974,881482192,robot_2,-1.736,-1.733
1777293974,881492747,robot_4,1.281,1.175
1777293974,881503878,robot_1,2.405,3.757
1777293975,100517902,robot_3,4.252,-0.033
1777293975,100540628,robot_0,4.574,-3.243
1777293975,100548800,robot_2,-1.736,-1.733
1777293975,100554380,robot_4,1.331,1.174
1777293975,100560230,robot_1,2.456,3.767
1777293975,319966688,robot_3,4.308,-0.028
1777293975,319988529,robot_0,4.574,-3.243
1777293975,319998274,robot_2,-1.736,-1.733
1777293975,320006006,robot_4,1.377,1.174
1777293975,320071268,robot_1,2.523,3.780
1777293975,520114007,robot_3,4.382,-0.022
1777293975,520141982,robot_0,4.574,-3.243
1777293975,520154150,robot_2,-1.736,-1.733
1777293975,520164583,robot_4,1.423,1.173
1777293975,520173952,robot_1,2.563,3.787
1777293975,720961891,robot_3,4.427,-0.018
1777293975,720998672,robot_0,4.574,-3.243
1777293975,721026412,robot_2,-1.736,-1.733
1777293975,721040329,robot_4,1.464,1.171
1777293975,721053676,robot_1,2.614,3.797
1777293975,940214953,robot_3,4.470,-0.014
1777293975,940245074,robot_0,4.574,-3.243
1777293975,940253207,robot_2,-1.736,-1.733
1777293975,940259584,robot_4,1.513,1.168
1777293975,940265700,robot_1,2.683,3.812
1777293976,159069016,robot_3,4.512,-0.011
1777293976,159087434,robot_0,4.574,-3.243
1777293976,159094053,robot_2,-1.736,-1.733
1777293976,159099015,robot_4,1.571,1.166
1777293976,159104364,robot_1,2.726,3.822
1777293976,359551456,robot_3,4.552,-0.009
1777293976,359571873,robot_0,4.574,-3.243
1777293976,359578761,robot_2,-1.736,-1.733
1777293976,359584716,robot_4,1.611,1.166
1777293976,359589829,robot_1,2.782,3.835
1777293976,559669105,robot_3,4.571,-0.008
1777293976,559690779,robot_0,4.574,-3.243
1777293976,559698885,robot_2,-1.736,-1.733
1777293976,559705620,robot_4,1.665,1.165
1777293976,559712011,robot_1,2.843,3.850
1777293976,779668811,robot_3,4.571,-0.008
1777293976,779699259,robot_0,4.574,-3.243
1777293976,779711374,robot_2,-1.736,-1.733
1777293976,779721477,robot_4,1.744,1.164
1777293976,779730953,robot_1,2.851,3.852
1777293976,980285516,robot_3,4.571,-0.008
1777293976,980311302,robot_0,4.574,-3.243
1777293976,980322547,robot_2,-1.736,-1.733
1777293976,980331290,robot_4,1.786,1.164
1777293976,980339297,robot_1,2.851,3.852
1777293977,200495596,robot_3,4.571,-0.008
1777293977,200524826,robot_0,4.574,-3.243
1777293977,200536616,robot_2,-1.736,-1.733
1777293977,200546664,robot_4,1.822,1.163
1777293977,200556359,robot_1,2.851,3.852
1777293977,400607672,robot_3,4.571,-0.008
1777293977,400643343,robot_0,4.574,-3.243
1777293977,400659006,robot_2,-1.736,-1.733
1777293977,400672011,robot_4,1.854,1.163
1777293977,400684036,robot_1,2.851,3.851
1777293977,601071311,robot_3,4.571,-0.008
1777293977,601099790,robot_0,4.574,-3.243
1777293977,601111617,robot_2,-1.736,-1.733
1777293977,601120375,robot_4,1.894,1.162
1777293977,601128928,robot_1,2.851,3.851
1777293977,801523598,robot_3,4.571,-0.008
1777293977,801567947,robot_0,4.574,-3.243
1777293977,801584555,robot_2,-1.736,-1.733
1777293977,801597618,robot_4,1.929,1.162
1777293977,801609746,robot_1,2.852,3.851
1777293978,19878754,robot_3,4.571,-0.008
1777293978,19897877,robot_0,4.574,-3.243
1777293978,19906126,robot_2,-1.736,-1.733
1777293978,19911967,robot_4,1.967,1.161
1777293978,19917255,robot_1,2.852,3.851
1777293978,220524416,robot_3,4.571,-0.008
1777293978,220549826,robot_0,4.574,-3.243
1777293978,220558188,robot_2,-1.736,-1.733
1777293978,220564693,robot_4,2.007,1.161
1777293978,220580074,robot_1,2.852,3.851
1777293978,439734355,robot_3,4.571,-0.008
1777293978,439754890,robot_0,4.574,-3.243
1777293978,439762293,robot_2,-1.736,-1.733
1777293978,439768276,robot_4,2.051,1.160
1777293978,439774343,robot_1,2.853,3.851
1777293978,640526056,robot_3,4.571,-0.008
1777293978,640554697,robot_0,4.574,-3.243
1777293978,640566780,robot_2,-1.736,-1.733
1777293978,640575548,robot_4,2.091,1.160
1777293978,640583951,robot_1,2.853,3.851
1777293978,840842381,robot_3,4.571,-0.008
1777293978,840864899,robot_0,4.574,-3.243
1777293978,840873573,robot_2,-1.736,-1.733
1777293978,840879976,robot_4,2.125,1.168
1777293978,840886315,robot_1,2.853,3.851
1777293979,59403695,robot_3,4.571,-0.008
1777293979,59426385,robot_0,4.574,-3.243
1777293979,59434210,robot_2,-1.736,-1.733
1777293979,59440430,robot_4,2.132,1.183
1777293979,59446661,robot_1,2.853,3.851
1777293979,261362950,robot_3,4.571,-0.008
1777293979,261401817,robot_0,4.574,-3.243
1777293979,261412213,robot_2,-1.736,-1.733
1777293979,261420194,robot_4,2.132,1.183
1777293979,261428525,robot_1,2.853,3.851
1777293979,480662336,robot_3,4.571,-0.008
1777293979,480697092,robot_0,4.574,-3.243
1777293979,480712190,robot_2,-1.736,-1.733
1777293979,480724951,robot_4,2.132,1.183
