stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1777295475,757661166,robot_0,81,3.000,-4.000,3.500,-3.500
1777295475,757697570,robot_1,48,-1.000,3.000,-0.500,3.500
1777295475,757727852,robot_2,13,-4.000,-2.000,-3.500,-1.500
1777295475,757754277,robot_4,36,-2.000,1.000,-1.500,1.500
1777295475,757780672,robot_3,64,1.000,-1.000,1.500,-0.500
1777295478,735810372,robot_1,58,0.000,3.000,0.500,3.500
1777295478,735832765,robot_2,23,-3.000,-2.000,-2.500,-1.500
1777295479,395399201,robot_0,91,4.000,-4.000,4.500,-3.500
1777295480,673334205,robot_3,74,2.000,-1.000,2.500,-0.500
1777295480,874932309,robot_4,46,-1.000,1.000,-0.500,1.500
1777295483,155389345,robot_2,33,-2.000,-2.000,-1.500,-1.500
1777295483,794423265,robot_1,68,1.000,3.000,1.500,3.500
1777295485,253579594,robot_4,56,0.000,1.000,0.500,1.500
1777295485,253592956,robot_3,84,3.000,-1.000,3.500,-0.500
1777295488,393551252,robot_1,78,2.000,3.000,2.500,3.500
1777295489,434152535,robot_4,66,1.000,1.000,1.500,1.500
1777295489,652872142,robot_3,94,4.000,-1.000,4.500,-0.500
1777295493,854093811,robot_4,76,2.000,1.000,2.500,1.500
1777295499,334538479,robot_3,95,4.000,0.000,4.500,0.500
1777295500,194599723,robot_2,3,-5.000,-2.000,-4.500,-1.500
1777295505,673182738,robot_0,90,4.000,-5.000,4.500,-4.500
1777295516,614400635,robot_4,55,0.000,0.000,0.500,0.500
1777295517,875556929,robot_4,45,-1.000,0.000,-0.500,0.500
1777295518,735742244,robot_1,67,1.000,2.000,1.500,2.500
1777295521,72993671,robot_1,57,0.000,2.000,0.500,2.500
1777295522,315492012,robot_4,35,-2.000,0.000,-1.500,0.500
1777295526,114885065,robot_1,47,-1.000,2.000,-0.500,2.500
1777295527,413151250,robot_4,25,-3.000,0.000,-2.500,0.500
1777295527,814635182,robot_4,26,-3.000,1.000,-2.500,1.500
1777295531,594307365,robot_4,16,-4.000,1.000,-3.500,1.500
1777295538,533715578,robot_0,80,3.000,-5.000,3.500,-4.500
1777295550,254970257,robot_4,27,-3.000,2.000,-2.500,2.500
1777295551,94572498,robot_1,37,-2.000,2.000,-1.500,2.500
1777295562,94706846,robot_2,12,-4.000,-3.000,-3.500,-2.500
1777295563,154558170,robot_2,22,-3.000,-3.000,-2.500,-2.500
1777295565,454303814,robot_1,69,1.000,4.000,1.500,4.500
1777295567,973945282,robot_2,32,-2.000,-3.000,-1.500,-2.500
1777295568,393119997,robot_1,79,2.000,4.000,2.500,4.500
1777295574,274171051,robot_4,34,-2.000,-1.000,-1.500,-0.500
1777295588,433418449,robot_4,21,-3.000,-4.000,-2.500,-3.500
1777295591,353747516,robot_0,92,4.000,-3.000,4.500,-2.500
1777295599,153666297,robot_2,31,-2.000,-4.000,-1.500,-3.500
1777295603,593469132,robot_2,20,-3.000,-5.000,-2.500,-4.500
1777295604,33704199,robot_4,24,-3.000,-1.000,-2.500,-0.500
1777295622,225240986,robot_1,77,2.000,2.000,2.500,2.500
1777295629,401238217,robot_4,59,0.000,4.000,0.500,4.500
1777295633,82711046,robot_2,30,-2.000,-5.000,-1.500,-4.500
1777295633,901036886,robot_2,40,-1.000,-5.000,-0.500,-4.500
1777295638,201404023,robot_1,54,0.000,-1.000,0.500,-0.500
1777295640,241452932,robot_1,44,-1.000,-1.000,-0.500,-0.500
1777295643,301893484,robot_1,43,-1.000,-2.000,-0.500,-1.500
1777295661,802390008,robot_4,14,-4.000,-1.000,-3.500,-0.500
1777295664,261321911,robot_2,50,0.000,-5.000,0.500,-4.500
1777295669,400963513,robot_2,60,1.000,-5.000,1.500,-4.500
1777295679,461759053,robot_2,61,1.000,-4.000,1.500,-3.500
1777295684,621159885,robot_2,51,0.000,-4.000,0.500,-3.500
1777295687,913049470,robot_0,82,3.000,-3.000,3.500,-2.500
1777295688,942132218,robot_2,41,-1.000,-4.000,-0.500,-3.500
1777295697,802217836,robot_1,65,1.000,0.000,1.500,0.500
1777295706,621937791,robot_1,63,1.000,-2.000,1.500,-1.500
1777295711,541819884,robot_1,62,1.000,-3.000,1.500,-2.500
1777295715,660961095,robot_1,52,0.000,-3.000,0.500,-2.500
1777295723,61673786,robot_4,4,-5.000,-1.000,-4.500,-0.500
1777295737,621330782,robot_1,53,0.000,-2.000,0.500,-1.500
1777295758,741665001,robot_4,75,2.000,0.000,2.500,0.500
1777295785,201701597,robot_4,15,-4.000,0.000,-3.500,0.500
1777295873,673053121,robot_0,72,2.000,-3.000,2.500,-2.500
1777295888,272566350,robot_0,73,2.000,-2.000,2.500,-1.500
1777295918,252635296,robot_0,49,-1.000,4.000,-0.500,4.500
