group,prompt,run,layout,trial,yaml_path,prompt_path,results_parent,run_output_dir,status
long,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/explore_sup_gpt_long_1_run_1_262.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/spread/trial_1,,failed
long,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/explore_sup_gpt_long_1_run_1_262.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/spread/trial_1,,failed
medium,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/explore_sup_gpt_medium_1_run_1_267.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/spread/trial_1,,failed
medium,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/explore_sup_gpt_medium_1_run_1_267.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/spread/trial_1,,failed
short,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_1/run_1/explore_sup_gpt_vague_1_run_1_271.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_1/run_1/spread/trial_1,,failed
short,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_1/run_1/explore_sup_gpt_vague_1_run_1_271.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_1/run_1/spread/trial_1,,failed
long,prompt_2,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_2/run_1/explore_sup_gpt_long_2_run_1_263.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_2/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_2/run_1/spread/trial_1,,failed
long,prompt_2,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_2/run_1/explore_sup_gpt_long_2_run_1_263.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_2/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_2/run_1/spread/trial_1,,failed
medium,prompt_2,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_2/run_1/explore_sup_gpt_medium_2_run_1_268.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_2/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_2/run_1/spread/trial_1,,failed
medium,prompt_2,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_2/run_1/explore_sup_gpt_medium_2_run_1_268.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_2/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_2/run_1/spread/trial_1,,failed
