stamp_sec,stamp_nsec,robot,x,y
1776692124,182269470,robot_1,0.376,1.158
1776692124,182307944,robot_3,-0.985,-0.716
1776692124,182323654,robot_4,0.376,-1.158
1776692124,182338055,robot_0,1.219,0.000
1776692124,182352010,robot_2,-0.983,0.714
1776692124,801702806,robot_1,0.419,1.281
1776692124,801724484,robot_3,-1.109,-0.806
1776692124,801743845,robot_4,0.425,-1.308
1776692124,801751573,robot_0,1.395,0.000
1776692124,801763287,robot_2,-1.072,0.778
1776692125,2238374,robot_1,0.431,1.316
1776692125,2262879,robot_3,-1.147,-0.834
1776692125,2271164,robot_4,0.437,-1.346
1776692125,2278025,robot_0,1.456,-0.000
1776692125,2293956,robot_2,-1.101,0.798
1776692125,202702318,robot_1,0.443,1.352
1776692125,202721717,robot_3,-1.194,-0.868
1776692125,202730601,robot_4,0.449,-1.381
1776692125,202737978,robot_0,1.522,-0.000
1776692125,202745386,robot_2,-1.132,0.819
1776692125,621350043,robot_1,0.462,1.417
1776692125,621372056,robot_3,-1.272,-0.924
1776692125,621380204,robot_4,0.474,-1.458
1776692125,621387110,robot_0,1.627,-0.000
1776692125,621394192,robot_2,-1.197,0.863
1776692124,182439559,robot_1,0.376,1.158
1776692124,182478244,robot_3,-0.985,-0.716
1776692124,182497914,robot_4,0.376,-1.158
1776692124,182513535,robot_0,1.219,0.000
1776692124,182532836,robot_2,-0.983,0.714
1776692124,601800697,robot_1,0.405,1.244
1776692124,601823481,robot_3,-1.075,-0.781
1776692124,601841765,robot_4,0.409,-1.258
1776692124,601848646,robot_0,1.345,0.000
1776692124,601855765,robot_2,-1.043,0.758
1776692124,801808934,robot_1,0.419,1.281
1776692124,801828943,robot_3,-1.109,-0.806
1776692124,801837736,robot_4,0.425,-1.308
1776692124,801845037,robot_0,1.395,0.000
1776692124,801852730,robot_2,-1.072,0.778
1776692125,2979085,robot_1,0.431,1.316
1776692125,3016839,robot_3,-1.147,-0.834
1776692125,3035603,robot_4,0.437,-1.346
1776692125,3050028,robot_0,1.456,-0.000
1776692125,3080671,robot_2,-1.101,0.798
1776692125,622209822,robot_1,0.462,1.417
1776692125,622240389,robot_3,-1.272,-0.924
1776692125,622256883,robot_4,0.474,-1.458
1776692125,622269379,robot_0,1.627,-0.000
1776692125,622282255,robot_2,-1.197,0.863
1776692126,41697943,robot_1,0.483,1.491
1776692126,41716248,robot_3,-1.356,-0.985
1776692126,41724301,robot_4,0.490,-1.515
1776692126,41730526,robot_0,1.721,-0.000
1776692126,41737550,robot_2,-1.281,0.920
1776692125,821481829,robot_1,0.471,1.449
1776692125,821502717,robot_3,-1.320,-0.959
1776692125,821511204,robot_4,0.480,-1.481
1776692125,821517893,robot_0,1.672,-0.000
1776692125,821524396,robot_2,-1.232,0.887
