stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,120000000,global,1,0,1,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.883202,5.000623,0.024159,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
20,770000000,global,2,0,2,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.079738,5.000140,0.147738,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
23,70000000,global,3,0,3,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.102558,5.000108,0.147634,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
36,160000000,global,4,1,3,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-1.377665,0.829379,0.147799,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
49,180000000,global,5,1,4,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,2.348068,0.907499,0.023569,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
55,230000000,global,6,1,5,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,2.344341,0.901421,0.272074,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
70,320000000,global,7,1,6,obstacle,"('robot_2', 'box0::link::collision')",robot_2,box0::link::collision,2.587769,-3.280307,0.148190,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
73,130000000,global,8,1,7,obstacle,"('robot_2', 'box0::link::collision')",robot_2,box0::link::collision,2.486797,-3.191461,0.147594,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
89,60000000,global,9,1,8,obstacle,"('robot_1', 'south_wall::link::collision')",robot_1,south_wall::link::collision,0.348815,-5.001371,0.148027,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
93,360000000,global,10,1,9,obstacle,"('robot_1', 'south_wall::link::collision')",robot_1,south_wall::link::collision,0.158914,-5.000257,0.147452,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
96,490000000,global,11,1,10,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.336924,3.018865,0.147044,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
159,850000000,global,12,1,11,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.371716,5.000610,0.148079,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
162,660000000,global,13,1,12,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.516677,5.000385,0.147704,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
180,210000000,global,14,1,13,obstacle,"('robot_0', 'box2::link::collision')",robot_0,box2::link::collision,-1.900247,2.642693,0.023622,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
