stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
16,650000000,global,1,0,1,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.310744,0.847286,0.023972,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
17,940000000,global,2,0,2,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.490780,1.136864,0.148187,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
20,790000000,global,3,0,3,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.418895,1.021089,0.147602,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
26,960000000,global,4,0,4,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.424581,-2.094101,0.149015,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
30,910000000,global,5,0,5,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.300080,-1.936078,0.147549,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
37,240000000,global,6,0,6,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.369646,-2.010374,0.148085,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
37,720000000,global,7,0,7,obstacle,"('robot_3', 'east_wall::link::collision')",robot_3,east_wall::link::collision,5.000454,0.076592,0.148694,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
40,800000000,global,8,0,8,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.306265,-1.941712,0.147915,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
42,990000000,global,9,0,9,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.300903,-1.936819,0.147507,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
47,620000000,global,10,0,10,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.252189,-1.897408,0.148148,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
