stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776720519,765423710,robot_0,81,3.000,-4.000,3.500,-3.500
1776720519,765451167,robot_1,48,-1.000,3.000,-0.500,3.500
1776720519,765473389,robot_3,64,1.000,-1.000,1.500,-0.500
1776720519,765493850,robot_4,36,-2.000,1.000,-1.500,1.500
1776720519,765520073,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776720522,408777313,robot_1,58,0.000,3.000,0.500,3.500
1776720522,408817674,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776720523,48247049,robot_0,91,4.000,-4.000,4.500,-3.500
1776720524,328435596,robot_3,74,2.000,-1.000,2.500,-0.500
1776720524,528827784,robot_4,46,-1.000,1.000,-0.500,1.500
1776720527,67135421,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776720527,688074005,robot_1,68,1.000,3.000,1.500,3.500
1776720528,987676748,robot_3,84,3.000,-1.000,3.500,-0.500
1776720528,987689866,robot_4,56,0.000,1.000,0.500,1.500
1776720532,148929201,robot_1,78,2.000,3.000,2.500,3.500
1776720533,8080391,robot_4,66,1.000,1.000,1.500,1.500
1776720533,209148291,robot_3,94,4.000,-1.000,4.500,-0.500
1776720537,447645306,robot_4,76,2.000,1.000,2.500,1.500
1776720541,868054380,robot_4,75,2.000,0.000,2.500,0.500
1776720543,387876614,robot_1,77,2.000,2.000,2.500,2.500
1776720543,588051859,robot_4,65,1.000,0.000,1.500,0.500
1776720550,748244491,robot_4,63,1.000,-2.000,1.500,-1.500
1776720552,9525698,robot_1,67,1.000,2.000,1.500,2.500
1776720555,367507762,robot_4,62,1.000,-3.000,1.500,-2.500
1776720560,688294156,robot_4,61,1.000,-4.000,1.500,-3.500
1776720561,108973154,robot_4,51,0.000,-4.000,0.500,-3.500
1776720561,947780482,robot_0,82,3.000,-3.000,3.500,-2.500
1776720565,348700762,robot_4,50,0.000,-5.000,0.500,-4.500
1776720566,407952799,robot_0,72,2.000,-3.000,2.500,-2.500
1776720571,8364991,robot_1,26,-3.000,1.000,-2.500,1.500
1776720572,507425451,robot_4,40,-1.000,-5.000,-0.500,-4.500
1776720573,548146492,robot_1,25,-3.000,0.000,-2.500,0.500
1776720574,168170590,robot_3,95,4.000,0.000,4.500,0.500
1776720574,387481191,robot_4,41,-1.000,-4.000,-0.500,-3.500
1776720575,667384537,robot_0,52,0.000,-3.000,0.500,-2.500
1776720575,667404096,robot_1,15,-4.000,0.000,-3.500,0.500
1776720575,888526893,robot_0,53,0.000,-2.000,0.500,-1.500
1776720576,968688651,robot_3,85,3.000,0.000,3.500,0.500
1776720577,369393817,robot_4,31,-2.000,-4.000,-1.500,-3.500
1776720580,748188534,robot_0,43,-1.000,-2.000,-0.500,-1.500
1776720586,228514953,robot_0,44,-1.000,-1.000,-0.500,-0.500
1776720586,648152724,robot_0,34,-2.000,-1.000,-1.500,-0.500
1776720587,67096953,robot_1,24,-3.000,-1.000,-2.500,-0.500
1776720595,908392412,robot_1,22,-3.000,-3.000,-2.500,-2.500
1776720600,128533828,robot_1,21,-3.000,-4.000,-2.500,-3.500
1776720607,247159097,robot_4,60,1.000,-5.000,1.500,-4.500
1776720632,487632624,robot_2,14,-4.000,-1.000,-3.500,-0.500
1776720634,7203935,robot_0,20,-3.000,-5.000,-2.500,-4.500
1776720635,707194887,robot_0,30,-2.000,-5.000,-1.500,-4.500
1776720646,328318774,robot_2,35,-2.000,0.000,-1.500,0.500
1776720648,428509336,robot_3,73,2.000,-2.000,2.500,-1.500
1776720650,527563038,robot_2,45,-1.000,0.000,-0.500,0.500
1776720681,729114334,robot_2,79,2.000,4.000,2.500,4.500
1776720690,407213501,robot_1,12,-4.000,-3.000,-3.500,-2.500
1776720693,787201822,robot_4,42,-1.000,-3.000,-0.500,-2.500
1776720695,48197672,robot_1,11,-4.000,-4.000,-3.500,-3.500
