stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776723572,934638982,robot_1,56,0.000,1.000,0.500,1.500
1776723572,934674550,robot_2,45,-1.000,0.000,-0.500,0.500
1776723572,934701789,robot_4,53,0.000,-2.000,0.500,-1.500
1776723572,934727067,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776723572,934753600,robot_0,65,1.000,0.000,1.500,0.500
1776723574,470851171,robot_2,35,-2.000,0.000,-1.500,0.500
1776723574,470880044,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776723575,109239387,robot_0,64,1.000,-1.000,1.500,-0.500
1776723576,611067041,robot_3,33,-2.000,-2.000,-1.500,-1.500
1776723576,811128040,robot_2,36,-2.000,1.000,-1.500,1.500
1776723577,470050324,robot_0,74,2.000,-1.000,2.500,-0.500
1776723578,330304074,robot_4,52,0.000,-3.000,0.500,-2.500
1776723578,531148476,robot_0,75,2.000,0.000,2.500,0.500
1776723578,948828476,robot_1,57,0.000,2.000,0.500,2.500
1776723579,349215711,robot_3,23,-3.000,-2.000,-2.500,-1.500
1776723579,989163700,robot_2,26,-3.000,1.000,-2.500,1.500
1776723582,910555915,robot_4,51,0.000,-4.000,0.500,-3.500
1776723583,349358346,robot_1,58,0.000,3.000,0.500,3.500
1776723583,989452897,robot_4,61,1.000,-4.000,1.500,-3.500
1776723583,989465033,robot_3,22,-3.000,-3.000,-2.500,-2.500
1776723585,50484165,robot_3,12,-4.000,-3.000,-3.500,-2.500
1776723586,969321073,robot_4,60,1.000,-5.000,1.500,-4.500
1776723587,831042886,robot_1,68,1.000,3.000,1.500,3.500
1776723588,470314594,robot_1,69,1.000,4.000,1.500,4.500
1776723594,9106376,robot_3,2,-5.000,-3.000,-4.500,-2.500
1776723595,49375743,robot_3,3,-5.000,-2.000,-4.500,-1.500
1776723598,610030670,robot_1,59,0.000,4.000,0.500,4.500
1776723601,750299690,robot_2,27,-3.000,2.000,-2.500,2.500
1776723609,529665534,robot_0,55,0.000,0.000,0.500,0.500
1776723614,370519955,robot_0,46,-1.000,1.000,-0.500,1.500
1776723621,109295627,robot_3,32,-2.000,-3.000,-1.500,-2.500
1776723637,470411228,robot_0,25,-3.000,0.000,-2.500,0.500
1776723654,790481870,robot_4,62,1.000,-3.000,1.500,-2.500
1776723658,871127995,robot_4,63,1.000,-2.000,1.500,-1.500
1776723672,609923690,robot_4,66,1.000,1.000,1.500,1.500
1776723675,790598813,robot_0,24,-3.000,-1.000,-2.500,-0.500
1776723677,890031174,robot_4,67,1.000,2.000,1.500,2.500
1776723678,309766044,robot_2,16,-4.000,1.000,-3.500,1.500
1776723680,410469122,robot_4,77,2.000,2.000,2.500,2.500
1776723682,290047808,robot_4,78,2.000,3.000,2.500,3.500
1776723682,710531753,robot_0,43,-1.000,-2.000,-0.500,-1.500
1776723687,130431403,robot_4,79,2.000,4.000,2.500,4.500
1776723690,970379945,robot_1,48,-1.000,3.000,-0.500,3.500
1776723692,470390223,robot_1,47,-1.000,2.000,-0.500,2.500
1776723695,470148469,robot_0,54,0.000,-1.000,0.500,-0.500
1776723721,689050097,robot_4,37,-2.000,2.000,-1.500,2.500
1776723722,710117529,robot_0,84,3.000,-1.000,3.500,-0.500
1776723725,650151921,robot_0,83,3.000,-2.000,3.500,-1.500
1776723749,570968935,robot_0,73,2.000,-2.000,2.500,-1.500
