stamp_sec,stamp_nsec,robot,x,y
1776728865,412583530,robot_0,3.500,-3.250
1776728865,412639640,robot_3,1.250,-0.250
1776728865,412663548,robot_1,-0.250,3.500
1776728865,412684930,robot_4,-1.750,1.250
1776728865,412704617,robot_2,-3.250,-1.750
1776728866,577395816,robot_0,3.500,-3.250
1776728866,577419054,robot_3,1.250,-0.250
1776728866,577427661,robot_1,-0.250,3.500
1776728866,577434295,robot_4,-1.750,1.250
1776728866,577440983,robot_2,-3.250,-1.750
1776728866,797451800,robot_0,3.525,-3.250
1776728866,797474056,robot_3,1.275,-0.250
1776728866,797484420,robot_1,-0.225,3.500
1776728866,797498982,robot_4,-1.725,1.250
1776728866,797507361,robot_2,-3.225,-1.750
1776728867,17094620,robot_0,3.569,-3.250
1776728867,17119057,robot_3,1.319,-0.250
1776728867,17129872,robot_1,-0.181,3.500
1776728867,17138575,robot_4,-1.681,1.250
1776728867,17146542,robot_2,-3.181,-1.750
1776728867,217746769,robot_0,3.600,-3.250
1776728867,217775746,robot_3,1.377,-0.250
1776728867,217785642,robot_1,-0.124,3.500
1776728867,217793622,robot_4,-1.621,1.250
1776728867,217800590,robot_2,-3.149,-1.750
1776728867,437557005,robot_0,3.634,-3.250
1776728867,437585911,robot_3,1.448,-0.252
1776728867,437596808,robot_1,-0.046,3.500
1776728867,437605008,robot_4,-1.545,1.251
1776728867,437613087,robot_2,-3.116,-1.749
1776728867,637745899,robot_0,3.674,-3.250
1776728867,637769544,robot_3,1.488,-0.254
1776728867,637779163,robot_1,-0.005,3.500
1776728867,637786758,robot_4,-1.505,1.252
1776728867,637794018,robot_2,-3.076,-1.746
1776728867,857725348,robot_0,3.718,-3.250
1776728867,857758875,robot_3,1.532,-0.256
1776728867,857772093,robot_1,0.039,3.500
1776728867,857796881,robot_4,-1.462,1.253
1776728867,857806263,robot_2,-3.032,-1.743
1776728868,59385531,robot_0,3.764,-3.250
1776728868,59407260,robot_3,1.580,-0.259
1776728868,59414262,robot_1,0.080,3.500
1776728868,59420050,robot_4,-1.413,1.254
1776728868,59425220,robot_2,-2.984,-1.740
1776728868,276747619,robot_0,3.823,-3.250
1776728868,276769873,robot_3,1.651,-0.265
1776728868,276779747,robot_1,0.129,3.500
1776728868,276788633,robot_4,-1.339,1.255
1776728868,276796897,robot_2,-2.904,-1.735
1776728868,497238875,robot_0,3.867,-3.250
1776728868,497260937,robot_3,1.696,-0.271
1776728868,497268232,robot_1,0.173,3.500
1776728868,497273869,robot_4,-1.294,1.255
1776728868,497281681,robot_2,-2.856,-1.732
1776728868,697592249,robot_0,3.907,-3.250
1776728868,697632474,robot_3,1.736,-0.276
1776728868,697643595,robot_1,0.213,3.500
1776728868,697651820,robot_4,-1.254,1.255
1776728868,697659581,robot_2,-2.816,-1.729
1776728868,917019084,robot_0,3.954,-3.250
1776728868,917060766,robot_3,1.777,-0.282
1776728868,917077535,robot_1,0.256,3.500
1776728868,917090982,robot_4,-1.206,1.256
1776728868,917103224,robot_2,-2.774,-1.726
1776728869,117643747,robot_0,4.007,-3.250
1776728869,117686133,robot_3,1.801,-0.285
1776728869,117697572,robot_1,0.289,3.500
1776728869,117706860,robot_4,-1.147,1.256
1776728869,117715531,robot_2,-2.744,-1.724
1776728869,317760510,robot_0,4.051,-3.250
1776728869,317793644,robot_3,1.836,-0.290
1776728869,317809667,robot_1,0.325,3.500
1776728869,317823862,robot_4,-1.101,1.256
1776728869,317836700,robot_2,-2.708,-1.722
1776728869,537508319,robot_0,4.095,-3.250
1776728869,537538906,robot_3,1.880,-0.296
1776728869,537553442,robot_1,0.369,3.500
1776728869,537565353,robot_4,-1.057,1.256
1776728869,537577050,robot_2,-2.664,-1.719
1776728869,757839729,robot_0,4.139,-3.250
1776728869,757870962,robot_3,1.923,-0.302
1776728869,757877848,robot_1,0.413,3.500
1776728869,757884332,robot_4,-1.013,1.256
1776728869,757889718,robot_2,-2.620,-1.716
1776728869,976049373,robot_0,4.214,-3.250
1776728869,976067630,robot_3,1.986,-0.311
1776728869,976075119,robot_1,0.461,3.500
1776728869,976081582,robot_4,-0.948,1.256
1776728869,976095718,robot_2,-2.584,-1.714
1776728870,176686397,robot_0,4.276,-3.250
1776728870,176706258,robot_3,2.035,-0.318
1776728870,176721227,robot_1,0.504,3.499
1776728870,176727469,robot_4,-0.896,1.256
1776728870,176732727,robot_2,-2.549,-1.711
1776728870,396090971,robot_0,4.320,-3.250
1776728870,396113829,robot_3,2.079,-0.324
1776728870,396120925,robot_1,0.548,3.497
1776728870,396126884,robot_4,-0.852,1.257
1776728870,396132266,robot_2,-2.505,-1.706
1776728870,596382827,robot_0,4.360,-3.250
1776728870,596404738,robot_3,2.119,-0.329
1776728870,596412620,robot_1,0.588,3.496
1776728870,596418506,robot_4,-0.812,1.257
1776728870,596424323,robot_2,-2.465,-1.702
1776728870,796942528,robot_0,4.418,-3.250
1776728870,796963410,robot_3,2.169,-0.336
1776728870,796973777,robot_1,0.626,3.494
1776728870,796981383,robot_4,-0.774,1.257
1776728870,796988409,robot_2,-2.430,-1.699
1776728870,997449616,robot_0,4.492,-3.250
1776728870,997467723,robot_3,2.225,-0.344
1776728870,997475110,robot_1,0.663,3.494
1776728870,997481465,robot_4,-0.738,1.257
1776728870,997486876,robot_2,-2.396,-1.696
1776728871,197547846,robot_0,4.534,-3.250
1776728871,197581908,robot_3,2.264,-0.350
1776728871,197598217,robot_1,0.703,3.495
1776728871,197610004,robot_4,-0.698,1.257
1776728871,197622158,robot_2,-2.356,-1.692
1776728871,417948320,robot_0,4.555,-3.250
1776728871,417973596,robot_3,2.308,-0.356
