stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
19,280000000,global,1,0,1,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.279056,-3.010382,0.148866,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
22,940000000,global,2,0,2,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.281582,-3.012583,0.147514,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
42,880000000,global,3,0,3,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,1.529745,-5.001152,0.146390,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
47,380000000,global,4,1,3,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.229933,-4.425612,0.148078,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
47,740000000,global,5,1,4,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,1.272891,-5.000659,0.147132,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
52,340000000,global,6,2,4,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.419325,-4.346368,0.147948,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
53,330000000,global,7,2,5,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,1.471662,-5.000082,0.272587,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
59,700000000,global,8,3,5,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-3.562791,-1.777665,0.148543,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
60,640000000,global,9,4,5,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.367960,-4.422136,0.147827,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
62,50000000,global,10,4,6,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,1.571506,-5.000045,0.023044,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
63,150000000,global,11,5,6,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.346169,-4.414119,0.147709,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
