stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776744131,765743780,robot_0,65,1.000,0.000,1.500,0.500
1776744131,765766518,robot_1,56,0.000,1.000,0.500,1.500
1776744131,765782992,robot_2,45,-1.000,0.000,-0.500,0.500
1776744131,765798175,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776744131,765813513,robot_4,53,0.000,-2.000,0.500,-1.500
1776744133,319589047,robot_2,35,-2.000,0.000,-1.500,0.500
1776744133,319601049,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776744134,159841180,robot_0,64,1.000,-1.000,1.500,-0.500
1776744135,421219827,robot_3,33,-2.000,-2.000,-1.500,-1.500
1776744135,639308340,robot_2,36,-2.000,1.000,-1.500,1.500
1776744136,261487653,robot_0,74,2.000,-1.000,2.500,-0.500
1776744137,121225427,robot_4,52,0.000,-3.000,0.500,-2.500
1776744137,339355201,robot_0,75,2.000,0.000,2.500,0.500
1776744137,961638343,robot_1,57,0.000,2.000,0.500,2.500
1776744138,380852048,robot_3,23,-3.000,-2.000,-2.500,-1.500
1776744138,800723619,robot_2,26,-3.000,1.000,-2.500,1.500
1776744141,681814946,robot_4,51,0.000,-4.000,0.500,-3.500
1776744142,120034614,robot_1,58,0.000,3.000,0.500,3.500
1776744142,760825228,robot_3,22,-3.000,-3.000,-2.500,-2.500
1776744142,961151546,robot_4,61,1.000,-4.000,1.500,-3.500
1776744144,992489,robot_3,12,-4.000,-3.000,-3.500,-2.500
1776744145,920256500,robot_4,60,1.000,-5.000,1.500,-4.500
1776744146,760885163,robot_1,68,1.000,3.000,1.500,3.500
1776744147,380759320,robot_1,69,1.000,4.000,1.500,4.500
1776744164,660744800,robot_1,59,0.000,4.000,0.500,4.500
1776744174,379806721,robot_0,63,1.000,-2.000,1.500,-1.500
1776744179,200459870,robot_0,62,1.000,-3.000,1.500,-2.500
1776744189,780425379,robot_0,50,0.000,-5.000,0.500,-4.500
1776744191,500981435,robot_0,40,-1.000,-5.000,-0.500,-4.500
1776744192,121297563,robot_1,47,-1.000,2.000,-0.500,2.500
1776744196,561375653,robot_1,46,-1.000,1.000,-0.500,1.500
1776744201,341465891,robot_4,41,-1.000,-4.000,-0.500,-3.500
1776744211,871320942,robot_2,66,1.000,1.000,1.500,1.500
1776744217,109547959,robot_2,76,2.000,1.000,2.500,1.500
1776744217,749201785,robot_4,42,-1.000,-3.000,-0.500,-2.500
1776744223,209896573,robot_1,43,-1.000,-2.000,-0.500,-1.500
1776744226,371486030,robot_3,21,-3.000,-4.000,-2.500,-3.500
1776744230,991177087,robot_3,20,-3.000,-5.000,-2.500,-4.500
1776744247,729441164,robot_3,30,-2.000,-5.000,-1.500,-4.500
1776744257,650626105,robot_2,67,1.000,2.000,1.500,2.500
1776744265,630215594,robot_2,48,-1.000,3.000,-0.500,3.500
1776744270,870528655,robot_2,49,-1.000,4.000,-0.500,4.500
1776744271,950003708,robot_2,39,-2.000,4.000,-1.500,4.500
1776744314,69043028,robot_4,54,0.000,-1.000,0.500,-0.500
