stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776743317,570952340,robot_3,64,1.000,-1.000,1.500,-0.500
1776743317,570986188,robot_4,36,-2.000,1.000,-1.500,1.500
1776743317,571010680,robot_1,48,-1.000,3.000,-0.500,3.500
1776743317,571038069,robot_0,81,3.000,-4.000,3.500,-3.500
1776743317,571063402,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776743320,216185914,robot_1,58,0.000,3.000,0.500,3.500
1776743320,216202900,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776743320,836839838,robot_0,91,4.000,-4.000,4.500,-3.500
1776743322,97346061,robot_3,74,2.000,-1.000,2.500,-0.500
1776743322,298898068,robot_4,46,-1.000,1.000,-0.500,1.500
1776743324,657248201,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776743325,497231616,robot_1,68,1.000,3.000,1.500,3.500
1776743326,556351373,robot_3,84,3.000,-1.000,3.500,-0.500
1776743326,776298473,robot_4,56,0.000,1.000,0.500,1.500
1776743329,936534752,robot_1,78,2.000,3.000,2.500,3.500
1776743330,957081135,robot_3,94,4.000,-1.000,4.500,-0.500
1776743330,957095956,robot_4,66,1.000,1.000,1.500,1.500
1776743335,196835766,robot_4,76,2.000,1.000,2.500,1.500
1776743340,75863962,robot_1,77,2.000,2.000,2.500,2.500
1776743344,995869096,robot_0,90,4.000,-5.000,4.500,-4.500
1776743348,356622370,robot_3,95,4.000,0.000,4.500,0.500
1776743361,675912240,robot_2,24,-3.000,-1.000,-2.500,-0.500
1776743363,596948263,robot_2,14,-4.000,-1.000,-3.500,-0.500
1776743365,77795902,robot_0,80,3.000,-5.000,3.500,-4.500
1776743369,915546998,robot_3,85,3.000,0.000,3.500,0.500
1776743371,177617151,robot_0,82,3.000,-3.000,3.500,-2.500
1776743371,616836926,robot_4,26,-3.000,1.000,-2.500,1.500
1776743372,256074541,robot_0,72,2.000,-3.000,2.500,-2.500
1776743374,555725586,robot_4,27,-3.000,2.000,-2.500,2.500
1776743375,195925030,robot_1,87,3.000,2.000,3.500,2.500
1776743375,817468119,robot_4,17,-4.000,2.000,-3.500,2.500
1776743376,657332103,robot_0,73,2.000,-2.000,2.500,-1.500
1776743380,856828465,robot_0,63,1.000,-2.000,1.500,-1.500
1776743387,195928758,robot_0,65,1.000,0.000,1.500,0.500
1776743390,736486162,robot_4,16,-4.000,1.000,-3.500,1.500
1776743396,456878135,robot_0,67,1.000,2.000,1.500,2.500
1776743405,239701510,robot_0,69,1.000,4.000,1.500,4.500
1776743414,537167411,robot_4,25,-3.000,0.000,-2.500,0.500
1776743415,176908600,robot_4,35,-2.000,0.000,-1.500,0.500
1776743420,237321600,robot_4,34,-2.000,-1.000,-1.500,-0.500
1776743422,395963491,robot_4,44,-1.000,-1.000,-0.500,-0.500
1776743423,219621759,robot_0,59,0.000,4.000,0.500,4.500
1776743425,757585215,robot_4,43,-1.000,-2.000,-0.500,-1.500
1776743438,196663847,robot_2,12,-4.000,-3.000,-3.500,-2.500
1776743440,95785146,robot_3,54,0.000,-1.000,0.500,-0.500
1776743445,355834357,robot_0,49,-1.000,4.000,-0.500,4.500
1776743447,276002539,robot_4,2,-5.000,-3.000,-4.500,-2.500
1776743454,876579952,robot_4,3,-5.000,-2.000,-4.500,-1.500
1776743478,996791702,robot_2,22,-3.000,-3.000,-2.500,-2.500
1776743480,897042508,robot_3,45,-1.000,0.000,-0.500,0.500
1776743489,975588681,robot_3,47,-1.000,2.000,-0.500,2.500
1776743498,115861524,robot_2,37,-2.000,2.000,-1.500,2.500
