stamp_sec,stamp_nsec,robot,x,y
1776759616,67197501,robot_3,1.250,-0.250
1776759616,67238930,robot_0,3.500,-3.250
1776759616,67258626,robot_1,-0.250,3.500
1776759616,67275434,robot_4,-1.750,1.250
1776759616,67292801,robot_2,-3.250,-1.750
1776759617,581589799,robot_3,1.250,-0.250
1776759617,581613973,robot_0,3.500,-3.250
1776759617,581623823,robot_1,-0.250,3.500
1776759617,581631605,robot_4,-1.750,1.250
1776759617,581638646,robot_2,-3.250,-1.750
1776759617,800402061,robot_3,1.272,-0.250
1776759617,800423219,robot_0,3.525,-3.250
1776759617,800431172,robot_1,-0.225,3.500
1776759617,800444217,robot_4,-1.725,1.250
1776759617,800451342,robot_2,-3.225,-1.750
1776759618,1409046,robot_3,1.297,-0.250
1776759618,1430940,robot_0,3.571,-3.250
1776759618,1439533,robot_1,-0.190,3.500
1776759618,1447181,robot_4,-1.675,1.250
1776759618,1453962,robot_2,-3.187,-1.750
1776759618,221500167,robot_3,1.336,-0.250
1776759618,221529233,robot_0,3.629,-3.250
1776759618,221539452,robot_1,-0.153,3.500
1776759618,221546666,robot_4,-1.612,1.250
1776759618,221552735,robot_2,-3.154,-1.750
1776759618,440660193,robot_3,1.388,-0.250
1776759618,440681396,robot_0,3.673,-3.250
1776759618,440689315,robot_1,-0.109,3.500
1776759618,440695914,robot_4,-1.568,1.250
1776759618,440702219,robot_2,-3.112,-1.750
1776759618,641727609,robot_3,1.447,-0.250
1776759618,641754888,robot_0,3.732,-3.250
1776759618,641764951,robot_1,-0.065,3.500
1776759618,641773391,robot_4,-1.513,1.250
1776759618,641781272,robot_2,-3.076,-1.750
1776759618,861020199,robot_3,1.494,-0.250
1776759618,861041908,robot_0,3.810,-3.250
1776759618,861052196,robot_1,-0.018,3.499
1776759618,861060227,robot_4,-1.451,1.250
1776759618,861068107,robot_2,-3.041,-1.749
1776759619,61054261,robot_3,1.542,-0.250
1776759619,61075798,robot_0,3.850,-3.250
1776759619,61083545,robot_1,0.022,3.497
1776759619,61098705,robot_4,-1.411,1.250
1776759619,61104735,robot_2,-3.001,-1.748
1776759619,261623606,robot_3,1.600,-0.250
1776759619,261649420,robot_0,3.915,-3.250
1776759619,261660328,robot_1,0.059,3.496
1776759619,261669367,robot_4,-1.374,1.250
1776759619,261678262,robot_2,-2.965,-1.747
1776759619,481456124,robot_3,1.645,-0.250
1776759619,481490411,robot_0,3.990,-3.250
1776759619,481506340,robot_1,0.101,3.497
1776759619,481519522,robot_4,-1.333,1.250
1776759619,481531730,robot_2,-2.927,-1.746
1776759619,701315966,robot_3,1.703,-0.250
1776759619,701335934,robot_0,4.034,-3.250
1776759619,701351366,robot_1,0.143,3.498
1776759619,701357972,robot_4,-1.289,1.250
1776759619,701364322,robot_2,-2.883,-1.744
1776759619,920920344,robot_3,1.764,-0.250
1776759619,920942851,robot_0,4.089,-3.250
1776759619,920952752,robot_1,0.170,3.499
1776759619,920960986,robot_4,-1.264,1.250
1776759619,920968451,robot_2,-2.824,-1.742
1776759620,141079311,robot_3,1.808,-0.250
1776759620,141115395,robot_0,4.137,-3.250
1776759620,141132826,robot_1,0.210,3.500
1776759620,141146588,robot_4,-1.228,1.248
1776759620,141158499,robot_2,-2.765,-1.741
1776759620,342724704,robot_3,1.873,-0.250
1776759620,342765951,robot_0,4.180,-3.250
1776759620,342788818,robot_1,0.249,3.501
1776759620,342807468,robot_4,-1.184,1.247
