stamp_sec,stamp_nsec,robot,x,y
1776762671,825821118,robot_3,-0.971,-0.705
1776762671,825860308,robot_4,0.371,-1.141
1776762671,825877410,robot_1,0.371,1.141
1776762671,825892557,robot_0,1.200,-0.000
1776762671,825909463,robot_2,-0.971,0.705
1776762672,979336156,robot_3,-0.971,-0.705
1776762672,979357773,robot_4,0.371,-1.141
1776762672,979365556,robot_1,0.371,1.141
1776762672,979371350,robot_0,1.200,0.000
1776762672,979377381,robot_2,-0.971,0.705
1776762673,179908243,robot_3,-0.988,-0.718
1776762673,179930727,robot_4,0.377,-1.162
1776762673,179941615,robot_1,0.377,1.162
1776762673,179950093,robot_0,1.221,0.000
1776762673,179959116,robot_2,-0.988,0.718
1776762673,380027996,robot_3,-1.020,-0.741
1776762673,380076725,robot_4,0.390,-1.200
1776762673,380091022,robot_1,0.390,1.200
1776762673,380101898,robot_0,1.261,0.000
1776762673,380112436,robot_2,-1.020,0.741
1776762673,580417743,robot_3,-1.070,-0.777
1776762673,580445730,robot_4,0.406,-1.249
1776762673,580457560,robot_1,0.406,1.250
1776762673,580467127,robot_0,1.293,0.000
1776762673,580477199,robot_2,-1.046,0.760
1776762673,800468309,robot_3,-1.126,-0.815
1776762673,800493097,robot_4,0.431,-1.325
1776762673,800502133,robot_1,0.431,1.325
1776762673,800509457,robot_0,1.326,0.000
1776762673,800517196,robot_2,-1.073,0.778
1776762674,19119147,robot_3,-1.162,-0.839
1776762674,19143495,robot_4,0.447,-1.369
1776762674,19153352,robot_1,0.445,1.368
1776762674,19162289,robot_0,1.370,0.000
1776762674,19170247,robot_2,-1.110,0.802
1776762674,219878195,robot_3,-1.196,-0.861
1776762674,219905710,robot_4,0.460,-1.407
1776762674,219917086,robot_1,0.457,1.407
1776762674,219926828,robot_0,1.410,0.000
1776762674,219936012,robot_2,-1.144,0.823
1776762674,440778647,robot_3,-1.244,-0.892
1776762674,440802600,robot_4,0.476,-1.453
1776762674,440811871,robot_1,0.471,1.450
1776762674,440820445,robot_0,1.461,-0.000
1776762674,440839019,robot_2,-1.191,0.853
1776762674,658294326,robot_3,-1.303,-0.927
1776762674,658311780,robot_4,0.500,-1.523
