stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776470107,535441091,robot_1,56,0.000,1.000,0.500,1.500
1776470107,535477106,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776470107,535504723,robot_0,65,1.000,0.000,1.500,0.500
1776470107,535530557,robot_4,53,0.000,-2.000,0.500,-1.500
1776470107,535555997,robot_2,45,-1.000,0.000,-0.500,0.500
1776470109,108384207,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776470109,108408413,robot_2,35,-2.000,0.000,-1.500,0.500
1776470109,949844242,robot_0,64,1.000,-1.000,1.500,-0.500
1776470111,228584757,robot_3,33,-2.000,-2.000,-1.500,-1.500
1776470111,448130966,robot_2,36,-2.000,1.000,-1.500,1.500
1776470112,309699773,robot_0,74,2.000,-1.000,2.500,-0.500
1776470112,729066332,robot_4,52,0.000,-3.000,0.500,-2.500
1776470113,569537899,robot_1,57,0.000,2.000,0.500,2.500
1776470113,787923251,robot_3,23,-3.000,-2.000,-2.500,-1.500
1776470113,787935589,robot_0,75,2.000,0.000,2.500,0.500
1776470115,27915856,robot_2,26,-3.000,1.000,-2.500,1.500
1776470117,529419372,robot_4,51,0.000,-4.000,0.500,-3.500
1776470118,787839333,robot_1,58,0.000,3.000,0.500,3.500
1776470119,389287920,robot_3,13,-4.000,-2.000,-3.500,-1.500
1776470119,389309039,robot_4,61,1.000,-4.000,1.500,-3.500
1776470119,808476740,robot_1,68,1.000,3.000,1.500,3.500
1776470120,9474766,robot_3,12,-4.000,-3.000,-3.500,-2.500
1776470122,607888677,robot_4,60,1.000,-5.000,1.500,-4.500
1776470123,248140406,robot_1,69,1.000,4.000,1.500,4.500
1776470140,949177330,robot_1,59,0.000,4.000,0.500,4.500
1776470146,208079410,robot_0,63,1.000,-2.000,1.500,-1.500
1776470151,50342423,robot_0,62,1.000,-3.000,1.500,-2.500
1776470161,469637192,robot_0,50,0.000,-5.000,0.500,-4.500
1776470162,508949568,robot_0,40,-1.000,-5.000,-0.500,-4.500
1776470163,768472161,robot_1,48,-1.000,3.000,-0.500,3.500
1776470171,909190776,robot_2,46,-1.000,1.000,-0.500,1.500
1776470172,329422266,robot_2,47,-1.000,2.000,-0.500,2.500
1776470181,428166234,robot_2,67,1.000,2.000,1.500,2.500
1776470185,487830108,robot_1,38,-2.000,3.000,-1.500,3.500
1776470186,328220761,robot_1,39,-2.000,4.000,-1.500,4.500
1776470186,528307244,robot_2,77,2.000,2.000,2.500,2.500
1776470192,788915109,robot_0,41,-1.000,-4.000,-0.500,-3.500
1776470204,388829899,robot_3,24,-3.000,-1.000,-2.500,-0.500
1776470207,527839471,robot_1,49,-1.000,4.000,-0.500,4.500
1776470237,969303058,robot_1,37,-2.000,2.000,-1.500,2.500
1776470262,9393315,robot_1,22,-3.000,-3.000,-2.500,-2.500
1776470288,8235381,robot_3,25,-3.000,0.000,-2.500,0.500
1776470298,368238667,robot_2,66,1.000,1.000,1.500,1.500
