stamp_sec,stamp_nsec,robot,x,y
1776819169,755534415,robot_0,3.500,-3.250
1776819169,755593068,robot_3,1.250,-0.250
1776819169,755624956,robot_2,-3.250,-1.750
1776819169,755651390,robot_4,-1.750,1.250
1776819169,755675926,robot_1,-0.250,3.500
1776819170,937181668,robot_0,3.500,-3.250
1776819170,937203476,robot_3,1.250,-0.250
1776819170,937212464,robot_2,-3.250,-1.750
1776819170,937218966,robot_4,-1.750,1.250
1776819170,937225084,robot_1,-0.250,3.500
1776819171,157020737,robot_0,3.525,-3.250
1776819171,157039586,robot_3,1.277,-0.250
1776819171,157046887,robot_2,-3.225,-1.750
1776819171,157052635,robot_4,-1.725,1.250
1776819171,157058667,robot_1,-0.217,3.500
1776819171,357029823,robot_0,3.565,-3.250
1776819171,357048488,robot_3,1.317,-0.250
1776819171,357055244,robot_2,-3.185,-1.750
1776819171,357060764,robot_4,-1.685,1.250
1776819171,357065990,robot_1,-0.175,3.500
1776819171,576116007,robot_0,3.618,-3.250
1776819171,576137345,robot_3,1.361,-0.250
1776819171,576145486,robot_2,-3.119,-1.750
1776819171,576151390,robot_4,-1.624,1.250
1776819171,576157097,robot_1,-0.131,3.500
1776819171,796613409,robot_0,3.674,-3.250
1776819171,796633817,robot_3,1.405,-0.250
1776819171,796641933,robot_2,-3.052,-1.750
1776819171,796647918,robot_4,-1.562,1.248
1776819171,796654135,robot_1,-0.087,3.500
1776819171,996667167,robot_0,3.714,-3.250
1776819171,996687740,robot_3,1.445,-0.250
1776819171,996695939,robot_2,-3.012,-1.750
1776819171,996701901,robot_4,-1.522,1.245
1776819171,996707789,robot_1,-0.047,3.500
1776819172,196754017,robot_0,3.745,-3.250
1776819172,196773319,robot_3,1.485,-0.250
1776819172,196781586,robot_2,-2.983,-1.750
1776819172,196794504,robot_4,-1.457,1.241
1776819172,196799824,robot_1,0.009,3.500
1776819172,397140527,robot_0,3.775,-3.250
1776819172,397158870,robot_3,1.525,-0.250
1776819172,397166087,robot_2,-2.951,-1.748
1776819172,397171568,robot_4,-1.391,1.238
1776819172,397176630,robot_1,0.081,3.500
1776819172,597632819,robot_0,3.815,-3.250
