stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,90000000,global,1,0,1,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.878333,5.000828,0.024158,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
20,560000000,global,2,0,2,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.099095,5.000028,0.023390,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
50,580000000,global,3,1,2,robot,"('robot_3', 'robot_4')",robot_3,robot_4,1.394680,0.521403,0.106967,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
54,330000000,global,4,2,2,robot,"('robot_3', 'robot_4')",robot_3,robot_4,1.461823,0.900082,0.147861,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
75,300000000,global,5,2,3,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.801988,2.709485,0.148082,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
78,290000000,global,6,2,4,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.685812,2.785703,0.272653,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
80,240000000,global,7,2,5,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.734180,2.753968,0.147556,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
102,120000000,global,8,2,6,obstacle,"('robot_4', 'box2::link::collision')",robot_4,box2::link::collision,-1.654932,2.806350,0.272566,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
105,400000000,global,9,2,7,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.557463,-1.668845,0.105486,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
108,320000000,global,10,2,8,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.558325,-1.795611,0.147710,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
110,670000000,global,11,2,9,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.562148,-1.828952,0.159905,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
114,550000000,global,12,2,10,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.585847,-1.939054,0.147972,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
