stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776471953,181381926,robot_0,81,3.000,-4.000,3.500,-3.500
1776471953,181416475,robot_3,64,1.000,-1.000,1.500,-0.500
1776471953,181441677,robot_1,48,-1.000,3.000,-0.500,3.500
1776471953,181466369,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776471953,181489165,robot_4,36,-2.000,1.000,-1.500,1.500
1776471955,841959687,robot_1,58,0.000,3.000,0.500,3.500
1776471955,841974204,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776471956,481685400,robot_0,91,4.000,-4.000,4.500,-3.500
1776471957,761611320,robot_3,74,2.000,-1.000,2.500,-0.500
1776471957,761635969,robot_4,46,-1.000,1.000,-0.500,1.500
1776471960,342125163,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776471961,161896902,robot_1,68,1.000,3.000,1.500,3.500
1776471962,221573369,robot_4,56,0.000,1.000,0.500,1.500
1776471962,421597008,robot_3,84,3.000,-1.000,3.500,-0.500
1776471965,581898772,robot_1,78,2.000,3.000,2.500,3.500
1776471966,422653849,robot_4,66,1.000,1.000,1.500,1.500
1776471966,642086999,robot_3,94,4.000,-1.000,4.500,-0.500
1776471970,900651893,robot_4,76,2.000,1.000,2.500,1.500
1776471975,341805381,robot_4,75,2.000,0.000,2.500,0.500
1776471976,621872807,robot_4,65,1.000,0.000,1.500,0.500
1776471984,342482050,robot_4,63,1.000,-2.000,1.500,-1.500
1776471986,282036532,robot_3,95,4.000,0.000,4.500,0.500
1776471988,2965855,robot_1,47,-1.000,2.000,-0.500,2.500
1776471989,62689898,robot_4,62,1.000,-3.000,1.500,-2.500
1776471993,561920318,robot_4,52,0.000,-3.000,0.500,-2.500
1776471994,182238134,robot_4,51,0.000,-4.000,0.500,-3.500
1776471997,140973299,robot_3,85,3.000,0.000,3.500,0.500
1776471999,40358582,robot_4,50,0.000,-5.000,0.500,-4.500
1776472001,161873435,robot_1,37,-2.000,2.000,-1.500,2.500
1776472011,301807980,robot_1,57,0.000,2.000,0.500,2.500
1776472011,942289451,robot_4,61,1.000,-4.000,1.500,-3.500
1776472013,650531616,robot_3,83,3.000,-2.000,3.500,-1.500
1776472014,931429316,robot_3,73,2.000,-2.000,2.500,-1.500
1776472015,571416911,robot_1,67,1.000,2.000,1.500,2.500
1776472018,131600923,robot_4,72,2.000,-3.000,2.500,-2.500
1776472018,972331152,robot_0,82,3.000,-3.000,3.500,-2.500
1776472020,233363525,robot_1,77,2.000,2.000,2.500,2.500
1776472045,91647853,robot_4,53,0.000,-2.000,0.500,-1.500
1776472047,631716378,robot_4,43,-1.000,-2.000,-0.500,-1.500
1776472049,573126866,robot_4,44,-1.000,-1.000,-0.500,-0.500
1776472053,993210912,robot_4,45,-1.000,0.000,-0.500,0.500
1776472071,551466217,robot_4,49,-1.000,4.000,-0.500,4.500
1776472080,212338861,robot_3,54,0.000,-1.000,0.500,-0.500
1776472084,231637260,robot_1,59,0.000,4.000,0.500,4.500
1776472084,873019541,robot_3,55,0.000,0.000,0.500,0.500
1776472117,331804905,robot_1,34,-2.000,-1.000,-1.500,-0.500
1776472136,191970195,robot_2,35,-2.000,0.000,-1.500,0.500
1776472146,333779173,robot_0,42,-1.000,-3.000,-0.500,-2.500
