stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,340000000,global,1,0,1,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.364225,0.932491,0.149050,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
18,590000000,global,2,0,2,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.447903,1.068643,0.023363,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
57,30000000,global,3,0,3,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.465388,0.764372,0.024148,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
60,310000000,global,4,0,4,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.593570,0.969766,0.023065,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
61,480000000,global,5,0,5,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.652881,1.066679,0.148112,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
64,420000000,global,6,0,6,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.563927,0.922252,0.148079,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
67,740000000,global,7,0,7,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.553544,-5.000268,0.024463,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
67,930000000,global,8,0,8,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.611299,0.998948,0.147575,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
70,250000000,global,9,0,9,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.575902,0.941509,0.272564,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
70,690000000,global,10,0,10,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.700776,-5.000315,0.147675,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
73,740000000,global,11,0,11,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.649126,-5.000007,0.022871,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
78,670000000,global,12,0,12,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.701447,-5.000178,0.147786,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
81,530000000,global,13,0,13,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.576176,-5.000100,0.023079,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
87,900000000,global,14,0,14,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.494458,-5.000079,0.272487,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
89,240000000,global,15,0,15,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,4.147572,-2.458364,0.067132,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
92,320000000,global,16,0,16,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,4.029918,-2.423095,0.043701,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
92,490000000,global,17,0,17,obstacle,"('robot_2', 'south_wall::link::collision')",robot_2,south_wall::link::collision,-1.472974,-5.000018,0.272569,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
149,960000000,global,18,0,18,obstacle,"('robot_2', 'box0::link::collision')",robot_2,box0::link::collision,2.031679,-3.294454,0.023087,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
153,110000000,global,19,1,18,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.451384,-3.370226,0.148098,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
182,70000000,global,20,1,19,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,0.432261,-5.000172,0.147886,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
183,400000000,global,21,1,20,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,0.633090,-5.000328,0.147964,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
192,0,global,22,1,21,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-0.424301,-2.037890,0.147890,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
193,20000000,global,23,1,22,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-0.327463,-2.274300,0.147890,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
