stamp_sec,stamp_nsec,robot,x,y
1776850117,280522873,robot_0,1.200,-0.000
1776850117,280586683,robot_3,-0.971,-0.705
1776850117,280616724,robot_4,0.371,-1.141
1776850117,280643734,robot_2,-0.971,0.705
1776850117,280670162,robot_1,0.371,1.141
1776850118,636850859,robot_0,1.200,0.000
1776850118,636873476,robot_3,-0.971,-0.705
1776850118,636881983,robot_4,0.371,-1.141
1776850118,636888620,robot_2,-0.971,0.705
1776850118,636894724,robot_1,0.371,1.141
1776850118,856193520,robot_0,1.226,0.000
1776850118,856215835,robot_3,-0.992,-0.721
1776850118,856224393,robot_4,0.383,-1.178
1776850118,856231073,robot_2,-1.000,0.727
1776850118,856251710,robot_1,0.379,1.166
1776850119,76056649,robot_0,1.272,0.000
1776850119,76076748,robot_3,-1.026,-0.745
1776850119,76092022,robot_4,0.396,-1.221
1776850119,76098034,robot_2,-1.036,0.753
1776850119,76103707,robot_1,0.393,1.208
1776850119,276232375,robot_0,1.325,0.000
1776850119,276255091,robot_3,-1.046,-0.759
1776850119,276262742,robot_4,0.412,-1.270
1776850119,276268882,robot_2,-1.061,0.771
1776850119,276274262,robot_1,0.403,1.240
1776850119,476643906,robot_0,1.369,0.000
1776850119,476665708,robot_3,-1.074,-0.779
1776850119,476673611,robot_4,0.430,-1.325
1776850119,476680253,robot_2,-1.088,0.791
1776850119,476685855,robot_1,0.414,1.273
1776850119,677543367,robot_0,1.412,0.000
1776850119,677566419,robot_3,-1.109,-0.804
1776850119,677576098,robot_4,0.442,-1.363
1776850119,677583153,robot_2,-1.120,0.814
1776850119,677589189,robot_1,0.426,1.311
1776850119,877997549,robot_0,1.486,-0.000
1776850119,878041324,robot_3,-1.157,-0.839
1776850119,878051668,robot_4,0.458,-1.414
1776850119,878061372,robot_2,-1.147,0.833
1776850119,878070293,robot_1,0.440,1.353
1776850120,97796764,robot_0,1.547,-0.000
1776850120,97821900,robot_3,-1.199,-0.868
1776850120,97832104,robot_4,0.477,-1.474
1776850120,97839625,robot_2,-1.179,0.855
1776850120,97848079,robot_1,0.455,1.397
1776850120,298014952,robot_0,1.592,-0.000
1776850120,298052333,robot_3,-1.235,-0.894
1776850120,298068349,robot_4,0.489,-1.512
1776850120,298081842,robot_2,-1.212,0.877
1776850120,298094131,robot_1,0.469,1.435
1776850120,516306655,robot_0,1.675,-0.000
1776850120,516331113,robot_3,-1.287,-0.931
1776850120,516340049,robot_4,0.502,-1.550
