stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776474208,957559291,robot_2,45,-1.000,0.000,-0.500,0.500
1776474208,957574791,robot_4,53,0.000,-2.000,0.500,-1.500
1776474208,957585690,robot_1,56,0.000,1.000,0.500,1.500
1776474208,957595754,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776474208,957608321,robot_0,65,1.000,0.000,1.500,0.500
1776474210,350195325,robot_2,35,-2.000,0.000,-1.500,0.500
1776474210,350226723,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776474211,210839547,robot_0,64,1.000,-1.000,1.500,-0.500
1776474212,691098380,robot_3,33,-2.000,-2.000,-1.500,-1.500
1776474212,891288872,robot_2,36,-2.000,1.000,-1.500,1.500
1776474213,510465903,robot_0,74,2.000,-1.000,2.500,-0.500
1776474214,330042229,robot_4,52,0.000,-3.000,0.500,-2.500
1776474214,531824792,robot_0,75,2.000,0.000,2.500,0.500
1776474215,190875722,robot_1,57,0.000,2.000,0.500,2.500
1776474215,390946741,robot_3,23,-3.000,-2.000,-2.500,-1.500
1776474216,49411065,robot_2,26,-3.000,1.000,-2.500,1.500
1776474218,990748656,robot_4,51,0.000,-4.000,0.500,-3.500
1776474219,409769974,robot_1,58,0.000,3.000,0.500,3.500
1776474220,250618254,robot_4,61,1.000,-4.000,1.500,-3.500
1776474220,250638873,robot_3,22,-3.000,-3.000,-2.500,-2.500
1776474221,111332235,robot_3,12,-4.000,-3.000,-3.500,-2.500
1776474223,30453886,robot_4,60,1.000,-5.000,1.500,-4.500
1776474223,871280099,robot_1,68,1.000,3.000,1.500,3.500
1776474224,510857133,robot_1,69,1.000,4.000,1.500,4.500
1776474268,250456038,robot_0,73,2.000,-2.000,2.500,-1.500
1776474268,871405892,robot_0,63,1.000,-2.000,1.500,-1.500
1776474272,870703597,robot_0,62,1.000,-3.000,1.500,-2.500
1776474273,491424633,robot_1,55,0.000,0.000,0.500,0.500
1776474277,969706129,robot_1,54,0.000,-1.000,0.500,-0.500
1776474284,730081916,robot_0,50,0.000,-5.000,0.500,-4.500
1776474285,350865495,robot_0,40,-1.000,-5.000,-0.500,-4.500
1776474292,150131189,robot_1,43,-1.000,-2.000,-0.500,-1.500
1776474308,330950238,robot_1,72,2.000,-3.000,2.500,-2.500
1776474311,491764166,robot_1,82,3.000,-3.000,3.500,-2.500
1776474327,250082479,robot_1,83,3.000,-2.000,3.500,-1.500
1776474353,570814938,robot_4,42,-1.000,-3.000,-0.500,-2.500
1776474353,790962688,robot_1,46,-1.000,1.000,-0.500,1.500
1776474356,770582936,robot_1,47,-1.000,2.000,-0.500,2.500
1776474376,411446239,robot_1,37,-2.000,2.000,-1.500,2.500
1776474377,269652465,robot_0,41,-1.000,-4.000,-0.500,-3.500
1776474397,951365798,robot_3,67,1.000,2.000,1.500,2.500
