stamp_sec,stamp_nsec,robot,x,y
1776475849,909367689,robot_2,-3.250,-1.750
1776475849,909411810,robot_3,1.250,-0.250
1776475849,909433073,robot_0,3.500,-3.250
1776475849,909451664,robot_4,-1.750,1.250
1776475849,909468776,robot_1,-0.250,3.500
1776475851,94042377,robot_2,-3.250,-1.750
1776475851,94070797,robot_3,1.250,-0.250
1776475851,94083300,robot_0,3.500,-3.250
1776475851,94093328,robot_4,-1.750,1.250
1776475851,94101927,robot_1,-0.250,3.500
1776475851,294337782,robot_2,-3.215,-1.750
1776475851,294365647,robot_3,1.281,-0.250
1776475851,294375397,robot_0,3.527,-3.250
1776475851,294384474,robot_4,-1.718,1.250
1776475851,294392326,robot_1,-0.227,3.500
1776475851,494516318,robot_2,-3.147,-1.750
1776475851,494539009,robot_3,1.340,-0.252
1776475851,494548162,robot_0,3.581,-3.250
1776475851,494556134,robot_4,-1.652,1.249
1776475851,494563501,robot_1,-0.184,3.500
1776475851,713498070,robot_2,-3.103,-1.750
1776475851,713521538,robot_3,1.384,-0.255
1776475851,713531665,robot_0,3.625,-3.250
1776475851,713539232,robot_4,-1.608,1.249
1776475851,713546458,robot_1,-0.140,3.500
1776475851,933374058,robot_2,-3.068,-1.750
1776475851,933391736,robot_3,1.413,-0.257
1776475851,933398645,robot_0,3.678,-3.250
1776475851,933404334,robot_4,-1.549,1.248
1776475851,933409277,robot_1,-0.103,3.500
1776475852,133413695,robot_2,-3.034,-1.750
1776475852,133438028,robot_3,1.445,-0.259
1776475852,133447533,robot_0,3.729,-3.250
1776475852,133454924,robot_4,-1.495,1.247
1776475852,133461884,robot_1,-0.068,3.500
1776475852,353384693,robot_2,-2.990,-1.750
1776475852,353409854,robot_3,1.490,-0.262
1776475852,353415929,robot_0,3.773,-3.250
1776475852,353421211,robot_4,-1.451,1.246
1776475852,353426327,robot_1,-0.024,3.500
1776475852,554629924,robot_2,-2.959,-1.749
1776475852,554658224,robot_3,1.550,-0.266
1776475852,554672129,robot_0,3.837,-3.250
1776475852,554683754,robot_4,-1.392,1.245
1776475852,554694270,robot_1,0.021,3.500
1776475852,773039994,robot_2,-2.919,-1.748
1776475852,773065744,robot_3,1.602,-0.270
1776475852,773072504,robot_0,3.910,-3.250
1776475852,773077827,robot_4,-1.335,1.244
1776475852,773083649,robot_1,0.067,3.498
