stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
19,210000000,global,1,0,1,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.278999,-3.010539,0.023875,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
31,960000000,global,2,0,2,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.358785,-2.586354,0.148402,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
35,690000000,global,3,0,3,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.438352,-2.728887,0.147704,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
37,690000000,global,4,0,4,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.469225,-2.766322,0.269798,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
41,830000000,global,5,0,5,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.410320,-2.688483,0.147990,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
45,820000000,global,6,0,6,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.433414,-2.722273,0.188771,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
47,210000000,global,7,1,6,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.251362,-4.481380,0.024153,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
47,380000000,global,8,1,7,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,1.158013,-5.003251,0.146886,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
51,950000000,global,9,1,8,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.378963,-2.632439,0.147992,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
55,200000000,global,10,1,9,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,0.862687,-5.000537,0.147372,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
55,860000000,global,11,1,10,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.442093,-2.733771,0.176325,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
56,520000000,global,12,2,10,robot,"('robot_2', 'robot_4')",robot_2,robot_4,0.961251,-4.399468,0.147746,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
57,450000000,global,13,2,11,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,0.687647,-5.000394,0.147571,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
59,490000000,global,14,2,12,obstacle,"('robot_4', 'south_wall::link::collision')",robot_4,south_wall::link::collision,0.650117,-5.000756,0.147599,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
60,70000000,global,15,3,12,robot,"('robot_2', 'robot_4')",robot_2,robot_4,0.986605,-4.556361,0.147894,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
61,740000000,global,16,3,13,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.374155,-2.622382,0.147991,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
