stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776478311,566428416,robot_4,36,-2.000,1.000,-1.500,1.500
1776478311,566441673,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776478311,566452175,robot_1,48,-1.000,3.000,-0.500,3.500
1776478311,566462523,robot_3,64,1.000,-1.000,1.500,-0.500
1776478311,566472945,robot_0,81,3.000,-4.000,3.500,-3.500
1776478313,827949833,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776478314,250584681,robot_1,58,0.000,3.000,0.500,3.500
1776478314,889566005,robot_0,91,4.000,-4.000,4.500,-3.500
1776478315,929784310,robot_4,46,-1.000,1.000,-0.500,1.500
1776478316,148717701,robot_3,74,2.000,-1.000,2.500,-0.500
1776478318,469195204,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776478318,469248945,robot_1,68,1.000,3.000,1.500,3.500
1776478319,548654444,robot_4,56,0.000,1.000,0.500,1.500
1776478322,88826471,robot_1,78,2.000,3.000,2.500,3.500
1776478323,967586796,robot_4,66,1.000,1.000,1.500,1.500
1776478325,7532346,robot_0,92,4.000,-3.000,4.500,-2.500
1776478326,449420838,robot_3,75,2.000,0.000,2.500,0.500
1776478337,248101629,robot_4,76,2.000,1.000,2.500,1.500
1776478341,748813019,robot_4,65,1.000,0.000,1.500,0.500
1776478342,828813803,robot_1,79,2.000,4.000,2.500,4.500
1776478343,868880918,robot_1,69,1.000,4.000,1.500,4.500
1776478349,709224888,robot_4,54,0.000,-1.000,0.500,-0.500
1776478351,187861783,robot_4,53,0.000,-2.000,0.500,-1.500
1776478363,208488604,robot_4,63,1.000,-2.000,1.500,-1.500
1776478371,668678612,robot_4,84,3.000,-1.000,3.500,-0.500
1776478373,590191482,robot_4,85,3.000,0.000,3.500,0.500
1776478375,309418161,robot_4,95,4.000,0.000,4.500,0.500
1776478382,47929274,robot_3,52,0.000,-3.000,0.500,-2.500
1776478394,28343382,robot_1,57,0.000,2.000,0.500,2.500
1776478395,291782174,robot_1,47,-1.000,2.000,-0.500,2.500
1776478401,667706730,robot_2,34,-2.000,-1.000,-1.500,-0.500
1776478402,909129037,robot_2,44,-1.000,-1.000,-0.500,-0.500
1776478403,549098519,robot_3,62,1.000,-3.000,1.500,-2.500
1776478403,969637406,robot_3,61,1.000,-4.000,1.500,-3.500
1776478405,468737517,robot_1,26,-3.000,1.000,-2.500,1.500
1776478405,689745677,robot_0,82,3.000,-3.000,3.500,-2.500
1776478405,908935034,robot_2,45,-1.000,0.000,-0.500,0.500
1776478406,749826890,robot_1,25,-3.000,0.000,-2.500,0.500
1776478409,730584274,robot_1,15,-4.000,0.000,-3.500,0.500
1776478409,948680470,robot_2,55,0.000,0.000,0.500,0.500
1776478416,29287365,robot_2,67,1.000,2.000,1.500,2.500
1776478421,768629225,robot_2,77,2.000,2.000,2.500,2.500
1776478424,269564818,robot_1,37,-2.000,2.000,-1.500,2.500
1776478437,567382200,robot_1,59,0.000,4.000,0.500,4.500
1776478460,9441152,robot_4,94,4.000,-1.000,4.500,-0.500
1776478472,248746339,robot_1,35,-2.000,0.000,-1.500,0.500
1776478476,649625981,robot_1,24,-3.000,-1.000,-2.500,-0.500
1776478478,769634296,robot_3,73,2.000,-2.000,2.500,-1.500
1776478480,688258998,robot_1,14,-4.000,-1.000,-3.500,-0.500
1776478483,408512674,robot_3,72,2.000,-3.000,2.500,-2.500
1776478484,449174613,robot_1,3,-5.000,-2.000,-4.500,-1.500
