stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
16,840000000,global,1,0,1,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.337098,0.888188,0.148747,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
18,190000000,global,2,0,2,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.452497,1.075426,0.023537,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
20,630000000,global,3,0,3,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.424109,1.029832,0.147634,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
26,880000000,global,4,0,4,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.424560,-2.094062,0.148522,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
37,120000000,global,5,0,5,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.329490,-1.964388,0.147700,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
40,750000000,global,6,0,6,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.330794,-1.965738,0.147732,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
47,50000000,global,7,0,7,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.390983,-2.039314,0.147926,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
50,910000000,global,8,0,8,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.323772,-1.958570,0.147956,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
56,960000000,global,9,0,9,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.400708,-2.053841,0.147711,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
61,120000000,global,10,0,10,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.306402,-1.941838,0.147951,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
67,750000000,global,11,0,11,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.372195,0.613490,0.023562,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
67,990000000,global,12,0,12,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.232625,-1.883831,0.147711,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
69,590000000,global,13,0,13,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,3.110553,2.138740,0.148003,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
70,340000000,global,14,0,14,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.391534,0.643697,0.147552,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
70,760000000,global,15,0,15,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.295967,-1.932420,0.147880,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
72,610000000,global,16,0,16,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.399202,0.656175,0.272568,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
73,920000000,global,17,0,17,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,3.112219,2.137708,0.147797,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
77,360000000,global,18,0,18,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.240526,-1.889174,0.148085,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
80,380000000,global,19,0,19,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.313608,-1.948613,0.147735,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
92,0,global,20,0,20,obstacle,"('robot_4', 'cylinder0::link::collision')",robot_4,cylinder0::link::collision,3.138178,3.061877,0.147863,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
97,830000000,global,21,1,20,robot,"('robot_1', 'robot_4')",robot_1,robot_4,2.896322,2.752782,0.148510,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
97,860000000,global,22,1,21,obstacle,"('robot_4', 'cylinder0::link::collision')",robot_4,cylinder0::link::collision,3.284387,2.997355,0.147458,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
100,200000000,global,23,2,21,robot,"('robot_1', 'robot_4')",robot_1,robot_4,2.919272,2.804804,0.272474,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
101,730000000,global,24,2,22,obstacle,"('robot_4', 'cylinder0::link::collision')",robot_4,cylinder0::link::collision,3.229089,3.011981,0.147955,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
110,360000000,global,25,2,23,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.010461,3.300526,0.041288,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
113,370000000,global,26,2,24,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.027898,3.215481,0.198738,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
117,560000000,global,27,3,24,robot,"('robot_0', 'robot_1')",robot_0,robot_1,2.070421,2.841558,0.024010,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
129,60000000,global,28,3,25,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,3.110929,2.137953,0.024009,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
133,620000000,global,29,3,26,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,3.112274,2.136117,0.147554,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
