stamp_sec,stamp_nsec,robot,x,y
1776481389,110218175,robot_4,0.371,-1.141
1776481389,110250348,robot_0,1.200,-0.000
1776481389,110263698,robot_2,-0.971,0.705
1776481389,110276339,robot_3,-0.971,-0.705
1776481389,110286852,robot_1,0.371,1.141
1776481390,264849372,robot_4,0.371,-1.141
1776481390,264874590,robot_0,1.200,0.000
1776481390,264884928,robot_2,-0.971,0.705
1776481390,264893416,robot_3,-0.971,-0.705
1776481390,264900861,robot_1,0.371,1.141
1776481390,484110387,robot_4,0.379,-1.165
1776481390,484134489,robot_0,1.225,0.000
1776481390,484146018,robot_2,-0.991,0.720
1776481390,484154758,robot_3,-0.985,-0.716
1776481390,484163143,robot_1,0.382,1.176
1776481390,685650651,robot_4,0.391,-1.203
1776481390,685671670,robot_0,1.265,0.000
1776481390,685680360,robot_2,-1.024,0.744
1776481390,685695892,robot_3,-1.018,-0.739
1776481390,685709787,robot_1,0.396,1.215
1776481390,903469007,robot_4,0.405,-1.245
1776481390,903488132,robot_0,1.309,0.000
1776481390,903495757,robot_2,-1.065,0.774
1776481390,903501381,robot_3,-1.053,-0.765
1776481390,903511122,robot_1,0.410,1.257
1776481391,105241270,robot_4,0.417,-1.283
1776481391,105269223,robot_0,1.349,0.000
1776481391,105285164,robot_2,-1.121,0.815
1776481391,105298435,robot_3,-1.086,-0.789
1776481391,105310859,robot_1,0.423,1.295
1776481391,324914003,robot_4,0.431,-1.325
1776481391,324932836,robot_0,1.393,0.000
1776481391,324940310,robot_2,-1.164,0.845
1776481391,324946596,robot_3,-1.121,-0.815
1776481391,324952465,robot_1,0.437,1.336
1776481391,525247370,robot_4,0.443,-1.363
1776481391,525267209,robot_0,1.435,-0.000
1776481391,525284215,robot_2,-1.196,0.869
1776481391,525290508,robot_3,-1.154,-0.838
1776481391,525297252,robot_1,0.450,1.374
1776481391,744985546,robot_4,0.457,-1.405
1776481391,745016332,robot_0,1.480,-0.000
1776481391,745026886,robot_2,-1.232,0.895
1776481391,745036008,robot_3,-1.189,-0.864
1776481391,745044595,robot_1,0.465,1.416
1776481391,945292032,robot_4,0.469,-1.443
1776481391,945320354,robot_0,1.520,-0.000
1776481391,945334209,robot_2,-1.264,0.918
1776481391,945344658,robot_3,-1.222,-0.888
1776481391,945354836,robot_1,0.478,1.453
1776481392,164456555,robot_4,0.482,-1.485
1776481392,164473977,robot_0,1.577,-0.000
1776481392,164481604,robot_2,-1.300,0.944
1776481392,164487405,robot_3,-1.278,-0.928
1776481392,164493257,robot_1,0.492,1.495
1776481392,384472281,robot_4,0.496,-1.527
1776481392,384490879,robot_0,1.629,-0.000
1776481392,384498559,robot_2,-1.335,0.970
1776481392,384505016,robot_3,-1.330,-0.963
1776481392,384510724,robot_1,0.507,1.537
1776481392,584790456,robot_4,0.508,-1.565
1776481392,584809654,robot_0,1.669,-0.000
1776481392,584818574,robot_2,-1.368,0.994
1776481392,584825613,robot_3,-1.364,-0.985
1776481392,584831922,robot_1,0.520,1.574
1776481392,803728586,robot_4,0.518,-1.594
1776481392,803748995,robot_0,1.699,-0.000
1776481392,803757152,robot_2,-1.403,1.019
1776481392,803770933,robot_3,-1.401,-1.009
1776481392,803781270,robot_1,0.534,1.616
1776481393,4351372,robot_4,0.526,-1.622
1776481393,4372336,robot_0,1.735,-0.000
1776481393,4382103,robot_2,-1.435,1.043
1776481393,4389381,robot_3,-1.434,-1.031
1776481393,4396412,robot_1,0.547,1.654
1776481393,204506878,robot_4,0.537,-1.661
1776481393,204535615,robot_0,1.776,-0.000
1776481393,204549776,robot_2,-1.468,1.066
1776481393,204560918,robot_3,-1.468,-1.053
1776481393,204572395,robot_1,0.561,1.693
1776481393,424342549,robot_4,0.550,-1.703
1776481393,424361202,robot_0,1.835,-0.000
1776481393,424368504,robot_2,-1.503,1.092
1776481393,424374058,robot_3,-1.505,-1.077
1776481393,424380001,robot_1,0.587,1.769
1776481393,643132431,robot_4,0.562,-1.745
1776481393,643153916,robot_0,1.883,-0.000
1776481393,643161835,robot_2,-1.539,1.118
1776481393,643167084,robot_3,-1.542,-1.101
1776481393,643173095,robot_1,0.607,1.826
1776481393,843392933,robot_4,0.573,-1.784
1776481393,843409520,robot_0,1.927,-0.000
1776481393,843416773,robot_2,-1.571,1.142
1776481393,843422514,robot_3,-1.575,-1.122
1776481393,843427739,robot_1,0.621,1.868
1776481394,45138115,robot_4,0.591,-1.848
1776481394,45169189,robot_0,1.980,-0.000
1776481394,45187531,robot_2,-1.593,1.157
1776481394,45197954,robot_3,-1.609,-1.144
1776481394,45213497,robot_1,0.639,1.919
1776481394,264053535,robot_4,0.604,-1.905
1776481394,264080583,robot_0,2.027,-0.000
1776481394,264104021,robot_2,-1.625,1.178
1776481394,264112820,robot_3,-1.646,-1.168
1776481394,264121189,robot_1,0.654,1.964
1776481394,483444316,robot_4,0.613,-1.946
1776481394,483461264,robot_0,2.071,-0.000
1776481394,483467911,robot_2,-1.665,1.203
1776481394,483473958,robot_3,-1.683,-1.192
1776481394,483479114,robot_1,0.673,2.018
1776481394,684011834,robot_4,0.620,-1.978
1776481394,684032902,robot_0,2.111,-0.000
1776481394,684042334,robot_2,-1.726,1.242
1776481394,684049404,robot_3,-1.716,-1.214
1776481394,684056266,robot_1,0.697,2.087
1776481394,884526510,robot_4,0.628,-2.016
1776481394,884556506,robot_0,2.151,-0.000
1776481394,884564294,robot_2,-1.771,1.270
1776481394,884571073,robot_3,-1.750,-1.236
1776481394,884577447,robot_1,0.711,2.128
1776481395,84986019,robot_4,0.636,-2.055
1776481395,85014154,robot_0,2.176,-0.000
1776481395,85029326,robot_2,-1.803,1.290
1776481395,85040979,robot_3,-1.794,-1.264
1776481395,85052048,robot_1,0.724,2.166
1776481395,304299425,robot_4,0.645,-2.098
1776481395,304321089,robot_0,2.176,0.000
1776481395,304339931,robot_2,-1.830,1.308
1776481395,304346775,robot_3,-1.853,-1.299
1776481395,304353181,robot_1,0.739,2.207
1776481395,504912243,robot_4,0.653,-2.137
1776481395,504939877,robot_0,2.176,0.000
1776481395,504951566,robot_2,-1.863,1.328
1776481395,504960293,robot_3,-1.888,-1.319
1776481395,504969394,robot_1,0.752,2.245
1776481395,723873565,robot_4,0.664,-2.190
1776481395,723891600,robot_0,2.176,0.001
1776481395,723898126,robot_2,-1.900,1.352
1776481395,723904411,robot_3,-1.927,-1.340
1776481395,723909996,robot_1,0.766,2.287
1776481395,924562939,robot_4,0.676,-2.252
1776481395,924585992,robot_0,2.177,0.001
1776481395,924596280,robot_2,-1.934,1.373
1776481395,924603309,robot_3,-1.962,-1.358
1776481395,924610864,robot_1,0.779,2.324
1776481396,144489655,robot_4,0.683,-2.298
1776481396,144517178,robot_0,2.177,0.001
1776481396,144529360,robot_2,-1.971,1.396
1776481396,144539234,robot_3,-2.001,-1.379
1776481396,144560150,robot_1,0.794,2.366
1776481396,345403028,robot_4,0.691,-2.352
1776481396,345438027,robot_0,2.177,0.001
1776481396,345455277,robot_2,-2.005,1.418
1776481396,345486904,robot_3,-2.036,-1.398
1776481396,345501042,robot_1,0.808,2.407
