stamp_sec,stamp_nsec,robot,x,y
1776947380,761072917,robot_1,0.371,1.141
1776947380,761125979,robot_3,-0.971,-0.705
1776947380,761150293,robot_2,-0.971,0.705
1776947380,761191858,robot_4,0.371,-1.141
1776947380,761218086,robot_0,1.200,-0.000
1776947382,433940590,robot_1,0.371,1.141
1776947382,433963437,robot_3,-0.971,-0.705
1776947382,433973499,robot_2,-0.971,0.705
1776947382,433981622,robot_4,0.371,-1.141
1776947382,433988852,robot_0,1.200,0.000
1776947382,650768557,robot_1,0.377,1.161
1776947382,650788974,robot_3,-0.984,-0.715
1776947382,650798355,robot_2,-0.987,0.717
1776947382,650805860,robot_4,0.382,-1.175
1776947382,650813578,robot_0,1.232,0.000
1776947382,852669582,robot_1,0.388,1.195
1776947382,852702963,robot_3,-1.011,-0.734
1776947382,852737957,robot_2,-1.019,0.741
1776947382,852770820,robot_4,0.398,-1.226
1776947382,852782458,robot_0,1.284,0.000
1776947383,72321374,robot_1,0.402,1.237
1776947383,72354124,robot_3,-1.048,-0.761
1776947383,72363934,robot_2,-1.050,0.763
1776947383,72371324,robot_4,0.412,-1.268
1776947383,72378062,robot_0,1.328,0.000
1776947383,291479006,robot_1,0.417,1.283
1776947383,291506129,robot_3,-1.101,-0.800
1776947383,291525757,robot_2,-1.081,0.784
1776947383,291536166,robot_4,0.432,-1.330
1776947383,291545515,robot_0,1.398,0.000
1776947383,510534888,robot_1,0.433,1.326
1776947383,510555358,robot_3,-1.141,-0.829
1776947383,510564694,robot_2,-1.117,0.809
1776947383,510571857,robot_4,0.449,-1.382
1776947383,510578636,robot_0,1.469,-0.000
1776947383,711517670,robot_1,0.446,1.363
1776947383,711535221,robot_3,-1.178,-0.856
1776947383,711542603,robot_2,-1.145,0.828
1776947383,711548946,robot_4,0.461,-1.420
1776947383,711554943,robot_0,1.509,-0.000
1776947383,931284794,robot_1,0.459,1.401
1776947383,931308206,robot_3,-1.230,-0.894
1776947383,931315805,robot_2,-1.178,0.850
1776947383,931322027,robot_4,0.474,-1.457
1776947383,931327666,robot_0,1.586,-0.000
1776947384,151160047,robot_1,0.472,1.442
1776947384,151179352,robot_3,-1.267,-0.920
1776947384,151186243,robot_2,-1.215,0.875
1776947384,151191590,robot_4,0.487,-1.498
1776947384,151197043,robot_0,1.651,-0.000
1776947384,370800947,robot_1,0.482,1.477
1776947384,370820510,robot_3,-1.312,-0.954
1776947384,370827645,robot_2,-1.269,0.912
1776947384,370833259,robot_4,0.498,-1.533
1776947384,370838593,robot_0,1.698,-0.000
1776947384,570991786,robot_1,0.489,1.501
1776947384,571010560,robot_3,-1.359,-0.988
1776947384,571017868,robot_2,-1.309,0.939
1776947384,571023946,robot_4,0.505,-1.554
1776947384,571029123,robot_0,1.748,-0.000
1776947384,771683684,robot_1,0.500,1.539
1776947384,771717230,robot_3,-1.392,-1.011
1776947384,771748961,robot_2,-1.342,0.961
1776947384,771761214,robot_4,0.515,-1.592
1776947384,771772307,robot_0,1.790,-0.000
1776947384,991123312,robot_1,0.511,1.580
1776947384,991143869,robot_3,-1.444,-1.049
1776947384,991151192,robot_2,-1.378,0.986
1776947384,991163539,robot_4,0.531,-1.647
1776947384,991172232,robot_0,1.841,-0.000
