stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,20000000,global,1,0,1,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.876292,5.001226,0.149421,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
20,740000000,global,2,0,2,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.081054,5.000611,0.147693,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
22,700000000,global,3,0,3,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.023669,5.000877,0.147566,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
25,580000000,global,4,0,4,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.072706,5.000053,0.272519,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
27,900000000,global,5,0,5,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.043895,5.000125,0.272577,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
29,310000000,global,6,1,5,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-0.289565,0.246865,0.024021,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
40,390000000,global,7,2,5,robot,"('robot_2', 'robot_4')",robot_2,robot_4,1.400694,-1.649031,0.148395,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
44,540000000,global,8,2,6,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.462642,1.069979,0.023334,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
47,780000000,global,9,2,7,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.437446,1.232942,0.147756,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
49,760000000,global,10,2,8,obstacle,"('robot_0', 'box1::link::collision')",robot_0,box1::link::collision,-3.445868,1.178214,0.147804,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
54,640000000,global,11,2,9,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-4.148297,-3.075562,0.024054,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
55,540000000,global,12,2,10,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-3.908220,-3.154862,0.023792,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
58,90000000,global,13,2,11,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-4.007712,-3.122138,0.147956,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
62,10000000,global,14,2,12,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.376205,0.784311,0.147625,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
65,380000000,global,15,2,13,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.511659,0.699204,0.272504,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
67,120000000,global,16,2,14,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.430702,0.749328,0.147528,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
71,170000000,global,17,2,15,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.452490,0.735812,0.148079,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
104,320000000,global,18,3,15,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-2.412520,1.925796,0.147829,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
106,180000000,global,19,4,15,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-2.381763,2.163439,0.147918,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
106,740000000,global,20,4,16,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-2.086876,2.517642,0.147840,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
108,540000000,global,21,5,16,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-2.327552,1.918441,0.147779,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
111,340000000,global,22,5,17,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-2.094796,2.531139,0.147792,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
116,640000000,global,23,5,18,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-2.086882,2.517707,0.023010,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
118,340000000,global,24,5,19,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-2.133729,2.588809,0.148358,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
121,110000000,global,25,5,20,obstacle,"('robot_3', 'box2::link::collision')",robot_3,box2::link::collision,-2.086823,2.517847,0.147615,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
122,920000000,global,26,6,20,robot,"('robot_0', 'robot_1')",robot_0,robot_1,-0.881503,-1.135757,0.148041,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
122,930000000,global,27,6,21,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,5.000189,-4.092539,0.023855,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
124,60000000,global,28,6,22,obstacle,"('robot_1', 'cylinder1::link::collision')",robot_1,cylinder1::link::collision,-0.788036,-1.797752,0.147579,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
125,460000000,global,29,6,23,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,5.000169,-4.191246,0.147902,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
130,350000000,global,30,6,24,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,5.000494,-4.095879,0.147784,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
132,730000000,global,31,6,25,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,5.000142,-4.130513,0.023000,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
135,150000000,global,32,6,26,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,5.000197,-4.120961,0.147704,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
138,70000000,global,33,7,26,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-4.343756,-0.553445,0.148046,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
139,300000000,global,34,7,27,obstacle,"('robot_2', 'east_wall::link::collision')",robot_2,east_wall::link::collision,5.000885,-4.017775,0.147959,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
140,130000000,global,35,7,28,obstacle,"('robot_1', 'west_wall::link::collision')",robot_1,west_wall::link::collision,-5.000261,-0.996229,0.148086,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
142,480000000,global,36,8,28,robot,"('robot_0', 'robot_3')",robot_0,robot_3,-1.608734,1.926915,0.147992,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
142,920000000,global,37,9,28,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-4.700155,-0.645448,0.147893,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
