stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776938573,688411204,robot_4,53,0.000,-2.000,0.500,-1.500
1776938573,688436572,robot_2,45,-1.000,0.000,-0.500,0.500
1776938573,688448447,robot_0,65,1.000,0.000,1.500,0.500
1776938573,688459347,robot_1,56,0.000,1.000,0.500,1.500
1776938573,688470203,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776938575,284100095,robot_0,64,1.000,-1.000,1.500,-0.500
1776938576,344258538,robot_2,35,-2.000,0.000,-1.500,0.500
1776938576,764467918,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776938597,24189927,robot_1,55,0.000,0.000,0.500,0.500
1776938598,84989959,robot_4,54,0.000,-1.000,0.500,-0.500
1776938628,145293306,robot_2,36,-2.000,1.000,-1.500,1.500
1776938670,83889263,robot_4,43,-1.000,-2.000,-0.500,-1.500
1776938760,425370003,robot_2,46,-1.000,1.000,-0.500,1.500
