stamp_sec,stamp_nsec,robot,x,y
1776882701,135929803,robot_2,-3.250,-1.750
1776882701,135965606,robot_3,1.250,-0.250
1776882701,135982397,robot_1,-0.250,3.500
1776882701,136004068,robot_4,-1.750,1.250
1776882701,136024254,robot_0,3.500,-3.250
1776882701,336486673,robot_2,-3.250,-1.750
1776882701,336506516,robot_3,1.273,-0.250
1776882701,336515952,robot_1,-0.249,3.500
1776882701,336524169,robot_4,-1.749,1.250
1776882701,336531744,robot_0,3.500,-3.250
1776882701,756785111,robot_2,-3.250,-1.751
1776882701,756812046,robot_3,1.353,-0.250
1776882701,756824405,robot_1,-0.248,3.499
1776882701,756834913,robot_4,-1.745,1.250
1776882701,756845511,robot_0,3.577,-3.250
1776882701,136229175,robot_2,-3.250,-1.750
1776882701,136271301,robot_3,1.250,-0.250
1776882701,136293852,robot_1,-0.250,3.500
1776882701,136312550,robot_4,-1.750,1.250
1776882701,136329572,robot_0,3.500,-3.250
1776882701,336673449,robot_2,-3.250,-1.750
1776882701,336694867,robot_3,1.273,-0.250
1776882701,336705943,robot_1,-0.249,3.500
1776882701,336715284,robot_4,-1.749,1.250
1776882701,336724402,robot_0,3.500,-3.250
1776882701,756383271,robot_2,-3.250,-1.751
1776882701,756404799,robot_3,1.353,-0.250
1776882701,756415050,robot_1,-0.248,3.499
1776882701,756423500,robot_4,-1.745,1.250
1776882701,756431380,robot_0,3.577,-3.250
1776882701,956417563,robot_2,-3.249,-1.751
1776882701,956439354,robot_3,1.392,-0.249
1776882701,956451127,robot_1,-0.248,3.499
1776882701,956460261,robot_4,-1.744,1.249
1776882701,956467996,robot_0,3.584,-3.250
1776882702,577462447,robot_2,-3.248,-1.751
1776882702,577496709,robot_3,1.458,-0.247
1776882702,577514446,robot_1,-0.247,3.498
1776882702,577529302,robot_4,-1.743,1.248
1776882702,577542375,robot_0,3.585,-3.251
1776882702,977571679,robot_2,-3.182,-1.677
1776882702,977593602,robot_3,1.458,-0.247
1776882702,977602942,robot_1,-0.246,3.498
1776882702,977610327,robot_4,-1.742,1.248
1776882702,977617080,robot_0,3.586,-3.252
1776882703,796643310,robot_2,-3.158,-1.649
1776882703,796669965,robot_3,1.459,-0.248
1776882703,796683126,robot_1,-0.244,3.498
1776882703,796693947,robot_4,-1.741,1.247
1776882703,796703637,robot_0,3.587,-3.252
1776882704,415759315,robot_2,-3.156,-1.649
1776882704,415777112,robot_3,1.460,-0.248
1776882704,415785459,robot_1,-0.243,3.499
1776882704,415792408,robot_4,-1.740,1.248
1776882704,415798577,robot_0,3.589,-3.252
1776882704,616375543,robot_2,-3.156,-1.649
1776882704,616395624,robot_3,1.460,-0.248
1776882704,616404792,robot_1,-0.243,3.500
1776882704,616412048,robot_4,-1.740,1.248
1776882704,616418544,robot_0,3.589,-3.251
1776882705,236651510,robot_2,-3.155,-1.648
1776882705,236670532,robot_3,1.460,-0.247
1776882705,236678629,robot_1,-0.303,3.508
1776882705,236685116,robot_4,-1.815,1.268
1776882705,236691297,robot_0,3.590,-3.250
1776882702,996167266,robot_2,-3.178,-1.673
1776882702,996189323,robot_3,1.458,-0.247
1776882702,996199568,robot_1,-0.246,3.498
1776882702,996208273,robot_4,-1.742,1.248
1776882702,996216259,robot_0,3.586,-3.252
1776882703,196468127,robot_2,-3.169,-1.662
1776882703,196491384,robot_3,1.458,-0.247
1776882703,196502710,robot_1,-0.245,3.498
1776882703,196511725,robot_4,-1.742,1.248
1776882703,196520158,robot_0,3.586,-3.252
1776882703,397541324,robot_2,-3.159,-1.649
1776882703,397565452,robot_3,1.458,-0.247
1776882703,397580969,robot_1,-0.245,3.498
1776882703,397594880,robot_4,-1.742,1.246
1776882703,397608374,robot_0,3.586,-3.252
1776882703,598096721,robot_2,-3.158,-1.649
1776882703,598130302,robot_3,1.459,-0.248
1776882703,598145624,robot_1,-0.245,3.498
1776882703,598158263,robot_4,-1.741,1.246
1776882703,598171261,robot_0,3.587,-3.252
1776882704,16740959,robot_2,-3.157,-1.649
1776882704,16759144,robot_3,1.459,-0.248
1776882704,16767096,robot_1,-0.244,3.499
1776882704,16773818,robot_4,-1.740,1.247
1776882704,16780591,robot_0,3.588,-3.252
1776882704,216835199,robot_2,-3.157,-1.649
1776882704,216855389,robot_3,1.459,-0.248
1776882704,216867257,robot_1,-0.244,3.499
1776882704,216873744,robot_4,-1.740,1.247
