stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
16,890000000,global,1,0,1,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.341470,0.896671,0.023748,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
18,160000000,global,2,0,2,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.508169,1.163992,0.148411,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
26,910000000,global,3,0,3,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.429610,-2.103614,0.148522,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
30,830000000,global,4,0,4,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.348271,-1.984702,0.028602,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
37,50000000,global,5,0,5,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.341182,-1.976808,0.147617,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
47,170000000,global,6,0,6,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.344901,-1.980913,0.147812,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
49,210000000,global,7,0,7,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,2.471237,5.001161,0.024156,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
50,940000000,global,8,0,8,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.326435,-1.961259,0.147847,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
53,510000000,global,9,0,9,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,2.248101,5.000249,0.147668,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
56,910000000,global,10,0,10,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.406996,-2.063758,0.147812,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
62,490000000,global,11,1,10,robot,"('robot_2', 'robot_4')",robot_2,robot_4,-1.986394,-2.438329,0.023313,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
67,660000000,global,12,1,11,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.348905,0.574793,0.023656,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
70,240000000,global,13,1,12,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.405360,0.666465,0.147657,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
72,360000000,global,14,1,13,obstacle,"('robot_3', 'box3::link::collision')",robot_3,box3::link::collision,3.393686,0.647702,0.147557,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
140,460000000,global,15,1,14,obstacle,"('robot_3', 'cylinder1::link::collision')",robot_3,cylinder1::link::collision,-0.333277,-2.244912,0.148024,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
143,160000000,global,16,1,15,obstacle,"('robot_3', 'cylinder1::link::collision')",robot_3,cylinder1::link::collision,-0.349799,-2.185882,0.228558,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
174,950000000,global,17,1,16,obstacle,"('robot_2', 'box0::link::collision')",robot_2,box0::link::collision,1.887109,-3.460477,0.023425,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
191,970000000,global,18,2,16,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-0.425256,-4.385302,0.147745,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
