stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776931285,243692890,robot_0,81,3.000,-4.000,3.500,-3.500
1776931285,243708194,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776931285,243719494,robot_1,48,-1.000,3.000,-0.500,3.500
1776931285,243729776,robot_4,36,-2.000,1.000,-1.500,1.500
1776931285,243740405,robot_3,64,1.000,-1.000,1.500,-0.500
1776931288,9593945,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776931288,9606817,robot_1,58,0.000,3.000,0.500,3.500
1776931288,629914077,robot_0,91,4.000,-4.000,4.500,-3.500
1776931289,890345716,robot_3,74,2.000,-1.000,2.500,-0.500
1776931290,108909135,robot_4,46,-1.000,1.000,-0.500,1.500
1776931292,470017694,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776931293,310983498,robot_1,68,1.000,3.000,1.500,3.500
1776931294,389591883,robot_4,56,0.000,1.000,0.500,1.500
1776931294,389604272,robot_3,84,3.000,-1.000,3.500,-0.500
1776931297,570019831,robot_1,78,2.000,3.000,2.500,3.500
1776931298,610656179,robot_4,66,1.000,1.000,1.500,1.500
1776931298,830962453,robot_3,94,4.000,-1.000,4.500,-0.500
1776931302,868563715,robot_4,76,2.000,1.000,2.500,1.500
1776931307,469913498,robot_4,75,2.000,0.000,2.500,0.500
1776931309,129893282,robot_1,77,2.000,2.000,2.500,2.500
1776931309,129904192,robot_4,65,1.000,0.000,1.500,0.500
1776931316,309276886,robot_4,63,1.000,-2.000,1.500,-1.500
1776931320,909724437,robot_4,62,1.000,-3.000,1.500,-2.500
1776931326,169423680,robot_4,61,1.000,-4.000,1.500,-3.500
1776931327,209868911,robot_4,51,0.000,-4.000,0.500,-3.500
1776931327,630239789,robot_0,82,3.000,-3.000,3.500,-2.500
1776931330,828489607,robot_4,50,0.000,-5.000,0.500,-4.500
1776931332,329531515,robot_0,72,2.000,-3.000,2.500,-2.500
1776931332,329568401,robot_1,79,2.000,4.000,2.500,4.500
1776931338,230829215,robot_4,40,-1.000,-5.000,-0.500,-4.500
1776931339,909657675,robot_3,95,4.000,0.000,4.500,0.500
1776931340,128473988,robot_4,41,-1.000,-4.000,-0.500,-3.500
1776931341,370376023,robot_0,52,0.000,-3.000,0.500,-2.500
1776931341,789387167,robot_0,53,0.000,-2.000,0.500,-1.500
1776931342,829776761,robot_3,85,3.000,0.000,3.500,0.500
1776931343,30804501,robot_4,31,-2.000,-4.000,-1.500,-3.500
1776931346,408420240,robot_0,43,-1.000,-2.000,-0.500,-1.500
1776931347,709599857,robot_4,32,-2.000,-3.000,-1.500,-2.500
1776931349,171048634,robot_4,22,-3.000,-3.000,-2.500,-2.500
1776931351,909834160,robot_0,44,-1.000,-1.000,-0.500,-0.500
1776931352,329753009,robot_0,34,-2.000,-1.000,-1.500,-0.500
1776931352,548951706,robot_4,12,-4.000,-3.000,-3.500,-2.500
1776931358,249710523,robot_0,24,-3.000,-1.000,-2.500,-0.500
1776931358,468622737,robot_0,25,-3.000,0.000,-2.500,0.500
1776931360,949896918,robot_4,4,-5.000,-1.000,-4.500,-0.500
1776931361,390516954,robot_2,21,-3.000,-4.000,-2.500,-3.500
1776931367,109616172,robot_2,30,-2.000,-5.000,-1.500,-4.500
1776931386,589460236,robot_4,14,-4.000,-1.000,-3.500,-0.500
1776931399,449681634,robot_0,20,-3.000,-5.000,-2.500,-4.500
1776931401,549891210,robot_4,45,-1.000,0.000,-0.500,0.500
1776931403,429819818,robot_4,55,0.000,0.000,0.500,0.500
1776931406,549703564,robot_4,54,0.000,-1.000,0.500,-0.500
1776931426,10347515,robot_3,42,-1.000,-3.000,-0.500,-2.500
1776931440,829498201,robot_3,73,2.000,-2.000,2.500,-1.500
1776931466,630192472,robot_2,60,1.000,-5.000,1.500,-4.500
1776931471,628508710,robot_1,67,1.000,2.000,1.500,2.500
1776931477,150352022,robot_1,57,0.000,2.000,0.500,2.500
