stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,130000000,global,1,0,1,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.940124,5.000126,0.024165,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
20,540000000,global,2,0,2,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.133773,5.000311,0.147650,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
25,810000000,global,3,0,3,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.044422,5.000212,0.147641,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
27,930000000,global,4,0,4,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,1.066856,5.000101,0.272565,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
32,990000000,global,5,0,5,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.994563,5.000078,0.272566,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
35,190000000,global,6,1,5,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-1.436401,0.914174,0.149146,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
35,840000000,global,7,1,6,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.887982,5.000087,0.272566,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
41,300000000,global,8,2,6,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-1.470212,0.758479,0.147844,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
45,870000000,global,9,2,7,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.727073,5.000039,0.272566,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
55,690000000,global,10,2,8,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.634478,5.000128,0.272566,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
57,690000000,global,11,2,9,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.683585,5.000601,0.147496,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
72,240000000,global,12,2,10,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.328305,-3.055746,0.147828,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
75,230000000,global,13,2,11,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,2.283118,-3.014150,0.147830,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
80,900000000,global,14,2,12,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.300706,5.000068,0.272566,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
83,210000000,global,15,2,13,obstacle,"('robot_1', 'north_wall::link::collision')",robot_1,north_wall::link::collision,0.274751,5.000045,0.272490,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
86,900000000,global,16,2,14,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-3.562173,0.423727,0.024149,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
91,430000000,global,17,2,15,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-3.562166,0.424343,0.147987,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
92,10000000,global,18,2,16,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.580951,-1.921726,0.147829,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
96,120000000,global,19,2,17,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.556629,-1.773610,0.268088,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
96,840000000,global,20,2,18,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-3.562381,0.423917,0.272676,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
98,240000000,global,21,2,19,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-3.730217,0.450234,0.023670,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
101,400000000,global,22,2,20,obstacle,"('robot_3', 'box1::link::collision')",robot_3,box1::link::collision,-3.566448,0.424665,0.147781,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
101,820000000,global,23,3,20,robot,"('robot_0', 'robot_2')",robot_0,robot_2,2.913498,-1.737830,0.147938,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
102,140000000,global,24,3,21,obstacle,"('robot_0', 'cylinder2::link::collision')",robot_0,cylinder2::link::collision,3.576475,-1.904288,0.147638,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
103,110000000,global,25,4,21,robot,"('robot_0', 'robot_2')",robot_0,robot_2,3.108544,-1.493235,0.147738,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
