stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776932516,488431783,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776932516,488450347,robot_1,48,-1.000,3.000,-0.500,3.500
1776932516,488464944,robot_0,81,3.000,-4.000,3.500,-3.500
1776932516,488478182,robot_3,64,1.000,-1.000,1.500,-0.500
1776932516,488491352,robot_4,36,-2.000,1.000,-1.500,1.500
1776932518,108458769,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776932518,108487725,robot_1,58,0.000,3.000,0.500,3.500
1776932516,487781823,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776932516,487801723,robot_1,48,-1.000,3.000,-0.500,3.500
1776932516,487817026,robot_0,81,3.000,-4.000,3.500,-3.500
1776932516,487831034,robot_3,64,1.000,-1.000,1.500,-0.500
1776932516,487844593,robot_4,36,-2.000,1.000,-1.500,1.500
1776932518,128210087,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776932518,128226493,robot_1,58,0.000,3.000,0.500,3.500
1776932518,528384234,robot_0,91,4.000,-4.000,4.500,-3.500
1776932519,129288169,robot_0,91,4.000,-4.000,4.500,-3.500
1776932519,948993343,robot_3,74,2.000,-1.000,2.500,-0.500
1776932520,368545045,robot_4,46,-1.000,1.000,-0.500,1.500
1776932519,968836804,robot_3,74,2.000,-1.000,2.500,-0.500
1776932519,968856225,robot_4,46,-1.000,1.000,-0.500,1.500
1776932522,628694986,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776932523,248051180,robot_1,68,1.000,3.000,1.500,3.500
1776932522,628993076,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776932523,247482332,robot_1,68,1.000,3.000,1.500,3.500
1776932524,688869666,robot_3,84,3.000,-1.000,3.500,-0.500
1776932524,688893365,robot_4,56,0.000,1.000,0.500,1.500
1776932525,109120936,robot_3,84,3.000,-1.000,3.500,-0.500
1776932525,109138414,robot_4,56,0.000,1.000,0.500,1.500
1776932527,569352854,robot_1,78,2.000,3.000,2.500,3.500
1776932527,569892942,robot_1,78,2.000,3.000,2.500,3.500
1776932528,588737595,robot_4,66,1.000,1.000,1.500,1.500
1776932529,8789446,robot_3,94,4.000,-1.000,4.500,-0.500
1776932528,808181514,robot_3,94,4.000,-1.000,4.500,-0.500
1776932528,808197679,robot_4,66,1.000,1.000,1.500,1.500
1776932534,148373911,robot_2,34,-2.000,-1.000,-1.500,-0.500
1776932534,147998460,robot_2,34,-2.000,-1.000,-1.500,-0.500
1776932537,628241456,robot_3,95,4.000,0.000,4.500,0.500
1776932538,448761568,robot_2,35,-2.000,0.000,-1.500,0.500
1776932538,448792228,robot_1,79,2.000,4.000,2.500,4.500
1776932537,248977145,robot_3,95,4.000,0.000,4.500,0.500
1776932538,268804407,robot_2,35,-2.000,0.000,-1.500,0.500
1776932538,268821529,robot_1,79,2.000,4.000,2.500,4.500
1776932545,848206777,robot_0,92,4.000,-3.000,4.500,-2.500
1776932545,848064216,robot_0,92,4.000,-3.000,4.500,-2.500
1776932548,108764034,robot_2,37,-2.000,2.000,-1.500,2.500
1776932548,108602625,robot_2,37,-2.000,2.000,-1.500,2.500
1776932555,868815005,robot_4,26,-3.000,1.000,-2.500,1.500
1776932557,89435828,robot_2,47,-1.000,2.000,-0.500,2.500
1776932556,508005922,robot_4,26,-3.000,1.000,-2.500,1.500
1776932557,128402872,robot_2,47,-1.000,2.000,-0.500,2.500
1776932567,528601580,robot_1,77,2.000,2.000,2.500,2.500
1776932569,569351896,robot_1,67,1.000,2.000,1.500,2.500
1776932567,409979359,robot_1,77,2.000,2.000,2.500,2.500
1776932569,868917837,robot_1,67,1.000,2.000,1.500,2.500
1776932570,608177246,robot_0,90,4.000,-5.000,4.500,-4.500
1776932572,648304767,robot_0,80,3.000,-5.000,3.500,-4.500
1776932570,488837584,robot_0,90,4.000,-5.000,4.500,-4.500
1776932572,128844943,robot_0,80,3.000,-5.000,3.500,-4.500
1776932578,8563012,robot_4,45,-1.000,0.000,-0.500,0.500
1776932578,628933244,robot_1,57,0.000,2.000,0.500,2.500
1776932578,88572154,robot_4,45,-1.000,0.000,-0.500,0.500
1776932578,708623750,robot_1,57,0.000,2.000,0.500,2.500
1776932582,728448125,robot_4,44,-1.000,-1.000,-0.500,-0.500
1776932582,928684836,robot_4,54,0.000,-1.000,0.500,-0.500
1776932583,189334964,robot_4,54,0.000,-1.000,0.500,-0.500
1776932589,508778428,robot_4,63,1.000,-2.000,1.500,-1.500
1776932589,369384778,robot_4,63,1.000,-2.000,1.500,-1.500
1776932591,147788236,robot_3,85,3.000,0.000,3.500,0.500
1776932591,628517060,robot_3,85,3.000,0.000,3.500,0.500
1776932594,628708036,robot_4,62,1.000,-3.000,1.500,-2.500
1776932594,688851866,robot_4,62,1.000,-3.000,1.500,-2.500
1776932602,249739068,robot_2,24,-3.000,-1.000,-2.500,-0.500
1776932602,129513181,robot_2,24,-3.000,-1.000,-2.500,-0.500
1776932607,368380487,robot_1,76,2.000,1.000,2.500,1.500
1776932607,368400728,robot_3,73,2.000,-2.000,2.500,-1.500
1776932606,829038882,robot_1,76,2.000,1.000,2.500,1.500
1776932606,829058850,robot_3,73,2.000,-2.000,2.500,-1.500
1776932612,468610619,robot_2,22,-3.000,-3.000,-2.500,-2.500
1776932613,88633301,robot_3,72,2.000,-3.000,2.500,-2.500
1776932613,708738567,robot_2,12,-4.000,-3.000,-3.500,-2.500
1776932614,947825760,robot_4,55,0.000,0.000,0.500,0.500
1776932612,608762422,robot_2,22,-3.000,-3.000,-2.500,-2.500
1776932613,227802307,robot_3,72,2.000,-3.000,2.500,-2.500
1776932613,428810981,robot_2,12,-4.000,-3.000,-3.500,-2.500
1776932614,848546093,robot_4,55,0.000,0.000,0.500,0.500
1776932620,709109027,robot_3,53,0.000,-2.000,0.500,-1.500
1776932620,789797280,robot_3,53,0.000,-2.000,0.500,-1.500
1776932635,68861006,robot_1,69,1.000,4.000,1.500,4.500
1776932634,909396448,robot_1,69,1.000,4.000,1.500,4.500
1776932635,728407943,robot_2,44,-1.000,-1.000,-0.500,-0.500
1776932683,629197517,robot_4,65,1.000,0.000,1.500,0.500
1776932683,748537668,robot_4,65,1.000,0.000,1.500,0.500
1776932701,288944912,robot_4,61,1.000,-4.000,1.500,-3.500
1776932701,467947201,robot_4,61,1.000,-4.000,1.500,-3.500
1776932706,208044207,robot_4,60,1.000,-5.000,1.500,-4.500
1776932706,208886325,robot_4,60,1.000,-5.000,1.500,-4.500
