stamp_sec,stamp_nsec,robot,x,y
1776932927,513773303,robot_0,3.500,-3.250
1776932927,513826250,robot_4,-1.750,1.250
1776932927,513851636,robot_2,-3.250,-1.750
1776932927,513874575,robot_3,1.250,-0.250
1776932927,513898043,robot_1,-0.250,3.500
1776932927,714124999,robot_0,3.500,-3.250
1776932927,714149831,robot_4,-1.707,1.250
1776932927,714168832,robot_2,-3.223,-1.750
1776932927,714179221,robot_3,1.284,-0.250
1776932927,714188962,robot_1,-0.248,3.500
1776932927,914939276,robot_0,3.500,-3.250
1776932927,914965679,robot_4,-1.654,1.249
1776932927,914976669,robot_2,-3.191,-1.750
1776932927,914985230,robot_3,1.321,-0.250
1776932927,914993659,robot_1,-0.245,3.500
1776932928,333582668,robot_0,3.501,-3.251
1776932928,333607730,robot_4,-1.606,1.249
1776932928,333619171,robot_2,-3.124,-1.748
1776932928,333628257,robot_3,1.321,-0.250
1776932928,333636593,robot_1,-0.239,3.501
1776932927,554647681,robot_0,3.499,-3.250
1776932927,554691735,robot_4,-1.747,1.250
1776932927,554711070,robot_2,-3.250,-1.750
1776932927,554728668,robot_3,1.252,-0.250
1776932927,554746167,robot_1,-0.251,3.500
1776932927,754765878,robot_0,3.500,-3.250
1776932927,754795377,robot_4,-1.698,1.250
1776932927,754809559,robot_2,-3.218,-1.750
1776932927,754821213,robot_3,1.293,-0.250
1776932927,754832569,robot_1,-0.246,3.500
1776932927,955497731,robot_0,3.500,-3.250
1776932927,955530832,robot_4,-1.647,1.249
1776932927,955545132,robot_2,-3.186,-1.749
1776932927,955565760,robot_3,1.321,-0.250
1776932927,955576439,robot_1,-0.243,3.500
1776932928,373877978,robot_0,3.501,-3.251
1776932928,373907271,robot_4,-1.602,1.249
1776932928,373920115,robot_2,-3.121,-1.748
1776932928,373929880,robot_3,1.321,-0.250
1776932928,373940429,robot_1,-0.237,3.502
1776932928,574214904,robot_0,3.501,-3.252
1776932928,574245078,robot_4,-1.582,1.249
1776932928,574257903,robot_2,-3.121,-1.748
1776932928,574268666,robot_3,1.321,-0.250
1776932928,574279937,robot_1,-0.236,3.503
1776932928,534822651,robot_0,3.501,-3.252
1776932928,534862481,robot_4,-1.586,1.249
1776932928,534883787,robot_2,-3.121,-1.748
1776932928,534902161,robot_3,1.321,-0.250
1776932928,534918738,robot_1,-0.236,3.502
1776932929,155464511,robot_0,3.502,-3.252
1776932929,155499816,robot_4,-1.541,1.251
1776932929,155514016,robot_2,-3.122,-1.749
1776932929,155524306,robot_3,1.322,-0.251
1776932929,155534906,robot_1,-0.231,3.507
1776932929,774397056,robot_0,3.504,-3.254
1776932929,774425667,robot_4,-1.541,1.252
1776932929,774437875,robot_2,-3.109,-1.771
1776932929,774448430,robot_3,1.323,-0.251
1776932929,774458531,robot_1,-0.230,3.507
1776932929,975585234,robot_0,3.504,-3.254
1776932929,975614623,robot_4,-1.542,1.252
1776932929,975627133,robot_2,-3.101,-1.776
1776932929,975638201,robot_3,1.323,-0.251
1776932929,975649685,robot_1,-0.229,3.507
1776932930,393918355,robot_0,3.505,-3.254
1776932930,393941336,robot_4,-1.543,1.253
1776932930,393951421,robot_2,-3.099,-1.776
1776932930,393959850,robot_3,1.323,-0.251
1776932930,393967565,robot_1,-0.228,3.507
1776932930,594869561,robot_0,3.505,-3.253
1776932930,594912551,robot_4,-1.542,1.253
1776932930,594933634,robot_2,-3.098,-1.776
1776932930,594951125,robot_3,1.324,-0.251
1776932930,594966967,robot_1,-0.228,3.508
1776932929,194946943,robot_0,3.502,-3.252
1776932929,194971466,robot_4,-1.541,1.251
1776932929,194981661,robot_2,-3.122,-1.750
1776932929,194990041,robot_3,1.322,-0.251
1776932929,194998402,robot_1,-0.231,3.507
1776932930,214133326,robot_0,3.504,-3.254
1776932930,214210274,robot_4,-1.543,1.253
1776932930,214249746,robot_2,-3.099,-1.776
1776932930,214262951,robot_3,1.323,-0.251
1776932930,214273871,robot_1,-0.229,3.507
1776932930,634311221,robot_0,3.505,-3.253
1776932930,634340875,robot_4,-1.542,1.253
